,final_legend,export_group,hersteller,modell,geometrie,nennstrom,technologie,phase,5% In,20% In,50% In,80% In,90% In,100% In,120% In,Preis (€),volumen
0,MBS 2025 12 04 1415-MBS-ASK101.4-2000A-8R1  | Parallel ,mes_2000A,MBS,ASK101.4,Parallel,2000,Standard,L1,"0,13","-0,22",,,,"-0,35","-0,43","43,67","733,2"
1,MBS 2025 12 04 1415-MBS-ASK101.4-2000A-8R1  | Parallel ,mes_2000A,MBS,ASK101.4,Parallel,2000,Standard,L2,"0,09","-0,14",,,,"-0,27","-0,36","43,67","733,2"
2,MBS 2025 12 04 1415-MBS-ASK101.4-2000A-8R1  | Parallel ,mes_2000A,MBS,ASK101.4,Parallel,2000,Standard,L3,"0,21","-0,06",,,,"-0,2","-0,22","43,67","733,2"
3,Celsa 2025 12 04 1506-Celsa-ALO 8030 K-2000A-8R1  | Parallel,mes_2000A,Celsa,ALO 8030 K,Parallel,2000,Kompensiert,L1,"0,13","-0,22",,,,"-0,35","-0,43","95,95","710,2"
4,Celsa 2025 12 04 1506-Celsa-ALO 8030 K-2000A-8R1  | Parallel,mes_2000A,Celsa,ALO 8030 K,Parallel,2000,Kompensiert,L2,"0,09","-0,14",,,,"-0,27","-0,35","95,95","710,2"
5,Celsa 2025 12 04 1506-Celsa-ALO 8030 K-2000A-8R1  | Parallel,mes_2000A,Celsa,ALO 8030 K,Parallel,2000,Kompensiert,L3,"0,21","-0,06",,,,"-0,2","-0,22","95,95","710,2"
6,Redur 2025 12 05 1020-Redur-13A1030.3ffp-2000A-8R1  | Parallel,mes_2000A,Redur,13A1030.3ffp,Parallel,2000,FFP,L1,"0,38","0,06",,,,"-0,08","-0,1","146,01","778,73"
7,Redur 2025 12 05 1020-Redur-13A1030.3ffp-2000A-8R1  | Parallel,mes_2000A,Redur,13A1030.3ffp,Parallel,2000,FFP,L2,"0,45","0,11",,,,"-0,03","-0,51","146,01","778,73"
8,Redur 2025 12 05 1020-Redur-13A1030.3ffp-2000A-8R1  | Parallel,mes_2000A,Redur,13A1030.3ffp,Parallel,2000,FFP,L3,"0,41","0,15",,,,"0,02","-0,01","146,01","778,73"
9,Celsa 2025 12 05 1356-Celsa-ALO 10030-2000A-1R35  | Parallel,mes_2000A,Celsa,ALO 10030,Parallel,2000,Standard,L1,"0,2","-0,07",,,,"-0,48","-2,67","45,5",634291
10,Celsa 2025 12 05 1356-Celsa-ALO 10030-2000A-1R35  | Parallel,mes_2000A,Celsa,ALO 10030,Parallel,2000,Standard,L2,"0,2","-0,01",,,,"-1,97","-4,24","45,5",634291
