,final_legend,phase,5% In,20% In,50% In,80% In,90% In,100% In,120% In,total_score,Preis (€),volumen
0,MBS 2025 12 04 1415-MBS-ASK101.4-2000A-8R1 | K3 | Parallel | 0 (2000A),L1,-11.420687908755772,0.9443589340617611,,,,0.7521188194711323,0.7027603994136427,,43.67,733.2
1,MBS 2025 12 04 1415-MBS-ASK101.4-2000A-8R1 | K3 | Parallel | 0 (2000A),L2,-17.763826992104228,-1.301897432137406,,,,-0.5400648916869326,-0.5466006325095437,,43.67,733.2
2,MBS 2025 12 04 1415-MBS-ASK101.4-2000A-8R1 | K3 | Parallel | 0 (2000A),L3,-31.82974621783499,-3.8820038815524387,,,,-0.45579758920037283,-0.3417239913461977,,43.67,733.2
3,MBS 2025 12 04 1415-MBS-ASK101.4-2000A-8R1 | PAC2 | Parallel | 0 (2000A),L1,0.13365692507731755,-0.22199447060546637,,,,-0.3534061950462527,-0.4277396644361221,,43.67,733.2
4,MBS 2025 12 04 1415-MBS-ASK101.4-2000A-8R1 | PAC2 | Parallel | 0 (2000A),L2,0.09087677132502983,-0.13530986393957303,,,,-0.26832706481825236,-0.3553527973304938,,43.67,733.2
5,MBS 2025 12 04 1415-MBS-ASK101.4-2000A-8R1 | PAC2 | Parallel | 0 (2000A),L3,0.21056513168252003,-0.05628016913169122,,,,-0.20008363919567582,-0.21677521504224836,,43.67,733.2
6,Celsa 2025 12 04 1506-Celsa-ALO 8030 K-2000A-8R1 | PAC2 | Parallel (2000A),L1,0.13414426024685253,-0.22205910147366056,,,,-0.3537563426170041,-0.4276611034147954,,95.95,710.2
7,Celsa 2025 12 04 1506-Celsa-ALO 8030 K-2000A-8R1 | PAC2 | Parallel (2000A),L2,0.09101770844157007,-0.1350173131372025,,,,-0.2680573320588677,-0.3541969130376098,,95.95,710.2
8,Celsa 2025 12 04 1506-Celsa-ALO 8030 K-2000A-8R1 | PAC2 | Parallel (2000A),L3,0.21061863046372367,-0.05539823650671493,,,,-0.2000703052739421,-0.21655288318296712,,95.95,710.2
9,Redur 2025 12 05 1020-Redur-13A1030.3ffp-2000A-8R1 | PAC2 | Parallel (2000A),L1,0.37593440391322885,0.058256064648501915,,,,-0.08132466124213208,-0.1027365600909955,,146.01,778.7325
10,Redur 2025 12 05 1020-Redur-13A1030.3ffp-2000A-8R1 | PAC2 | Parallel (2000A),L2,0.4453633416265845,0.11118312215370436,,,,-0.029216194885455703,-0.5094071192342983,,146.01,778.7325
