05_L1_PAC1_t;05_L1_PAC1_I;05_L2_PAC1_t;05_L2_PAC1_I;05_L3_PAC1_t;05_L3_PAC1_I;05_L1_PAC2_t;05_L1_PAC2_I;05_L2_PAC2_t;05_L2_PAC2_I;05_L3_PAC2_t;05_L3_PAC2_I;20_L1_PAC1_t;20_L1_PAC1_I;20_L2_PAC1_t;20_L2_PAC1_I;20_L3_PAC1_t;20_L3_PAC1_I;20_L1_PAC2_t;20_L1_PAC2_I;20_L2_PAC2_t;20_L2_PAC2_I;20_L3_PAC2_t;20_L3_PAC2_I;100_L1_PAC1_t;100_L1_PAC1_I;100_L2_PAC1_t;100_L2_PAC1_I;100_L3_PAC1_t;100_L3_PAC1_I;100_L1_PAC2_t;100_L1_PAC2_I;100_L2_PAC2_t;100_L2_PAC2_I;100_L3_PAC2_t;100_L3_PAC2_I;120_L1_PAC1_t;120_L1_PAC1_I;120_L2_PAC1_t;120_L2_PAC1_I;120_L3_PAC1_t;120_L3_PAC1_I;120_L1_PAC2_t;120_L1_PAC2_I;120_L2_PAC2_t;120_L2_PAC2_I;120_L3_PAC2_t;120_L3_PAC2_I
0;90.6438980102539;0;124.639213562012;0;116.385932922363;0;90.735107421875;0;124.747756958008;0;116.611419677734;0;423.175018310547;0;417.696533203125;0;375.96142578125;0;422.197143554688;0;417.179748535156;0;375.788208007813;0;1999.22937011719;0;2015.5517578125;0;2005.05712890625;0;1991.80676269531;0;2010.15979003906;0;2001.08361816406;0;2389.265625;0;2372.69067382813;0;2389.57788085938;0;2378.75219726563;0;2364.44384765625;0;2383.8193359375
1;90.6502075195313;1;124.674682617188;1;116.415420532227;1;90.7457046508789;1;124.784294128418;1;116.650825500488;1;423.135345458984;1;417.822052001953;1;376.026306152344;1;422.189239501953;1;417.294128417969;1;375.863189697266;1;1999.48095703125;1;2015.38623046875;1;2005.16137695313;1;1991.95166015625;1;2010.01623535156;1;2001.32202148438;1;2389.66650390625;1;2372.74487304688;1;2389.95141601563;1;2379.33325195313;1;2364.42529296875;1;2384.41015625
2;90.6150894165039;2;124.707061767578;2;116.426567077637;2;90.7131652832031;2;124.821983337402;2;116.666717529297;2;423.324645996094;2;417.833923339844;2;376.082611083984;2;422.360992431641;2;417.318542480469;2;375.905303955078;2;1999.48095703125;2;2015.38623046875;2;2005.16137695313;2;1991.95166015625;2;2010.01623535156;2;2001.32202148438;2;2389.8828125;2;2372.892578125;2;2390.29174804688;2;2379.81762695313;2;2364.93212890625;2;2385.04077148438
3;90.6268157958984;3;124.696815490723;3;116.418128967285;3;90.7148284912109;3;124.809921264648;3;116.673645019531;3;423.288055419922;3;417.780548095703;3;376.037048339844;3;422.343414306641;3;417.250366210938;3;375.868804931641;3;1999.28356933594;3;2015.52526855469;3;2005.14733886719;3;1991.95788574219;3;2010.23120117188;3;2001.29675292969;3;2389.52026367188;3;2373.48608398438;3;2390.76171875;3;2379.47387695313;3;2365.388671875;3;2385.19165039063
4;89.1098861694336;4;118.835456848145;4;104.006965637207;4;88.7764129638672;4;117.72582244873;4;101.240821838379;4;423.257446289063;4;417.791107177734;4;376.032379150391;4;422.277374267578;4;417.254669189453;4;375.860748291016;4;1999.26184082031;4;2015.6875;4;2005.40173339844;4;1992.14196777344;4;2010.31237792969;4;2001.41662597656;4;2389.35498046875;4;2373.126953125;4;2390.24951171875;4;2379.45849609375;4;2364.9150390625;4;2384.8701171875
5;86.4314422607422;5;108.189437866211;5;78.6183242797852;5;86.4139099121094;5;108.094192504883;5;78.4743118286133;5;423.140075683594;5;417.783569335938;5;376.005706787109;5;422.175079345703;5;417.255432128906;5;375.832305908203;5;1999.83068847656;5;2016.35217285156;5;2005.95703125;5;1992.50988769531;5;2010.90808105469;5;2002.09899902344;5;2390.32934570313;5;2373.32861328125;5;2390.4296875;5;2379.45849609375;5;2364.9150390625;5;2384.8701171875
6;86.3755874633789;6;107.681251525879;6;77.6382141113281;6;86.4809494018555;6;107.816009521484;6;77.8940887451172;6;423.268127441406;6;417.765258789063;6;376.0751953125;6;422.322723388672;6;417.239837646484;6;375.893005371094;6;1999.64953613281;6;2016.46960449219;6;2006.15454101563;6;1992.61218261719;6;2010.86499023438;6;2002.0859375;6;2390.42749023438;6;2373.86962890625;6;2390.4150390625;6;2379.8798828125;6;2365.30517578125;6;2385.71850585938
7;86.3934860229492;7;107.692596435547;7;77.6204376220703;7;86.4965057373047;7;107.822357177734;7;77.8872146606445;7;423.216400146484;7;417.811889648438;7;376.109436035156;7;422.240173339844;7;417.239196777344;7;375.970306396484;7;1999.67065429688;7;2016.07055664063;7;2006.05590820313;7;1992.70104980469;7;2010.50805664063;7;2001.81079101563;7;2389.86254882813;7;2374.11743164063;7;2390.53295898438;7;2379.75268554688;7;2365.64672851563;7;2385.33837890625
8;86.4199600219727;8;107.703330993652;8;77.6352767944336;8;86.5294418334961;8;107.821998596191;8;77.8868942260742;8;423.220153808594;8;417.802825927734;8;376.117095947266;8;422.253875732422;8;417.274627685547;8;375.933319091797;8;1999.57653808594;8;2016.06713867188;8;2005.57556152344;8;1992.39111328125;8;2010.53405761719;8;2001.48059082031;8;2388.85717773438;8;2373.82153320313;8;2390.18115234375;8;2378.64721679688;8;2365.50024414063;8;2384.83984375
9;86.4278564453125;9;107.67700958252;9;77.6379699707031;9;86.5301971435547;9;107.81583404541;9;77.8847274780273;9;423.179656982422;9;417.834228515625;9;376.116455078125;9;422.219879150391;9;417.305206298828;9;375.93310546875;9;1999.58386230469;9;2016.08825683594;9;2005.48876953125;9;1992.34350585938;9;2010.90856933594;9;2001.38330078125;9;2388.6484375;9;2373.65966796875;9;2390.00952148438;9;2378.48046875;9;2365.162109375;9;2385.18286132813
