05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
0;78.377571105957;0;78.905143737793;0;104.738670349121;0;77.256462097168;0;73.8332138061523;0;104.023040771484;0;376.578491210938;0;414.772247314453;0;411.102203369141;0;375.804870605469;0;414.298156738281;0;410.862518310547;0;1986.63098144531;0;1960.51379394531;0;1989.98547363281;0;1979.73461914063;0;1955.14868164063;0;1986.00061035156;0;2389.32788085938;0;2372.99829101563;0;2389.79321289063;0;2379.30322265625;0;2364.64208984375;0;2384.59594726563
1;88.798957824707;1;118.331275939941;1;114.497093200684;1;89.426513671875;1;120.132652282715;1;115.22240447998;1;376.797607421875;1;414.902587890625;1;411.142181396484;1;375.804870605469;1;414.298156738281;1;410.862518310547;1;1987.01989746094;1;1960.42541503906;1;1990.07043457031;1;1980.84265136719;1;1957.29284667969;1;1986.38513183594;1;2389.44946289063;1;2372.67822265625;1;2389.6044921875;1;2379.42114257813;1;2364.333984375;1;2384.23071289063
2;90.6489791870117;2;124.687171936035;2;116.404144287109;2;90.7163696289063;2;124.806427001953;2;116.665588378906;2;376.617126464844;2;414.849029541016;2;410.733734130859;2;375.525665283203;2;413.793762207031;2;408.940002441406;2;1999.76171875;2;2016.01110839844;2;2004.64184570313;2;1992.61413574219;2;2011.04211425781;2;2000.44226074219;2;2389.21801757813;2;2372.22021484375;2;2389.25659179688;2;2379.1474609375;2;2363.99365234375;2;2383.86840820313
3;90.6551895141602;3;124.717643737793;3;116.424468994141;3;90.7399063110352;3;124.827033996582;3;116.681434631348;3;375.115234375;3;404.589782714844;3;380.431365966797;3;376.742126464844;3;403.738311767578;3;377.528045654297;3;1999.88342285156;3;2016.48364257813;3;2005.25463867188;3;1992.61413574219;3;2011.04211425781;3;2000.44226074219;3;2388.83374023438;3;2372.68603515625;3;2389.20043945313;3;2378.75219726563;3;2364.44384765625;3;2383.8193359375
4;90.6551895141602;4;124.717643737793;4;116.424468994141;4;90.7302169799805;4;124.788749694824;4;116.648658752441;4;409.744476318359;4;412.050354003906;4;374.673248291016;4;411.693145751953;4;412.630279541016;4;374.872161865234;4;1999.88342285156;4;2016.48364257813;4;2005.25463867188;4;1992.46813964844;4;2011.24328613281;4;2001.27392578125;4;2389.265625;4;2372.69067382813;4;2389.57788085938;4;2378.75219726563;4;2364.44384765625;4;2383.8193359375
5;90.6438980102539;5;124.639213562012;5;116.385932922363;5;90.735107421875;5;124.747756958008;5;116.611419677734;5;423.124816894531;5;417.497680664063;5;376.041168212891;5;422.211761474609;5;417.025512695313;5;375.825378417969;5;1999.78686523438;5;2016.21118164063;5;2005.70471191406;5;1992.55114746094;5;2010.99108886719;5;2001.43359375;5;2389.66650390625;5;2372.74487304688;5;2389.95141601563;5;2379.33325195313;5;2364.42529296875;5;2384.41015625
6;90.6502075195313;6;124.674682617188;6;116.415420532227;6;90.7457046508789;6;124.784294128418;6;116.650825500488;6;423.175018310547;6;417.696533203125;6;375.96142578125;6;422.197143554688;6;417.179748535156;6;375.788208007813;6;1999.22937011719;6;2015.5517578125;6;2005.05712890625;6;1991.80676269531;6;2010.15979003906;6;2001.08361816406;6;2389.8828125;6;2372.892578125;6;2390.29174804688;6;2379.81762695313;6;2364.93212890625;6;2385.04077148438
7;90.6150894165039;7;124.707061767578;7;116.426567077637;7;90.7131652832031;7;124.821983337402;7;116.666717529297;7;423.135345458984;7;417.822052001953;7;376.026306152344;7;422.189239501953;7;417.294128417969;7;375.863189697266;7;1999.48095703125;7;2015.38623046875;7;2005.16137695313;7;1991.95166015625;7;2010.01623535156;7;2001.32202148438;7;2389.52026367188;7;2373.48608398438;7;2390.76171875;7;2379.47387695313;7;2365.388671875;7;2385.19165039063
8;90.6268157958984;8;124.696815490723;8;116.418128967285;8;90.7148284912109;8;124.809921264648;8;116.673645019531;8;423.324645996094;8;417.833923339844;8;376.082611083984;8;422.360992431641;8;417.318542480469;8;375.905303955078;8;1999.48095703125;8;2015.38623046875;8;2005.16137695313;8;1991.95166015625;8;2010.01623535156;8;2001.32202148438;8;2389.35498046875;8;2373.126953125;8;2390.24951171875;8;2379.45849609375;8;2364.9150390625;8;2384.8701171875
9;89.1098861694336;9;118.835456848145;9;104.006965637207;9;88.7764129638672;9;117.72582244873;9;101.240821838379;9;423.288055419922;9;417.780548095703;9;376.037048339844;9;422.343414306641;9;417.250366210938;9;375.868804931641;9;1999.28356933594;9;2015.52526855469;9;2005.14733886719;9;1991.95788574219;9;2010.23120117188;9;2001.29675292969;9;2390.32934570313;9;2373.32861328125;9;2390.4296875;9;2379.45849609375;9;2364.9150390625;9;2384.8701171875
10;86.4314422607422;10;108.189437866211;10;78.6183242797852;10;86.4139099121094;10;108.094192504883;10;78.4743118286133;10;423.257446289063;10;417.791107177734;10;376.032379150391;10;422.277374267578;10;417.254669189453;10;375.860748291016;10;1999.26184082031;10;2015.6875;10;2005.40173339844;10;1992.14196777344;10;2010.31237792969;10;2001.41662597656;10;2390.42749023438;10;2373.86962890625;10;2390.4150390625;10;2379.8798828125;10;2365.30517578125;10;2385.71850585938
11;86.3755874633789;11;107.681251525879;11;77.6382141113281;11;86.4809494018555;11;107.816009521484;11;77.8940887451172;11;423.140075683594;11;417.783569335938;11;376.005706787109;11;422.175079345703;11;417.255432128906;11;375.832305908203;11;1999.83068847656;11;2016.35217285156;11;2005.95703125;11;1992.50988769531;11;2010.90808105469;11;2002.09899902344;11;2389.86254882813;11;2374.11743164063;11;2390.53295898438;11;2379.75268554688;11;2365.64672851563;11;2385.33837890625
12;86.3934860229492;12;107.692596435547;12;77.6204376220703;12;86.4965057373047;12;107.822357177734;12;77.8872146606445;12;423.268127441406;12;417.765258789063;12;376.0751953125;12;422.322723388672;12;417.239837646484;12;375.893005371094;12;1999.64953613281;12;2016.46960449219;12;2006.15454101563;12;1992.61218261719;12;2010.86499023438;12;2002.0859375;12;2388.85717773438;12;2373.82153320313;12;2390.18115234375;12;2378.64721679688;12;2365.50024414063;12;2384.83984375
13;86.4199600219727;13;107.703330993652;13;77.6352767944336;13;86.5294418334961;13;107.821998596191;13;77.8868942260742;13;423.216400146484;13;417.811889648438;13;376.109436035156;13;422.240173339844;13;417.239196777344;13;375.970306396484;13;1999.67065429688;13;2016.07055664063;13;2006.05590820313;13;1992.70104980469;13;2010.50805664063;13;2001.81079101563;13;2388.6484375;13;2373.65966796875;13;2390.00952148438;13;2378.48046875;13;2365.162109375;13;2385.18286132813
14;86.4278564453125;14;107.67700958252;14;77.6379699707031;14;86.5301971435547;14;107.81583404541;14;77.8847274780273;14;423.220153808594;14;417.802825927734;14;376.117095947266;14;422.253875732422;14;417.274627685547;14;375.933319091797;14;1999.57653808594;14;2016.06713867188;14;2005.57556152344;14;1992.39111328125;14;2010.53405761719;14;2001.48059082031;14;2388.88232421875;14;2374.05346679688;14;2390.47607421875;14;2378.89208984375;14;2365.64916992188;14;2385.49438476563
15;86.3947830200195;15;107.687431335449;15;77.6382369995117;15;86.4862518310547;15;107.817451477051;15;77.8974990844727;15;423.179656982422;15;417.834228515625;15;376.116455078125;15;422.219879150391;15;417.305206298828;15;375.93310546875;15;1999.58386230469;15;2016.08825683594;15;2005.48876953125;15;1992.34350585938;15;2010.90856933594;15;2001.38330078125;15;2389.04516601563;15;2374.73608398438;15;2391.27954101563;15;2378.91772460938;15;2366.61083984375;15;2385.88208007813
16;86.3996047973633;16;107.689468383789;16;77.6360855102539;16;86.4982528686523;16;107.815948486328;16;77.8998947143555;16;423.317810058594;16;417.837493896484;16;376.104370117188;16;422.41943359375;16;417.241271972656;16;375.939788818359;16;1999.24450683594;16;2015.87890625;16;2005.49792480469;16;1992.20568847656;16;2010.26940917969;16;2001.36059570313;16;2388.46801757813;16;2374.26586914063;16;2390.64794921875;16;2378.12133789063;16;2365.69897460938;16;2385.302734375
17;86.4469833374023;17;107.735870361328;17;77.6712493896484;17;86.5459594726563;17;107.859710693359;17;77.927978515625;17;423.366668701172;17;417.839233398438;17;376.12548828125;17;422.408294677734;17;417.298248291016;17;375.950744628906;17;1998.34631347656;17;2014.21606445313;17;2004.58374023438;17;1990.74011230469;17;2008.61120605469;17;2000.25561523438;17;2388.265625;17;2373.26708984375;17;2390.38012695313;17;2377.951171875;17;2364.94287109375;17;2385.3056640625
18;86.4556198120117;18;107.736557006836;18;77.6780853271484;18;86.5591735839844;18;107.862762451172;18;77.9311141967773;18;423.296936035156;18;417.753631591797;18;376.098205566406;18;422.395874023438;18;417.1943359375;18;375.904937744141;18;1997.81140136719;18;2013.93872070313;18;2003.79748535156;18;1990.36291503906;18;2008.76806640625;18;1999.89575195313;18;2389.185546875;18;2373.291015625;18;2389.71508789063;18;2378.94702148438;18;2364.9541015625;18;2384.8115234375
19;86.4294891357422;19;107.741172790527;19;77.6711730957031;19;86.5210037231445;19;107.857727050781;19;77.9298934936523;19;423.205047607422;19;418.862976074219;19;377.932769775391;19;422.460540771484;19;419.378479003906;19;380.104614257813;19;1997.70812988281;19;2014.09033203125;19;2004.06079101563;19;1990.35876464844;19;2008.71557617188;19;2000.16784667969;19;2389.36376953125;19;2373.43505859375;19;2389.63208007813;19;2378.9833984375;19;2365.064453125;19;2384.74682617188
20;86.4259033203125;20;107.725799560547;20;77.6759185791016;20;86.5210037231445;20;107.857727050781;20;77.9298934936523;20;428.599731445313;20;432.097900390625;20;416.476043701172;20;427.630065917969;20;431.491790771484;20;416.272613525391;20;1997.7333984375;20;2014.09594726563;20;2003.70703125;20;1990.41784667969;20;2008.71203613281;20;1999.75048828125;20;2388.8408203125;20;2373.40600585938;20;2389.33374023438;20;2378.62719726563;20;2364.86181640625;20;2384.38500976563
21;86.4259033203125;21;107.725799560547;21;77.6759185791016;21;86.5269012451172;21;107.860054016113;21;77.9174041748047;21;428.599731445313;21;432.097900390625;21;416.476043701172;21;427.630065917969;21;431.491790771484;21;416.272613525391;21;1997.86767578125;21;2014.25476074219;21;2003.62658691406;21;1990.66821289063;21;2008.7490234375;21;1999.80432128906;21;2390.59375;21;2373.50366210938;21;2389.5224609375;21;2380.7060546875;21;2365.2666015625;21;2384.37475585938
22;86.4497604370117;22;107.717185974121;22;77.6819076538086;22;86.5517425537109;22;107.847557067871;22;77.9348907470703;22;428.605010986328;22;432.046264648438;22;416.574249267578;22;427.633666992188;22;431.502410888672;22;416.308441162109;22;1998.10070800781;22;2014.08837890625;22;2004.08752441406;22;1990.86218261719;22;2008.556640625;22;2000.10632324219;22;2390.73364257813;22;2373.5556640625;22;2389.29125976563;22;2380.56005859375;22;2365.10327148438;22;2384.04248046875
