05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
0;100.317604064941;0;129.5;0;101.395133972168;0;100.853050231934;0;130.182144165039;0;101.931732177734;0;398.192779541016;0;380.685913085938;0;399.021301269531;0;398.196075439453;0;381.555541992188;0;399.988555908203;0;2002.59777832031;0;1997.34338378906;0;2000.07263183594;0;2001.73901367188;0;1998.75122070313;0;2002.34509277344;0;2404.92895507813;0;2403.41284179688;0;2400.01440429688;0;2404.8212890625;0;2405.58666992188;0;2402.94384765625
1;100.338882446289;1;129.59016418457;1;101.364814758301;1;100.858024597168;1;130.240325927734;1;101.880233764648;1;398.155059814453;1;380.333374023438;1;398.963104248047;1;398.647766113281;1;381.170776367188;1;399.875030517578;1;2001.03881835938;1;1997.59313964844;1;1999.04028320313;1;2002.33862304688;1;1998.75122070313;1;2001.59069824219;1;2404.92895507813;1;2404.03686523438;1;2400.61108398438;1;2404.55517578125;1;2403.67504882813;1;2399.81665039063
2;100.316474914551;2;129.656005859375;2;101.311332702637;2;100.874702453613;2;130.292572021484;2;101.893524169922;2;397.910400390625;2;380.543731689453;2;399.052703857422;2;398.632995605469;2;381.635833740234;2;399.951232910156;2;2000.67663574219;2;1997.80102539063;2;2000.10278320313;2;2002.21398925781;2;1999.44445800781;2;2002.21423339844;2;2405.19653320313;2;2403.13647460938;2;2401.10327148438;2;2406.34252929688;2;2404.99438476563;2;2403.65063476563
3;100.250701904297;3;129.656005859375;3;101.391822814941;3;94.8788909912109;3;130.279586791992;3;101.958572387695;3;397.9482421875;3;380.791961669922;3;398.688110351563;3;398.627044677734;3;381.701538085938;3;399.513610839844;3;2001.95227050781;3;1998.36877441406;3;2000.40808105469;3;2002.50720214844;3;1999.62731933594;3;2002.21423339844;3;2405.54296875;3;2403.13647460938;3;2401.72412109375;3;2405.62451171875;3;2405.9287109375;3;2402.28784179688
4;100.344139099121;4;127.099906921387;4;101.444557189941;4;88.4091186523438;4;111.184585571289;4;101.994804382324;4;397.581085205078;4;380.837646484375;4;398.85107421875;4;398.547698974609;4;381.719482421875;4;400.001129150391;4;2002.28051757813;4;1998.14501953125;4;2001.10900878906;4;2002.50720214844;4;1999.36572265625;4;2003.36840820313;4;2406.06811523438;4;2405.27490234375;4;2401.25830078125;4;2406.61328125;4;2404.962890625;4;2403.52490234375
5;100.368743896484;5;92.137077331543;5;101.444557189941;5;88.2365570068359;5;88.1766815185547;5;101.994636535645;5;397.810150146484;5;380.792388916016;5;399.107360839844;5;398.570220947266;5;381.65576171875;5;400.106689453125;5;2002.85339355469;5;1997.41516113281;5;2001.21716308594;5;2002.03088378906;5;1999.36572265625;5;2003.03894042969;5;2404.63427734375;5;2404.61938476563;5;2401.25830078125;5;2405.9169921875;5;2406.90844726563;5;2404.55810546875
6;100.368743896484;6;87.48193359375;6;100.635894775391;6;88.3224868774414;6;87.9457321166992;6;96.3408584594727;6;397.970520019531;6;380.778289794922;6;399.171997070313;6;398.411804199219;6;381.6640625;6;400.124786376953;6;2002.24304199219;6;1997.28674316406;6;2001.17065429688;6;2001.99291992188;6;1998.52563476563;6;2002.908203125;6;2404.63427734375;6;2405.01318359375;6;2402.53247070313;6;2406.77514648438;6;2405.34399414063;6;2403.3662109375
7;99.5585174560547;7;87.54248046875;7;90.9637298583984;7;88.3176727294922;7;88.039192199707;7;90.4835586547852;7;397.976623535156;7;380.690826416016;7;399.165832519531;7;398.37841796875;7;381.513366699219;7;400.200927734375;7;2002.4658203125;7;1996.888671875;7;2000.4423828125;7;2002.0458984375;7;1998.09997558594;7;2002.908203125;7;2406.74438476563;7;2403.66845703125;7;2402.1611328125;7;2405.87622070313;7;2405.52197265625;7;2405.25610351563
8;89.1639022827148;8;87.5377655029297;8;89.8981628417969;8;88.3339004516602;8;88.0522918701172;8;90.3427810668945;8;397.933624267578;8;380.576232910156;8;399.151733398438;8;401.099243164063;8;381.415069580078;8;400.025360107422;8;2002.01159667969;8;1996.59558105469;8;2000.47021484375;8;1999.81079101563;8;1997.92822265625;8;2002.48291015625;8;2406.0712890625;8;2404.61938476563;8;2403.3701171875;8;2405.87622070313;8;2403.86669921875;8;2404.27514648438
9;87.7976989746094;9;87.5377655029297;9;89.9657592773438;9;88.3245544433594;9;88.0500411987305;9;90.4539642333984;9;397.898010253906;9;380.325042724609;9;398.961090087891;9;412.477386474609;9;391.6669921875;9;399.866516113281;9;2001.79333496094;9;1995.08813476563;9;2000.94567871094;9;2001.79077148438;9;1995.66931152344;9;2002.74963378906;9;2407.71240234375;9;2403.21069335938;9;2402.1220703125;9;2406.09985351563;9;2403.86669921875;9;2404.71411132813
