05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
0;125.060775756836;0;85.7123489379883;0;96.8838806152344;0;125.309051513672;0;86.0075912475586;0;97.2267608642578;0;392.564819335938;0;418.738433837891;0;394.006378173828;0;392.281372070313;0;418.726684570313;0;394.199676513672;0;2006.87194824219;0;1982.71118164063;0;2011.28442382813;0;1997.82006835938;0;1941.94421386719;0;2002.52319335938;0;2420.91455078125;0;2394.61596679688;0;2389.75048828125;0;2353.205078125;0;2295.26391601563;0;2319.3271484375
1;125.087043762207;1;85.7512969970703;1;96.9104766845703;1;125.309051513672;1;86.0075912475586;1;97.2267608642578;1;392.524230957031;1;418.976104736328;1;393.937835693359;1;392.196014404297;1;418.710144042969;1;394.185821533203;1;2006.57141113281;1;1982.20153808594;1;2011.2177734375;1;1997.60363769531;1;1941.90539550781;1;2002.66674804688;1;2421.5234375;1;2395.14501953125;1;2389.51123046875;1;2353.74975585938;1;2294.4326171875;1;2319.46215820313
2;125.110534667969;2;85.7570724487305;2;96.8985824584961;2;125.319229125977;2;86.036979675293;2;97.2550430297852;2;392.588348388672;2;418.918609619141;2;394.901245117188;2;392.250762939453;2;418.776214599609;2;394.125610351563;2;2005.97863769531;2;1982.17358398438;2;2011.11315917969;2;1997.08825683594;2;1941.30334472656;2;2002.42138671875;2;2421.54345703125;2;2395.46264648438;2;2389.52075195313;2;2353.85717773438;2;2294.32104492188;2;2319.41967773438
3;125.08479309082;3;85.781120300293;3;96.884880065918;3;125.298812866211;3;86.0160140991211;3;97.2493591308594;3;399.3505859375;3;418.979309082031;3;398.261932373047;3;392.517822265625;3;418.8017578125;3;394.206481933594;3;2006.06018066406;3;1982.01159667969;3;2011.03430175781;3;1997.31848144531;3;1941.56750488281;3;2002.05822753906;3;2420.80688476563;3;2394.51977539063;3;2389.568359375;3;2353.1494140625;3;2294.64794921875;3;2319.21655273438
4;125.048065185547;4;85.8005142211914;4;96.8833312988281;4;125.247703552246;4;85.9978256225586;4;97.252685546875;4;429.732788085938;4;419.020568847656;4;398.889434814453;4;421.409240722656;4;428.56787109375;4;397.640960693359;4;2005.84716796875;4;1981.87023925781;4;2011.1142578125;4;1996.17626953125;4;1941.96301269531;4;2002.35266113281;4;2420.46508789063;4;2394.29565429688;4;2389.568359375;4;2352.95458984375;4;2294.69946289063;4;2319.20385742188
5;125.02806854248;5;85.7745132446289;5;96.8810882568359;5;125.258285522461;5;85.9408798217773;5;97.2147521972656;5;436.627685546875;5;421.008422851563;5;398.850189208984;5;435.032958984375;5;434.315704345703;5;398.931640625;5;2005.10754394531;5;1981.78869628906;5;2011.3896484375;5;1995.82055664063;5;1941.60314941406;5;2002.33337402344;5;2420.46508789063;5;2394.86010742188;5;2389.673828125;5;2353.34228515625;5;2293.99951171875;5;2319.39721679688
6;125.029411315918;6;85.7594909667969;6;96.8951644897461;6;125.280990600586;6;85.9917831420898;6;97.2441482543945;6;436.5869140625;6;431.935882568359;6;398.750274658203;6;436.209686279297;6;435.054473876953;6;399.037048339844;6;2004.79699707031;6;1981.89221191406;6;2011.3896484375;6;1995.63244628906;6;1941.9423828125;6;2002.49243164063;6;2421.84252929688;6;2394.7841796875;6;2389.50268554688;6;2354.05908203125;6;2293.90966796875;6;2319.2802734375
7;125.02513885498;7;85.728141784668;7;96.8874130249023;7;125.245704650879;7;85.9653015136719;7;97.2579879760742;7;436.589599609375;7;435.161529541016;7;398.741577148438;7;436.155578613281;7;435.068298339844;7;398.923065185547;7;2004.79699707031;7;1981.966796875;7;2011.25036621094;7;1996.06115722656;7;1941.86108398438;7;2002.53125;7;2421.76293945313;7;2394.7841796875;7;2388.60693359375;7;2353.88598632813;7;2294.32055664063;7;2319.8671875
8;125.016136169434;8;85.6970062255859;8;96.894889831543;8;125.232208251953;8;85.974853515625;8;97.2452239990234;8;436.635864257813;8;435.292816162109;8;398.754119873047;8;436.211212158203;8;434.958129882813;8;398.916748046875;8;2004.80151367188;8;1982.2080078125;8;2011.38208007813;8;1995.61352539063;8;1942.04028320313;8;2002.55725097656;8;2421.46533203125;8;2393.8681640625;8;2388.828125;8;2353.68994140625;8;2295.42407226563;8;2318.52319335938
9;125.020652770996;9;85.7287902832031;9;96.7932815551758;9;125.25074005127;9;85.9751663208008;9;97.2431182861328;9;436.683715820313;9;435.352600097656;9;398.723205566406;9;436.25537109375;9;435.037445068359;9;398.913940429688;9;2005.24475097656;9;1982.2080078125;9;2011.21484375;9;1995.98022460938;9;1942.33044433594;9;2002.77038574219;9;2422.341796875;9;2394.91284179688;9;2398.77709960938;9;2354.05249023438;9;2294.97119140625;9;2318.78393554688
