05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;50_L1_t_Einspeisung;50_L1_I_Einspeisung;50_L2_t_Einspeisung;50_L2_I_Einspeisung;50_L3_t_Einspeisung;50_L3_I_Einspeisung;50_L1_t_Pruefling;50_L1_I_Pruefling;50_L2_t_Pruefling;50_L2_I_Pruefling;50_L3_t_Pruefling;50_L3_I_Pruefling;80_L1_t_Einspeisung;80_L1_I_Einspeisung;80_L2_t_Einspeisung;80_L2_I_Einspeisung;80_L3_t_Einspeisung;80_L3_I_Einspeisung;80_L1_t_Pruefling;80_L1_I_Pruefling;80_L2_t_Pruefling;80_L2_I_Pruefling;80_L3_t_Pruefling;80_L3_I_Pruefling;90_L1_t_Einspeisung;90_L1_I_Einspeisung;90_L2_t_Einspeisung;90_L2_I_Einspeisung;90_L3_t_Einspeisung;90_L3_I_Einspeisung;90_L1_t_Pruefling;90_L1_I_Pruefling;90_L2_t_Pruefling;90_L2_I_Pruefling;90_L3_t_Pruefling;90_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
0;156.763595581055;0;161.765960693359;0;147.296173095703;0;157.143493652344;0;162.181686401367;0;147.856201171875;0;607.263854980469;0;585.636474609375;0;617.684936523438;0;606.798095703125;0;585.687316894531;0;618.348571777344;0;1494.5869140625;0;1514.97961425781;0;1508.40026855469;0;1492.13122558594;0;1513.35400390625;0;1508.23889160156;0;2387.70629882813;0;2397.650390625;0;2397.87158203125;0;2383.83715820313;0;2395.69287109375;0;2397.35034179688;0;2703.69750976563;0;2701.40161132813;0;2700.3134765625;0;2699.95166015625;0;2702.5576171875;0;2700.04345703125;0;3022.22045898438;0;3004.41723632813;0;2995.92651367188;0;3019.13134765625;0;3012.45947265625;0;2996.41381835938;0;3602.54711914063;0;3613.7568359375;0;3607.04809570313;0;3600.4560546875;0;3648.19189453125;0;3610.40454101563
1;156.737335205078;1;161.77067565918;1;147.282104492188;1;157.058547973633;1;162.163528442383;1;147.808380126953;1;607.728332519531;1;586.077087402344;1;618.420776367188;1;607.248229980469;1;586.136047363281;1;619.0537109375;1;1494.669921875;1;1515.25244140625;1;1508.83178710938;1;1492.27612304688;1;1513.63171386719;1;1508.88293457031;1;2384.2578125;1;2393.94458007813;1;2394.26977539063;1;2380.3603515625;1;2391.9990234375;1;2393.67919921875;1;2705.83447265625;1;2704.08837890625;1;2702.81958007813;1;2702.04443359375;1;2704.77758789063;1;2702.17333984375;1;3020.19482421875;1;3003.50708007813;1;2993.98120117188;1;3016.595703125;1;3011.58178710938;1;2993.96240234375;1;3602.28735351563;1;3614.599609375;1;3607.80859375;1;3597.9873046875;1;3646.32153320313;1;3609.349609375
2;156.905456542969;2;161.937362670898;2;147.423614501953;2;157.245468139648;2;162.350509643555;2;147.946304321289;2;607.974548339844;2;586.241333007813;2;618.7236328125;2;607.490173339844;2;586.276245117188;2;619.346984863281;2;1493.86315917969;2;1514.73156738281;2;1508.24743652344;2;1491.42749023438;2;1513.15502929688;2;1508.14318847656;2;2384.50561523438;2;2394.99975585938;2;2394.88842773438;2;2379.25244140625;2;2391.92700195313;2;2392.35400390625;2;2706.45849609375;2;2704.57495117188;2;2703.36401367188;2;2702.44311523438;2;2705.31103515625;2;2702.6328125;2;3023.3955078125;2;3006.18872070313;2;2996.86547851563;2;3019.98291015625;2;3014.34912109375;2;2996.884765625;2;3599.04418945313;2;3610.67065429688;2;3605.4296875;2;3597.51904296875;2;3645.0126953125;2;3609.4716796875
3;156.842758178711;3;161.841522216797;3;147.317443847656;3;157.262924194336;3;162.330200195313;3;147.946533203125;3;607.927612304688;3;586.154479980469;3;618.729064941406;3;607.49267578125;3;586.237487792969;3;619.395629882813;3;1494.60070800781;3;1515.15124511719;3;1508.64245605469;3;1492.2294921875;3;1513.5419921875;3;1508.71142578125;3;2382.998046875;3;2393.69287109375;3;2393.1611328125;3;2379.25244140625;3;2391.92700195313;3;2392.35400390625;3;2706.25073242188;3;2704.02709960938;3;2702.3515625;3;2702.5107421875;3;2704.27709960938;3;2701.99536132813;3;3019.27880859375;3;3000.65234375;3;2992.2177734375;3;3015.87182617188;3;3009.15844726563;3;2992.46704101563;3;3600.54711914063;3;3611.0908203125;3;3606.0712890625;3;3596.96240234375;3;3643.67724609375;3;3608.08544921875
4;156.918746948242;4;161.927261352539;4;147.409576416016;4;157.262924194336;4;162.330200195313;4;147.946533203125;4;607.486145019531;4;585.650390625;4;618.191650390625;4;607.039123535156;4;585.721130371094;4;618.85302734375;4;1511.43151855469;4;1517.32189941406;4;1510.09509277344;4;1507.33374023438;4;1515.71142578125;4;1509.70886230469;4;2387.14282226563;4;2395.87109375;4;2396.72265625;4;2383.36889648438;4;2394.0380859375;4;2395.94262695313;4;2706.25073242188;4;2704.02709960938;4;2702.3515625;4;2702.5107421875;4;2704.27709960938;4;2701.99536132813;4;3022.61206054688;4;3003.32153320313;4;2995.72827148438;4;3018.98608398438;4;3011.6201171875;4;2995.71484375;4;3595.11767578125;4;3606.30224609375;4;3600.89379882813;4;3592.70483398438;4;3640.05541992188;4;3604.25439453125
5;156.895294189453;5;161.907928466797;5;147.385406494141;5;157.223693847656;5;162.301376342773;5;147.93293762207;5;607.698059082031;5;585.850219726563;5;618.387084960938;5;607.224609375;5;585.893981933594;5;619.018249511719;5;1544.11486816406;5;1528.70324707031;5;1514.1728515625;5;1540.88940429688;5;1527.03527832031;5;1514.13916015625;5;2387.14282226563;5;2395.87109375;5;2396.72265625;5;2383.36889648438;5;2394.0380859375;5;2395.94262695313;5;2694.2001953125;5;2692.45703125;5;2690.26171875;5;2690.20727539063;5;2692.318359375;5;2690.18115234375;5;3021.02905273438;5;3002.64379882813;5;2994.44848632813;5;3017.70581054688;5;3011.52856445313;5;2995.01025390625;5;3603.13989257813;5;3616.357421875;5;3610.45385742188;5;3601.52612304688;5;3651.10278320313;5;3614.54174804688
6;156.895294189453;6;161.907928466797;6;147.385406494141;6;157.223693847656;6;162.301376342773;6;147.93293762207;6;608.424133300781;6;586.282348632813;6;618.806091308594;6;607.946411132813;6;586.249145507813;6;619.518737792969;6;1553.38989257813;6;1534.84130859375;6;1517.40600585938;6;1550.09509277344;6;1533.04699707031;6;1516.43981933594;6;2385.890625;6;2394.79125976563;6;2395.45874023438;6;2381.919921875;6;2393.16479492188;6;2394.6982421875;6;2694.2001953125;6;2692.45703125;6;2690.26171875;6;2690.20727539063;6;2692.318359375;6;2690.18115234375;6;3022.27514648438;6;3004.26440429688;6;2995.66845703125;6;3015.826171875;6;3011.02880859375;6;2994.37036132813;6;3601.7958984375;6;3615.16748046875;6;3607.32543945313;6;3596.05688476563;6;3644.0791015625;6;3608.18481445313
7;156.820846557617;7;161.849716186523;7;147.325057983398;7;157.155090332031;7;162.243041992188;7;147.860778808594;7;608.626220703125;7;586.469299316406;7;618.932678222656;7;608.131774902344;7;586.526550292969;7;619.590698242188;7;1552.74291992188;7;1534.71826171875;7;1516.56616210938;7;1550.09509277344;7;1533.04699707031;7;1516.43981933594;7;2385.890625;7;2394.79125976563;7;2395.45874023438;7;2381.919921875;7;2393.16479492188;7;2394.6982421875;7;2704.55615234375;7;2701.35498046875;7;2700.47119140625;7;2700.78955078125;7;2701.84375;7;2699.91381835938;7;3022.27514648438;7;3004.26440429688;7;2995.66845703125;7;3018.58837890625;7;3012.4912109375;7;2996.328125;7;3601.7958984375;7;3615.16748046875;7;3607.32543945313;7;3599.70581054688;7;3649.55981445313;7;3610.6396484375
8;156.820846557617;8;161.849716186523;8;147.325057983398;8;157.224273681641;8;162.283294677734;8;147.933364868164;8;608.813598632813;8;586.453979492188;8;619.030334472656;8;608.354248046875;8;586.495849609375;8;619.699768066406;8;1551.40832519531;8;1533.68786621094;8;1515.18908691406;8;1548.75524902344;8;1532.02685546875;8;1515.09240722656;8;2390.93090820313;8;2399.95654296875;8;2399.94750976563;8;2386.82788085938;8;2398.3125;8;2399.28881835938;8;2704.66235351563;8;2701.63525390625;8;2700.51440429688;8;2700.68505859375;8;2702.32836914063;8;2699.73608398438;8;3019.78686523438;8;3002.55493164063;8;2993.70556640625;8;3016.11889648438;8;3010.44873046875;8;2994.15307617188;8;3603.90966796875;8;3617.40161132813;8;3611.009765625;8;3601.15747070313;8;3650.62915039063;8;3613.67041015625
9;156.696548461914;9;161.683349609375;9;147.194442749023;9;157.033264160156;9;162.088638305664;9;147.721069335938;9;608.746337890625;9;586.348022460938;9;619.026306152344;9;608.362487792969;9;586.347534179688;9;619.775817871094;9;1551.40832519531;9;1533.68786621094;9;1515.18908691406;9;1548.75524902344;9;1532.02685546875;9;1515.09240722656;9;2389.49584960938;9;2399.52905273438;9;2399.19360351563;9;2385.46899414063;9;2397.82202148438;9;2398.4873046875;9;2701.6259765625;9;2698.73974609375;9;2697.54028320313;9;2697.62329101563;9;2699.42333984375;9;2696.79077148438;9;3019.78686523438;9;3002.55493164063;9;2993.70556640625;9;3016.11889648438;9;3010.44873046875;9;2994.15307617188;9;3605.84228515625;9;3618.84936523438;9;3612.45825195313;9;3601.15747070313;9;3650.62915039063;9;3613.67041015625
