05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;50_L1_t_Einspeisung;50_L1_I_Einspeisung;50_L2_t_Einspeisung;50_L2_I_Einspeisung;50_L3_t_Einspeisung;50_L3_I_Einspeisung;50_L1_t_Pruefling;50_L1_I_Pruefling;50_L2_t_Pruefling;50_L2_I_Pruefling;50_L3_t_Pruefling;50_L3_I_Pruefling;80_L1_t_Einspeisung;80_L1_I_Einspeisung;80_L2_t_Einspeisung;80_L2_I_Einspeisung;80_L3_t_Einspeisung;80_L3_I_Einspeisung;80_L1_t_Pruefling;80_L1_I_Pruefling;80_L2_t_Pruefling;80_L2_I_Pruefling;80_L3_t_Pruefling;80_L3_I_Pruefling;90_L1_t_Einspeisung;90_L1_I_Einspeisung;90_L2_t_Einspeisung;90_L2_I_Einspeisung;90_L3_t_Einspeisung;90_L3_I_Einspeisung;90_L1_t_Pruefling;90_L1_I_Pruefling;90_L2_t_Pruefling;90_L2_I_Pruefling;90_L3_t_Pruefling;90_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
0;120.855895996094;0;142.870712280273;0;144.337142944336;0;120.910202026367;0;143.169158935547;0;144.6513671875;0;564.454345703125;0;601.44677734375;0;613.845581054688;0;563.668395996094;0;601.348327636719;0;613.84326171875;0;1506.16284179688;0;1492.37438964844;0;1502.56689453125;0;1502.177734375;0;1508.16735839844;0;1502.15258789063;0;2405.43188476563;0;2419.86547851563;0;2429.083984375;0;2348.958984375;0;2381.71875;0;2427.37573242188;0;2731.69067382813;0;2736.32836914063;0;2714.0380859375;0;2708.35668945313;0;2670.0283203125;0;2709.96508789063;0;3014.52587890625;0;3045.53466796875;0;3008.26708984375;0;3000.5224609375;0;2953.02392578125;0;3003.19189453125;0;3612.3212890625;0;3588.90698242188;0;3612.59130859375;0;3575.34814453125;0;3380.88305664063;0;3586.32275390625
1;120.74649810791;1;142.870712280273;1;144.337142944336;1;121.023956298828;1;143.212677001953;1;144.617248535156;1;564.454345703125;1;603.055236816406;1;614.574768066406;1;563.712768554688;1;601.542236328125;1;613.591125488281;1;1457.65942382813;1;1491.38049316406;1;1501.51403808594;1;1501.01635742188;1;1509.62963867188;1;1500.14221191406;1;2404.71557617188;1;2421.77221679688;1;2430.2900390625;1;2348.958984375;1;2398.71362304688;1;2426.83837890625;1;2732.23266601563;1;2736.32836914063;1;2714.0380859375;1;2718.41552734375;1;2684.38842773438;1;2709.66455078125;1;3014.421875;1;3045.20874023438;1;3008.29565429688;1;3000.26831054688;1;2952.4609375;1;3003.14575195313;1;3612.68872070313;1;3589.201171875;1;3612.65625;1;3575.34814453125;1;3380.86499023438;1;3583.98950195313
2;120.74649810791;2;142.967971801758;2;144.408508300781;2;121.042694091797;2;143.267227172852;2;144.688629150391;2;570.654357910156;2;603.055236816406;2;614.574768066406;2;563.86328125;2;601.311950683594;2;617.529541015625;2;1450.6064453125;2;1491.85180664063;2;1501.75085449219;2;1502.60229492188;2;1508.77795410156;2;1500.04467773438;2;2406.85791015625;2;2421.77221679688;2;2430.2900390625;2;2397.64794921875;2;2398.47338867188;2;2411.9521484375;2;2732.23266601563;2;2735.91015625;2;2713.51196289063;2;2721.318359375;2;2684.76196289063;2;2709.84643554688;2;3014.3349609375;2;3044.63623046875;2;3008.12133789063;2;3001.27734375;2;2952.63134765625;2;3003.20727539063;2;3612.78735351563;2;3588.720703125;2;3613.0400390625;2;3574.25634765625;2;3381.591796875;2;3586.71704101563
3;120.87686920166;3;142.834014892578;3;144.245635986328;3;121.042121887207;3;143.146331787109;3;144.654037475586;3;570.654357910156;3;618.451110839844;3;618.860412597656;3;563.660095214844;3;601.456420898438;3;618.81494140625;3;1451.02795410156;3;1491.86999511719;3;1501.96166992188;3;1500.63427734375;3;1494.15185546875;3;1500.2724609375;3;2406.85791015625;3;2406.5;3;2391.92407226563;3;2397.46923828125;3;2399.79956054688;3;2390.69287109375;3;2731.6650390625;3;2735.91015625;3;2713.51196289063;3;2722.22583007813;3;2685.38671875;3;2709.484375;3;3014.22534179688;3;3044.4765625;3;3007.88916015625;3;3001.71435546875;3;2953.15551757813;3;3002.2763671875;3;3612.14282226563;3;3588.720703125;3;3613.0400390625;3;3574.76708984375;3;3381.55004882813;3;3586.98071289063
4;120.71720123291;4;143.213668823242;4;144.519638061523;4;120.93270111084;4;143.11181640625;4;144.686126708984;4;615.947082519531;4;619.47314453125;4;619.610046386719;4;563.766296386719;4;601.167541503906;4;619.383850097656;4;1450.9912109375;4;1490.88488769531;4;1500.91564941406;4;1465.51782226563;4;1488.85522460938;4;1500.37731933594;4;2400.07421875;4;2406.5;4;2391.92407226563;4;2398.60180664063;4;2400.0888671875;4;2387.53002929688;4;2731.6650390625;4;2735.4775390625;4;2712.0546875;4;2722.1962890625;4;2684.7919921875;4;2708.43823242188;4;3014.4208984375;4;3044.06909179688;4;3007.11254882813;4;3001.39501953125;4;2952.93481445313;4;3002.2763671875;4;3612.14282226563;4;3584.2197265625;4;3609.494140625;4;3574.72094726563;4;3378.68383789063;4;3583.62622070313
5;122.05347442627;5;152.792022705078;5;147.867935180664;5;120.958038330078;5;143.216110229492;5;146.640151977539;5;616.830139160156;5;619.160705566406;5;619.101745605469;5;563.592346191406;5;610.332092285156;5;618.949340820313;5;1450.43762207031;5;1490.50598144531;5;1500.77062988281;5;1447.38500976563;5;1489.87854003906;5;1498.30883789063;5;2400.07421875;5;2405.37817382813;5;2391.48168945313;5;2399.58203125;5;2396.66284179688;5;2387.9794921875;5;2729.97119140625;5;2736.41674804688;5;2713.37524414063;5;2722.046875;5;2684.7939453125;5;2709.47485351563;5;3014.22436523438;5;3040.24389648438;5;3003.90991210938;5;3001.42651367188;5;2952.4345703125;5;3001.19262695313;5;3604.69262695313;5;3584.2197265625;5;3609.494140625;5;3571.609375;5;3380.72338867188;5;3580.52880859375
6;154.736114501953;6;158.204605102539;6;149.70246887207;6;121.049011230469;6;143.177978515625;6;149.812637329102;6;616.433654785156;6;619.58203125;6;619.495666503906;6;592.754760742188;6;617.886535644531;6;619.307800292969;6;1450.142578125;6;1491.52209472656;6;1501.78686523438;6;1447.62768554688;6;1490.02709960938;6;1500.29541015625;6;2400.10717773438;6;2406.00854492188;6;2392.18090820313;6;2397.14038085938;6;2389.66479492188;6;2388.47290039063;6;2731.45361328125;6;2731.60131835938;6;2712.49877929688;6;2721.55859375;6;2684.92236328125;6;2709.47802734375;6;3010.6083984375;6;3044.2509765625;6;3007.6640625;6;3001.33349609375;6;2952.11694335938;6;3002.185546875;6;3604.69262695313;6;3581.19970703125;6;3605.08935546875;6;3573.9755859375;6;3381.15307617188;6;3579.26098632813
7;168.403167724609;7;158.239883422852;7;149.647430419922;7;120.986068725586;7;143.243957519531;7;149.974304199219;7;616.948486328125;7;619.113159179688;7;619.069274902344;7;614.465270996094;7;619.075805664063;7;618.943603515625;7;1451.27062988281;7;1491.60778808594;7;1501.4404296875;7;1447.54443359375;7;1489.67980957031;7;1500.05126953125;7;2400.42944335938;7;2405.8837890625;7;2392.77783203125;7;2394.02026367188;7;2386.48559570313;7;2389.38842773438;7;2723.16088867188;7;2717.07055664063;7;2708.36352539063;7;2721.67944335938;7;2684.4521484375;7;2705.607421875;7;3014.0654296875;7;3043.9931640625;7;3007.20092773438;7;3001.38720703125;7;2952.11694335938;7;3002.50708007813;7;3600.419921875;7;3584.73608398438;7;3608.5703125;7;3573.86279296875;7;3379.10693359375;7;3580.7451171875
8;168.360076904297;8;158.307830810547;8;149.657592773438;8;121.035003662109;8;148.132232666016;8;150.072540283203;8;616.566528320313;8;618.383728027344;8;614.825134277344;8;615.892028808594;8;618.856750488281;8;619.425537109375;8;1451.02905273438;8;1491.52954101563;8;1501.26623535156;8;1447.70922851563;8;1487.98181152344;8;1500.85473632813;8;2400.97021484375;8;2406.04614257813;8;2392.99682617188;8;2392.13842773438;8;2386.88525390625;8;2389.630859375;8;2688.99169921875;8;2714.412109375;8;2707.05615234375;8;2720.154296875;8;2685.21655273438;8;2703.5927734375;8;3014.13061523438;8;3044.43432617188;8;3007.7509765625;8;3001.38720703125;8;2950.53076171875;8;2996.33276367188;8;3604.537109375;8;3587.080078125;8;3610.11108398438;8;3570.46264648438;8;3376.12622070313;8;3583.10327148438
9;168.397125244141;9;158.232391357422;9;149.5966796875;9;139.645294189453;9;157.736587524414;9;149.858734130859;9;615.998779296875;9;606.758728027344;9;582.631408691406;9;615.423583984375;9;619.308532714844;9;593.350524902344;9;1451.13488769531;9;1495.02807617188;9;1503.63061523438;9;1446.2001953125;9;1489.22998046875;9;1500.85473632813;9;2401.494140625;9;2406.3291015625;9;2393.3388671875;9;2392.890625;9;2386.65991210938;9;2389.732421875;9;2677.00146484375;9;2715.23803710938;9;2706.63330078125;9;2721.73559570313;9;2684.04028320313;9;2702.90625;9;3014.58325195313;9;3013.55639648438;9;2997.61645507813;9;3000.06103515625;9;2951.87280273438;9;2989.6328125;9;3607.60620117188;9;3585.78442382813;9;3609.11547851563;9;3563.6865234375;9;3376.28466796875;9;3582.58227539063
