05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;50_L1_t_Einspeisung;50_L1_I_Einspeisung;50_L2_t_Einspeisung;50_L2_I_Einspeisung;50_L3_t_Einspeisung;50_L3_I_Einspeisung;50_L1_t_Pruefling;50_L1_I_Pruefling;50_L2_t_Pruefling;50_L2_I_Pruefling;50_L3_t_Pruefling;50_L3_I_Pruefling;80_L1_t_Einspeisung;80_L1_I_Einspeisung;80_L2_t_Einspeisung;80_L2_I_Einspeisung;80_L3_t_Einspeisung;80_L3_I_Einspeisung;80_L1_t_Pruefling;80_L1_I_Pruefling;80_L2_t_Pruefling;80_L2_I_Pruefling;80_L3_t_Pruefling;80_L3_I_Pruefling;90_L1_t_Einspeisung;90_L1_I_Einspeisung;90_L2_t_Einspeisung;90_L2_I_Einspeisung;90_L3_t_Einspeisung;90_L3_I_Einspeisung;90_L1_t_Pruefling;90_L1_I_Pruefling;90_L2_t_Pruefling;90_L2_I_Pruefling;90_L3_t_Pruefling;90_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
0;247.674682617188;0;267.157257080078;0;248.207077026367;0;247.711685180664;0;267.134094238281;0;248.528442382813;0;999.694519042969;0;1006.18353271484;0;994.418884277344;0;997.89306640625;0;1004.77935791016;0;994.0771484375;0;2486.4248046875;0;2486.93212890625;0;2500.32495117188;0;2479.76977539063;0;2479.96655273438;0;2497.19653320313;0;4029.05932617188;0;4001.74975585938;0;4023.26342773438;0;4016.72680664063;0;3924.64111328125;0;4017.79956054688;0;4516.4189453125;0;4515.7099609375;0;4503.771484375;0;4501.11767578125;0;4385.65771484375;0;4497.18505859375;0;4982.95947265625;0;5003.3193359375;0;4999.6455078125;0;4966.38037109375;0;4811.673828125;0;4992.15185546875;0;6005.23046875;0;5973.33740234375;0;5983.92236328125;0;5954.58251953125;0;5635.9169921875;0;5954.2177734375
1;247.649765014648;1;267.077087402344;1;248.134674072266;1;247.74967956543;1;267.110534667969;1;248.448715209961;1;1000.02331542969;1;1006.44281005859;1;994.593383789063;1;997.926940917969;1;1004.85412597656;1;994.181213378906;1;2486.36767578125;1;2486.8564453125;1;2499.7646484375;1;2480.07739257813;1;2480.40014648438;1;2497.25317382813;1;4029.70532226563;1;4001.53295898438;1;4023.40258789063;1;4016.59228515625;1;3924.01220703125;1;4017.09228515625;1;4515.94091796875;1;4515.55029296875;1;4503.2919921875;1;4501.11767578125;1;4385.65771484375;1;4497.18505859375;1;4983.43115234375;1;5003.80517578125;1;5000.3251953125;1;4966.76416015625;1;4811.787109375;1;4992.82666015625;1;6005.1064453125;1;5972.49853515625;1;5983.11669921875;1;5954.369140625;1;5635.158203125;1;5953.99658203125
2;247.667388916016;2;267.070129394531;2;248.121429443359;2;247.742462158203;2;267.079681396484;2;248.438690185547;2;1000.41247558594;2;1009.32403564453;2;1000.08709716797;2;1000.46197509766;2;1017.99237060547;2;1021.54113769531;2;2486.4384765625;2;2486.625;2;2500.04565429688;2;2479.94775390625;2;2480.12329101563;2;2497.00048828125;2;3983.68798828125;2;3982.05224609375;2;4017.22778320313;2;3984.08715820313;2;3910.44018554688;2;4013.45043945313;2;4516.0361328125;2;4514.82568359375;2;4502.673828125;2;4501.87158203125;2;4383.169921875;2;4496.24072265625;2;4982.52734375;2;5002.28759765625;2;4999.48486328125;2;4965.91943359375;2;4810.67529296875;2;4992.01611328125;2;6004.50439453125;2;5972.95751953125;2;5982.70166015625;2;5953.87646484375;2;5635.06494140625;2;5953.4228515625
3;247.674987792969;3;267.111694335938;3;248.158264160156;3;247.742462158203;3;267.079681396484;3;248.438690185547;3;1004.12585449219;3;1022.60852050781;3;1032.97802734375;3;1002.17913818359;3;1021.02630615234;3;1032.37536621094;3;2486.48461914063;3;2486.04809570313;3;2500.20678710938;3;2479.70532226563;3;2479.40966796875;3;2497.23120117188;3;3983.68798828125;3;3982.05224609375;3;4017.22778320313;3;3956.60131835938;3;3901.0322265625;3;4009.77758789063;3;4516.8681640625;3;4513.40380859375;3;4502.3193359375;3;4501.87158203125;3;4383.169921875;3;4496.24072265625;3;4982.52734375;3;5002.28759765625;3;4999.48486328125;3;4964.78515625;3;4809.94921875;3;4991.12646484375;3;6003.81591796875;3;5972.52783203125;3;5981.78369140625;3;5953.19287109375;3;5635.3955078125;3;5953.13330078125
4;247.584289550781;4;267.007965087891;4;248.095306396484;4;247.613021850586;4;266.876525878906;4;248.395004272461;4;1004.12585449219;4;1022.60852050781;4;1032.97802734375;4;1002.23382568359;4;1020.67175292969;4;1032.53210449219;4;2486.84643554688;4;2486.34204101563;4;2500.51635742188;4;2480.25561523438;4;2479.60888671875;4;2497.55224609375;4;3965.78686523438;4;3975.52124023438;4;4015.0361328125;4;3953.97241210938;4;3899.978515625;4;4009.619140625;4;4516.88525390625;4;4514.90625;4;4503.06982421875;4;4502.61767578125;4;4385.2744140625;4;4496.81591796875;4;4980.61572265625;4;5001.39208984375;4;4998.833984375;4;4963.962890625;4;4809.67236328125;4;4990.63525390625;4;6005.8046875;4;5972.20166015625;4;5981.9619140625;4;5954.1220703125;4;5634.41455078125;4;5952.3193359375
5;247.605865478516;5;266.923736572266;5;248.111114501953;5;247.613021850586;5;266.876525878906;5;248.395004272461;5;1004.44610595703;5;1022.39697265625;5;1033.29821777344;5;1002.30126953125;5;1020.7138671875;5;1032.7001953125;5;2486.779296875;5;2487.06762695313;5;2500.53149414063;5;2480.5244140625;5;2480.18334960938;5;2497.734375;5;3965.78686523438;5;3975.52124023438;5;4015.0361328125;5;3953.88305664063;5;3900.14208984375;5;4009.53466796875;5;4516.62548828125;5;4515.46875;5;4503.0634765625;5;4502.61767578125;5;4385.2744140625;5;4496.81591796875;5;4981.85302734375;5;5002.7177734375;5;4999.25537109375;5;4964.9267578125;5;4810.779296875;5;4991.5947265625;5;6007.1171875;5;5973.8681640625;5;5984.45654296875;5;5956.13134765625;5;5636.26123046875;5;5954.68212890625
6;247.656036376953;6;267.054992675781;6;248.216247558594;6;247.71012878418;6;267.001831054688;6;248.525833129883;6;1004.44610595703;6;1022.39697265625;6;1033.29821777344;6;1002.14288330078;6;1020.85217285156;6;1032.83020019531;6;2486.1005859375;6;2485.8134765625;6;2500.47729492188;6;2479.95361328125;6;2479.56127929688;6;2497.5634765625;6;3965.29174804688;6;3975.76049804688;6;4014.96215820313;6;3953.09692382813;6;3900.62426757813;6;4009.69702148438;6;4516.62841796875;6;4514.58203125;6;4502.29931640625;6;4503.22412109375;6;4384.60986328125;6;4495.68603515625;6;4981.484375;6;5002.2158203125;6;4999.0361328125;6;4964.86083984375;6;4810.51123046875;6;4991.2080078125;6;6005.287109375;6;5973.787109375;6;5983.8828125;6;5954.837890625;6;5635.85107421875;6;5954.7353515625
7;247.645126342773;7;267.012420654297;7;248.2421875;7;247.718933105469;7;266.97900390625;7;248.538345336914;7;1003.41918945313;7;1022.43048095703;7;1032.796875;7;1001.40563964844;7;1020.84643554688;7;1032.41369628906;7;2486.283203125;7;2485.22119140625;7;2500.54663085938;7;2479.67529296875;7;2478.71997070313;7;2497.83984375;7;3965.87524414063;7;3976.171875;7;4014.90234375;7;3953.63549804688;7;3900.16015625;7;4009.53002929688;7;4517.8359375;7;4514.32080078125;7;4501.69482421875;7;4502.224609375;7;4383.76171875;7;4495.3232421875;7;4981.69775390625;7;5002.74169921875;7;4998.97998046875;7;4964.93408203125;7;4810.8779296875;7;4991.3076171875;7;6004.2783203125;7;5974.90185546875;7;5983.87060546875;7;5953.611328125;7;5636.87255859375;7;5954.9873046875
8;247.689849853516;8;267.044158935547;8;248.243576049805;8;247.769760131836;8;267.012725830078;8;248.54963684082;8;1003.41918945313;8;1022.43048095703;8;1032.796875;8;1001.46673583984;8;1020.59387207031;8;1032.14978027344;8;2486.03442382813;8;2485.33056640625;8;2500.48266601563;8;2478.99047851563;8;2478.54272460938;8;2497.9921875;8;3965.7138671875;8;3975.99755859375;8;4014.39794921875;8;3954.06225585938;8;3900.60131835938;8;4008.84057617188;8;4516.3388671875;8;4513.84912109375;8;4500.81689453125;8;4499.70361328125;8;4382.794921875;8;4493.6494140625;8;4981.64697265625;8;5003.654296875;8;4998.548828125;8;4965.40283203125;8;4811.49951171875;8;4990.52587890625;8;6010.43896484375;8;5998.65478515625;8;6014.06494140625;8;5956.03955078125;8;5648.55029296875;8;5974.29736328125
9;247.701965332031;9;267.084838867188;9;248.259368896484;9;247.702362060547;9;267.013061523438;9;248.519729614258;9;1003.79595947266;9;1022.61938476563;9;1032.9775390625;9;1001.72576904297;9;1020.744140625;9;1032.32678222656;9;2486.92846679688;9;2486.0185546875;9;2500.1806640625;9;2479.54809570313;9;2478.66845703125;9;2496.98974609375;9;3966.74658203125;9;3975.29760742188;9;4013.82958984375;9;3954.88745117188;9;3900.27124023438;9;4008.21215820313;9;4513.94482421875;9;4511.84716796875;9;4499.7333984375;9;4498.92041015625;9;4381.22802734375;9;4492.49755859375;9;4980.7958984375;9;5004.9072265625;9;4999.69873046875;9;4963.89453125;9;4812.78857421875;9;4991.650390625;9;6027.625;9;6052.38427734375;9;6036.5966796875;9;5971.716796875;9;5699.19580078125;9;5999.07958984375
