05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;50_L1_t_Einspeisung;50_L1_I_Einspeisung;50_L2_t_Einspeisung;50_L2_I_Einspeisung;50_L3_t_Einspeisung;50_L3_I_Einspeisung;50_L1_t_Pruefling;50_L1_I_Pruefling;50_L2_t_Pruefling;50_L2_I_Pruefling;50_L3_t_Pruefling;50_L3_I_Pruefling;80_L1_t_Einspeisung;80_L1_I_Einspeisung;80_L2_t_Einspeisung;80_L2_I_Einspeisung;80_L3_t_Einspeisung;80_L3_I_Einspeisung;80_L1_t_Pruefling;80_L1_I_Pruefling;80_L2_t_Pruefling;80_L2_I_Pruefling;80_L3_t_Pruefling;80_L3_I_Pruefling;90_L1_t_Einspeisung;90_L1_I_Einspeisung;90_L2_t_Einspeisung;90_L2_I_Einspeisung;90_L3_t_Einspeisung;90_L3_I_Einspeisung;90_L1_t_Pruefling;90_L1_I_Pruefling;90_L2_t_Pruefling;90_L2_I_Pruefling;90_L3_t_Pruefling;90_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
0;266.280853271484;0;287.179534912109;0;259.169952392578;0;285.917297363281;0;287.37646484375;0;259.549530029297;0;1004.51043701172;0;1004.15844726563;0;1008.59094238281;0;1125.94213867188;0;1003.46923828125;0;1008.35546875;0;2506.50463867188;0;2518.58422851563;0;2502.78369140625;0;2843.97143554688;0;2514.77807617188;0;2500.63012695313;0;4009.3486328125;0;3972.22387695313;0;3988.1064453125;0;4520.572265625;0;3961.41674804688;0;3980.02685546875;0;4505.95166015625;0;4480.75341796875;0;4491.798828125;0;5031.8994140625;0;4456.220703125;0;4480.2451171875;0;4998.02392578125;0;5017.6064453125;0;5017.13427734375;0;5520.00634765625;0;4968.4462890625;0;5000.70458984375;0;5984.0966796875;0;5969.1650390625;0;5971.8935546875;0;6442.20654296875;0;5841.9609375;0;5944.3896484375
1;266.374450683594;1;287.223815917969;1;259.287902832031;1;286.048675537109;1;287.423278808594;1;259.726165771484;1;1003.49188232422;1;1003.16418457031;1;1007.66357421875;1;1125.94213867188;1;1003.46923828125;1;1008.35546875;1;2506.85815429688;1;2518.23754882813;1;2502.60913085938;1;2844.04736328125;1;2514.91455078125;1;2499.9384765625;1;4009.3486328125;1;3972.22387695313;1;3988.1064453125;1;4521.11669921875;1;3961.04028320313;1;3979.35473632813;1;4505.853515625;1;4481.95166015625;1;4491.744140625;1;5030.5966796875;1;4457.06005859375;1;4478.40087890625;1;4996.9228515625;1;5014.80615234375;1;5014.22900390625;1;5513.966796875;1;4963.3125;1;4994.64990234375;1;6001.90966796875;1;5968.767578125;1;5972.970703125;1;6470.17578125;1;5845.9658203125;1;5947.552734375
2;266.453643798828;2;287.372009277344;2;259.299468994141;2;286.145568847656;2;287.5693359375;2;259.693603515625;2;1004.46539306641;2;1004.29473876953;2;1008.85186767578;2;1126.08532714844;2;1003.66442871094;2;1008.71569824219;2;2506.2265625;2;2517.51806640625;2;2502.29565429688;2;2844.04736328125;2;2514.91455078125;2;2499.9384765625;2;4008.27026367188;2;3971.14868164063;2;3986.71557617188;2;4521.1201171875;2;3961.68017578125;2;3979.82885742188;2;4504.6953125;2;4481.19091796875;2;4491.49609375;2;5030.83984375;2;4457.56640625;2;4479.29736328125;2;4998.5859375;2;5018.58544921875;2;5017.79296875;2;5516.13037109375;2;4966.1318359375;2;4998.02294921875;2;6025.07177734375;2;5981.51025390625;2;5989.98779296875;2;6489.31982421875;2;5863.3701171875;2;5975.5517578125
3;266.674987792969;3;287.614288330078;3;259.541778564453;3;286.300231933594;3;287.712677001953;3;259.890747070313;3;1002.87060546875;3;1002.44696044922;3;1006.94720458984;3;1123.82153320313;3;1001.54370117188;3;1006.63134765625;3;2506.58666992188;3;2518.01928710938;3;2502.49877929688;3;2843.48486328125;3;2513.71899414063;3;2500.15405273438;3;4006.42553710938;3;3969.83935546875;3;3985.45385742188;3;4516.34130859375;3;3958.80151367188;3;3975.57666015625;3;4506.375;3;4483.0;3;4491.1669921875;3;5030.56396484375;3;4457.32666015625;3;4478.0244140625;3;4992.7578125;3;5013.74169921875;3;5005.13916015625;3;5511.35107421875;3;4961.3173828125;3;4979.4794921875;3;6057.24609375;3;6038.6083984375;3;6023.1982421875;3;6513.86962890625;3;5923.2763671875;3;5999.77734375
4;266.534271240234;4;287.468627929688;4;259.433349609375;4;286.200164794922;4;287.655853271484;4;259.85302734375;4;1004.15887451172;4;1003.81164550781;4;1008.48748779297;4;1125.67333984375;4;1003.14813232422;4;1008.36108398438;4;2505.94604492188;4;2518.21118164063;4;2502.94458007813;4;2843.17529296875;4;2514.66333007813;4;2500.74438476563;4;4005.41162109375;4;3978.25317382813;4;3998.9130859375;4;4519.66064453125;4;3970.73095703125;4;3998.22998046875;4;4502.72607421875;4;4480.345703125;4;4488.48193359375;4;5027.130859375;4;4456.3232421875;4;4475.19921875;4;4997.07568359375;4;5012.15576171875;4;4993.91796875;4;5515.71533203125;4;4961.884765625;4;4975.27001953125;4;6059.60595703125;4;6059.81787109375;4;6026.43603515625;4;6511.4111328125;4;5929.63037109375;4;6000.28857421875
5;266.644989013672;5;287.595672607422;5;259.572448730469;5;286.262878417969;5;287.736328125;5;259.937316894531;5;1003.47137451172;5;1003.09503173828;5;1007.64105224609;5;1124.92834472656;5;1002.52844238281;5;1007.62359619141;5;2506.31811523438;5;2518.03100585938;5;2502.67211914063;5;2843.50610351563;5;2514.17724609375;5;2500.38403320313;5;4009.310546875;5;3982.06811523438;5;4016.37573242188;5;4520.53662109375;5;3971.515625;5;4008.05590820313;5;4492.568359375;5;4470.84375;5;4478.92333984375;5;5012.32373046875;5;4443.1611328125;5;4462.8720703125;5;4997.9072265625;5;5011.375;5;4994.21044921875;5;5515.298828125;5;4959.73779296875;5;4973.5732421875;5;6054.10546875;5;6056.46337890625;5;6022.828125;5;6502.42529296875;5;5921.69482421875;5;5991.43603515625
6;266.470092773438;6;287.427642822266;6;259.337768554688;6;286.164855957031;6;287.629058837891;6;259.770111083984;6;1003.08892822266;6;1002.81091308594;6;1007.40270996094;6;1124.06689453125;6;1001.91900634766;6;1006.93090820313;6;2504.52709960938;6;2516.12182617188;6;2500.50463867188;6;2840.908203125;6;2512.06103515625;6;2497.95971679688;6;4012.65747070313;6;3985.36083984375;6;4020.23486328125;6;4525.607421875;6;3975.25854492188;6;4013.228515625;6;4482.79052734375;6;4461.216796875;6;4470.0078125;6;5002.31689453125;6;4434.8935546875;6;4455.08642578125;6;4997.81005859375;6;5010.82470703125;6;4993.8984375;6;5515.85595703125;6;4959.32568359375;6;4974.3037109375;6;6053.35986328125;6;6055.2392578125;6;6021.39697265625;6;6511.673828125;6;5930.19921875;6;6000.61181640625
7;266.470092773438;7;287.427642822266;7;259.337768554688;7;286.072540283203;7;287.543243408203;7;259.694427490234;7;1002.21185302734;7;1001.94262695313;7;1006.37750244141;7;1123.39416503906;7;1001.34814453125;7;1006.21508789063;7;2505.1748046875;7;2517.10107421875;7;2501.45678710938;7;2842.478515625;7;2513.88818359375;7;2499.65087890625;7;4012.65747070313;7;3985.36083984375;7;4020.23486328125;7;4525.607421875;7;3975.25854492188;7;4013.228515625;7;4497.1689453125;7;4475.37841796875;7;4483.89306640625;7;5007.19921875;7;4439.66259765625;7;4458.06689453125;7;4995.62939453125;7;5010.1142578125;7;4993.27587890625;7;5512.232421875;7;4958.6005859375;7;4972.080078125;7;6060.1318359375;7;6061.53662109375;7;6027.978515625;7;6509.49951171875;7;5928.27099609375;7;5999.5478515625
8;266.481903076172;8;287.455383300781;8;259.368469238281;8;286.096832275391;8;287.679626464844;8;259.784912109375;8;1003.69805908203;8;1003.62725830078;8;1007.97491455078;8;1125.00390625;8;1002.95208740234;8;1007.72473144531;8;2505.9619140625;8;2518.76489257813;8;2502.81176757813;8;2843.08374023438;8;2515.15161132813;8;2500.70922851563;8;4012.03686523438;8;3984.52709960938;8;4020.07421875;8;4523.46728515625;8;3973.52392578125;8;4011.66088867188;8;4501.40869140625;8;4489.029296875;8;4506.216796875;8;5025.82275390625;8;4465.02099609375;8;4495.75830078125;8;4993.35400390625;8;5006.93017578125;8;4989.57421875;8;5513.42724609375;8;4959.38916015625;8;4972.015625;8;6062.25927734375;8;6064.0849609375;8;6032.0166015625;8;6515.26708984375;8;5933.916015625;8;6006.34765625
9;266.444641113281;9;287.416778564453;9;259.434814453125;9;286.069305419922;9;287.594940185547;9;259.794342041016;9;1002.81219482422;9;1002.71478271484;9;1007.05645751953;9;1124.25964355469;9;1002.19781494141;9;1007.02105712891;9;2506.63696289063;9;2517.82543945313;9;2502.9912109375;9;2843.92333984375;9;2513.98022460938;9;2500.77880859375;9;4010.37939453125;9;3983.11108398438;9;4019.03344726563;9;4521.82861328125;9;3971.8583984375;9;4010.86596679688;9;4502.05126953125;9;4489.20263671875;9;4510.47705078125;9;5025.82275390625;9;4465.02099609375;9;4495.75830078125;9;4997.2373046875;9;5009.9248046875;9;4992.92919921875;9;5512.173828125;9;4958.2890625;9;4972.09033203125;9;6056.99609375;9;6059.0634765625;9;6027.203125;9;6503.4912109375;9;5923.70166015625;9;5997.63037109375
