05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;50_L1_t_Einspeisung;50_L1_I_Einspeisung;50_L2_t_Einspeisung;50_L2_I_Einspeisung;50_L3_t_Einspeisung;50_L3_I_Einspeisung;50_L1_t_Pruefling;50_L1_I_Pruefling;50_L2_t_Pruefling;50_L2_I_Pruefling;50_L3_t_Pruefling;50_L3_I_Pruefling;80_L1_t_Einspeisung;80_L1_I_Einspeisung;80_L2_t_Einspeisung;80_L2_I_Einspeisung;80_L3_t_Einspeisung;80_L3_I_Einspeisung;80_L1_t_Pruefling;80_L1_I_Pruefling;80_L2_t_Pruefling;80_L2_I_Pruefling;80_L3_t_Pruefling;80_L3_I_Pruefling;90_L1_t_Einspeisung;90_L1_I_Einspeisung;90_L2_t_Einspeisung;90_L2_I_Einspeisung;90_L3_t_Einspeisung;90_L3_I_Einspeisung;90_L1_t_Pruefling;90_L1_I_Pruefling;90_L2_t_Pruefling;90_L2_I_Pruefling;90_L3_t_Pruefling;90_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
0;221.549774169922;0;246.979873657227;0;263.201171875;0;221.680679321289;0;246.783660888672;0;263.430603027344;0;1028.82080078125;0;1036.28234863281;0;1017.96124267578;0;1018.75372314453;0;1029.83483886719;0;1016.30645751953;0;2495.18286132813;0;2514.0341796875;0;2500.08642578125;0;2490.93090820313;0;2516.10668945313;0;2527.09838867188;0;3993.591796875;0;3975.17504882813;0;3968.61962890625;0;3988.46606445313;0;3857.18994140625;0;4003.99780273438;0;4507.2841796875;0;4527.3330078125;0;4496.3154296875;0;4469.75341796875;0;4327.39013671875;0;4491.67138671875;0;5000.27294921875;0;4999.97216796875;0;5007.4189453125;0;4895.431640625;0;4721.310546875;0;4994.685546875;0;5995.6552734375;0;5983.26513671875;0;5985.54443359375;0;5744.62158203125;0;5559.419921875;0;5920.9375
1;221.457366943359;1;246.64045715332;1;262.035400390625;1;221.664367675781;1;246.788940429688;1;263.475372314453;1;1028.32287597656;1;1036.23986816406;1;1017.49102783203;1;1025.80822753906;1;1033.33129882813;1;1016.89837646484;1;2493.91528320313;1;2512.109375;1;2497.87817382813;1;2488.650390625;1;2509.04467773438;1;2506.70190429688;1;3992.29077148438;1;3972.41674804688;1;3966.24291992188;1;3988.06176757813;1;3857.35083007813;1;4002.74755859375;1;4507.2841796875;1;4527.3330078125;1;4496.3154296875;1;4468.017578125;1;4326.4248046875;1;4489.03564453125;1;5028.3876953125;1;5010.35595703125;1;5013.3046875;1;4895.80322265625;1;4721.60107421875;1;4995.18408203125;1;5997.74609375;1;5985.48193359375;1;5988.2587890625;1;5745.86572265625;1;5562.84423828125;1;5924.0537109375
2;216.920822143555;2;231.725234985352;2;227.629013061523;2;221.662796020508;2;246.765579223633;2;263.466033935547;2;1028.68017578125;2;1036.40087890625;2;1017.89984130859;2;1026.45959472656;2;1033.97351074219;2;1016.87493896484;2;2493.69409179688;2;2512.27099609375;2;2498.41479492188;2;2488.22412109375;2;2504.05786132813;2;2495.16088867188;2;3991.13623046875;2;3970.72412109375;2;3965.33837890625;2;3981.35205078125;2;3854.60009765625;2;3971.2802734375;2;4510.66552734375;2;4529.9306640625;2;4498.71630859375;2;4468.63623046875;2;4329.43896484375;2;4490.34765625;2;5026.5712890625;2;5009.9453125;2;5007.5537109375;2;4895.80322265625;2;4721.60107421875;2;4995.18408203125;2;5997.74609375;2;5985.48193359375;2;5988.2587890625;2;5742.18505859375;2;5560.09912109375;2;5921.74658203125
3;216.920822143555;3;231.725234985352;3;227.629013061523;3;220.646301269531;3;243.638305664063;3;256.058959960938;3;1029.23608398438;3;1036.89599609375;3;1018.41973876953;3;1026.47302246094;3;1034.45764160156;3;1016.91534423828;3;2493.05615234375;3;2511.27026367188;3;2497.31713867188;3;2488.29467773438;3;2503.95532226563;3;2495.24340820313;3;3996.033203125;3;3975.83764648438;3;3970.46362304688;3;3978.30688476563;3;3848.55297851563;3;3961.35034179688;3;4505.4404296875;3;4524.72314453125;3;4492.70703125;3;4468.27001953125;3;4328.5302734375;3;4489.57421875;3;5030.6796875;3;5013.419921875;3;5010.6201171875;3;4930.525390625;3;4733.40966796875;3;4997.25439453125;3;6001.1064453125;3;5986.58251953125;3;5989.4970703125;3;5742.0341796875;3;5564.22705078125;3;5924.626953125
4;216.873245239258;4;231.618392944336;4;227.580001831055;4;217.062088012695;4;232.352890014648;4;229.85676574707;4;1028.53747558594;4;1036.19543457031;4;1017.62554931641;4;1026.56091308594;4;1034.12719726563;4;1016.91589355469;4;2495.50048828125;4;2513.66186523438;4;2499.74365234375;4;2486.25537109375;4;2502.2646484375;4;2493.43725585938;4;3996.033203125;4;3975.83764648438;4;3970.46362304688;4;3977.55322265625;4;3847.15356445313;4;3960.00146484375;4;4509.5361328125;4;4529.58544921875;4;4497.6171875;4;4465.7705078125;4;4326.7412109375;4;4485.40673828125;4;5028.9814453125;4;5011.916015625;4;5010.27783203125;4;4930.525390625;4;4733.40966796875;4;4997.25439453125;4;5998.5927734375;4;5985.50439453125;4;5987.9580078125;4;5743.7275390625;4;5562.37939453125;4;5923.8701171875
5;216.861541748047;5;231.572006225586;5;227.586288452148;5;217.0009765625;5;231.522186279297;5;227.825164794922;5;1028.029296875;5;1036.14135742188;5;1017.38299560547;5;1026.93090820313;5;1034.55078125;5;1017.30383300781;5;2495.416015625;5;2513.35595703125;5;2499.02490234375;5;2487.88989257813;5;2503.87646484375;5;2494.90161132813;5;3996.95458984375;5;3976.9326171875;5;3971.21362304688;5;3978.61865234375;5;3847.69506835938;5;3961.27587890625;5;4499.96435546875;5;4518.6796875;5;4488.015625;5;4465.7705078125;5;4326.7412109375;5;4485.40673828125;5;5028.85498046875;5;5010.9765625;5;5008.77392578125;5;4932.22900390625;5;4736.37158203125;5;4998.5126953125;5;5997.681640625;5;5985.21533203125;5;5988.791015625;5;5745.6494140625;5;5564.29345703125;5;5925.40673828125
6;216.843902587891;6;231.548538208008;6;227.592300415039;6;216.927124023438;6;231.451095581055;6;227.801467895508;6;1027.05114746094;6;1035.11633300781;6;1016.26403808594;6;1026.58679199219;6;1034.29077148438;6;1016.87438964844;6;2495.5400390625;6;2513.72314453125;6;2499.755859375;6;2490.21533203125;6;2505.7158203125;6;2496.87744140625;6;3997.24633789063;6;3976.66357421875;6;3971.62036132813;6;3979.55932617188;6;3848.55029296875;6;3962.494140625;6;4506.2177734375;6;4525.3857421875;6;4494.2607421875;6;4468.33056640625;6;4329.294921875;6;4489.0283203125;6;5033.931640625;6;5016.9580078125;6;5015.654296875;6;4933.26953125;6;4737.03564453125;6;4999.50244140625;6;5999.033203125;6;5986.17431640625;6;5987.38671875;6;5744.4423828125;6;5563.57568359375;6;5924.15576171875
7;223.479644775391;7;233.437301635742;7;228.512619018555;7;216.876541137695;7;231.391189575195;7;227.781402587891;7;1028.80517578125;7;1036.39392089844;7;1017.93334960938;7;1024.78002929688;7;1032.86853027344;7;1015.69183349609;7;2494.18408203125;7;2512.20654296875;7;2498.32275390625;7;2488.5517578125;7;2504.31958007813;7;2495.1953125;7;3997.619140625;7;3977.14208984375;7;3972.18310546875;7;3982.81811523438;7;3852.22583007813;7;3965.05688476563;7;4508.79150390625;7;4528.19091796875;7;4496.1376953125;7;4467.79296875;7;4328.2587890625;7;4488.06689453125;7;5029.91357421875;7;5013.05078125;7;5011.109375;7;4935.1533203125;7;4738.3701171875;7;5001.09375;7;6001.32861328125;7;5987.45458984375;7;5989.07080078125;7;5743.42724609375;7;5563.935546875;7;5925.1015625
8;223.479644775391;8;233.437301635742;8;228.512619018555;8;216.897598266602;8;231.368988037109;8;227.780822753906;8;1029.1884765625;8;1036.84729003906;8;1018.21148681641;8;1026.07702636719;8;1033.9033203125;8;1016.61309814453;8;2495.65991210938;8;2513.61059570313;8;2500.0615234375;8;2489.0517578125;8;2504.90087890625;8;2496.37280273438;8;3995.26147460938;8;3974.71728515625;8;3969.59008789063;8;3982.81811523438;8;3852.22583007813;8;3965.05688476563;8;4507.55126953125;8;4527.54150390625;8;4496.0029296875;8;4467.958984375;8;4328.57861328125;8;4488.12939453125;8;5032.48974609375;8;5015.42822265625;8;5013.86279296875;8;4934.744140625;8;4740.01904296875;8;5002.72607421875;8;5999.5673828125;8;5987.103515625;8;5989.7265625;8;5743.15380859375;8;5563.486328125;8;5923.92138671875
9;253.715621948242;9;244.138824462891;9;232.380477905273;9;216.943832397461;9;231.355133056641;9;227.814727783203;9;1028.86865234375;9;1037.57763671875;9;1018.03173828125;9;1026.44104003906;9;1034.0341796875;9;1017.06420898438;9;2495.05029296875;9;2513.08862304688;9;2499.28979492188;9;2488.62329101563;9;2504.68579101563;9;2496.0146484375;9;3997.64331054688;9;3976.9541015625;9;3972.9853515625;9;3982.36743164063;9;3852.21630859375;9;3965.46606445313;9;4507.962890625;9;4526.69091796875;9;4496.3388671875;9;4467.35400390625;9;4327.841796875;9;4487.5546875;9;5028.45703125;9;5011.5556640625;9;5010.61181640625;9;4936.13330078125;9;4739.728515625;9;5003.08447265625;9;5997.16357421875;9;5985.42041015625;9;5988.40673828125;9;5745.1171875;9;5565.07177734375;9;5924.1474609375
