05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
0;75.9280014038086;0;76.6553268432617;0;80.3826370239258;0;76.8837127685547;0;114.594596862793;0;88.848503112793;0;380.700988769531;0;424.827026367188;0;402.983459472656;0;379.287475585938;0;395.753112792969;0;394.528839111328;0;1978.09204101563;0;2001.66809082031;0;1983.37646484375;0;1972.28173828125;0;1981.31860351563;0;1975.16833496094;0;2395.54516601563;0;2377.17529296875;0;2408.54443359375;0;2388.5126953125;0;2371.13745117188;0;2389.49340820313
1;88.6996612548828;1;68.0111618041992;1;76.1882705688477;1;89.7378311157227;1;119.681617736816;1;90.5771255493164;1;372.794342041016;1;424.827026367188;1;402.983459472656;1;379.287475585938;1;371.283233642578;1;389.051452636719;1;1977.55725097656;1;1989.61181640625;1;1979.24768066406;1;1972.12707519531;1;1981.37878417969;1;1974.6328125;1;2395.90576171875;1;2377.66943359375;1;2408.861328125;1;2388.31616210938;1;2372.587890625;1;2390.1083984375
2;91.1334686279297;2;69.4522323608398;2;76.2914581298828;2;91.3689346313477;2;119.682632446289;2;90.6043243408203;2;372.592163085938;2;400.252349853516;2;395.626861572266;2;372.306030273438;2;371.615112304688;2;389.451202392578;2;1977.00134277344;2;1984.71179199219;2;1978.52807617188;2;1971.58251953125;2;1982.189453125;2;1975.16613769531;2;2396.43310546875;2;2376.4921875;2;2408.36328125;2;2389.21508789063;2;2372.03930664063;2;2389.70581054688
3;91.1301956176758;3;111.976257324219;3;87.7376556396484;3;91.3853225708008;3;119.676025390625;3;90.5803985595703;3;372.729431152344;3;371.578247070313;3;388.980743408203;3;372.329528808594;3;371.509155273438;3;389.442413330078;3;1976.91333007813;3;1985.51989746094;3;1978.06994628906;3;1971.52307128906;3;1982.49328613281;3;1975.09533691406;3;2396.53735351563;3;2376.72412109375;3;2408.69946289063;3;2389.02856445313;3;2372.03930664063;3;2389.70581054688
4;91.1205139160156;4;119.371299743652;4;90.1886672973633;4;91.3714218139648;4;119.664367675781;4;90.5907897949219;4;372.602844238281;4;371.582183837891;4;389.192321777344;4;372.190216064453;4;371.493682861328;4;389.395233154297;4;1977.44482421875;4;1985.5263671875;4;1977.39367675781;4;1971.74633789063;4;1981.98913574219;4;1974.51049804688;4;2396.53735351563;4;2377.80639648438;4;2409.20849609375;4;2389.02856445313;4;2372.33056640625;4;2389.26611328125
5;91.1067123413086;5;119.366775512695;5;90.2103805541992;5;91.3550796508789;5;119.679016113281;5;90.5918960571289;5;372.563690185547;5;371.688323974609;5;389.340484619141;5;372.129119873047;5;371.493682861328;5;389.395233154297;5;1977.22143554688;5;1986.42126464844;5;1977.95959472656;5;1971.43994140625;5;1981.63793945313;5;1974.31091308594;5;2396.02197265625;5;2377.55102539063;5;2409.23510742188;5;2388.78515625;5;2371.83618164063;5;2389.27368164063
6;91.0973052978516;6;119.362327575684;6;90.197509765625;6;91.3435668945313;6;119.661636352539;6;90.5646896362305;6;372.563690185547;6;371.629211425781;6;389.319000244141;6;372.129119873047;6;383.279541015625;6;394.850555419922;6;1976.85913085938;6;1986.48828125;6;1978.00463867188;6;1971.10913085938;6;1981.82482910156;6;1973.96484375;6;2394.88525390625;6;2377.55102539063;6;2409.23510742188;6;2387.22802734375;6;2371.68994140625;6;2389.232421875
7;91.0873260498047;7;119.3544921875;7;90.1960525512695;7;91.3481750488281;7;119.624031066895;7;90.5503234863281;7;409.704467773438;7;371.626525878906;7;389.300811767578;7;409.336120605469;7;383.528228759766;7;394.998077392578;7;1976.19982910156;7;1986.0244140625;7;1977.44946289063;7;1970.7890625;7;1980.734375;7;1972.50598144531;7;2395.322265625;7;2377.6689453125;7;2408.60913085938;7;2388.12890625;7;2371.68994140625;7;2389.232421875
8;91.0669708251953;8;119.36873626709;8;90.2003555297852;8;91.3056716918945;8;119.667945861816;8;90.5935745239258;8;409.971405029297;8;371.626525878906;8;389.300811767578;8;409.496673583984;8;383.496887207031;8;394.957885742188;8;1975.39611816406;8;1985.66882324219;8;1977.15344238281;8;1969.45092773438;8;1980.94189453125;8;1973.33764648438;8;2395.41796875;8;2377.15258789063;8;2408.28466796875;8;2388.12890625;8;2371.12915039063;8;2388.53491210938
9;91.0880661010742;9;119.347610473633;9;90.1829147338867;9;91.3493499755859;9;119.616401672363;9;90.5573272705078;9;410.012817382813;9;383.30126953125;9;394.734649658203;9;409.497436523438;9;383.430694580078;9;394.794799804688;9;1975.85583496094;9;1986.02001953125;9;1976.82336425781;9;1970.62451171875;9;1981.70874023438;9;1973.72827148438;9;2395.41796875;9;2376.97705078125;9;2408.47094726563;9;2387.86328125;9;2369.92651367188;9;2387.59594726563
