05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
0;84.4166030883789;0;97.9999237060547;0;94.3511810302734;0;84.4875869750977;0;98.0536117553711;0;94.410026550293;0;389.461944580078;0;388.655548095703;0;401.873168945313;0;404.635223388672;0;393.010528564453;0;403.455871582031;0;1997.2275390625;0;2020.18420410156;0;2027.44885253906;0;1990.74401855469;0;2013.90649414063;0;2022.33264160156;0;2417.75732421875;0;2399.0712890625;0;2379.5556640625;0;2409.74169921875;0;2392.1865234375;0;2372.72583007813
1;84.2875442504883;1;97.842529296875;1;94.1869430541992;1;92.4895629882813;1;100.16675567627;1;95.4961090087891;1;378.728637695313;1;385.274780273438;1;400.012420654297;1;379.499084472656;1;385.151458740234;1;399.839721679688;1;1997.52258300781;1;2020.46545410156;1;2027.10998535156;1;1990.89514160156;1;2015.04370117188;1;2022.19226074219;1;2416.01049804688;1;2397.236328125;1;2377.74853515625;1;2407.99365234375;1;2390.16528320313;1;2370.88842773438
2;107.989097595215;2;105.165672302246;2;97.5855255126953;2;125.384750366211;2;111.796936035156;2;100.535835266113;2;378.665771484375;2;385.317108154297;2;399.785766601563;2;378.128753662109;2;384.848022460938;2;399.356872558594;2;1998.29125976563;2;2020.81652832031;2;2027.58203125;2;1991.55993652344;2;2014.95361328125;2;2022.27331542969;2;2411.74829101563;2;2392.23681640625;2;2372.54736328125;2;2404.86450195313;2;2386.23046875;2;2366.52099609375
3;130.808059692383;3;113.97314453125;3;101.08618927002;3;131.472839355469;3;114.395935058594;3;101.280899047852;3;378.880004882813;3;385.619873046875;3;399.952972412109;3;378.173736572266;3;384.903503417969;3;399.336578369141;3;1997.82849121094;3;2021.21374511719;3;2027.70910644531;3;1991.87268066406;3;2015.56225585938;3;2022.59301757813;3;2418.8779296875;3;2399.59106445313;3;2380.09228515625;3;2408.7109375;3;2390.15209960938;3;2370.63256835938
4;131.4287109375;4;114.302772521973;4;101.145477294922;4;131.601272583008;4;114.52725982666;4;101.377883911133;4;378.628021240234;4;385.398742675781;4;399.688629150391;4;378.134521484375;4;385.008819580078;4;399.284057617188;4;1998.19384765625;4;2021.26513671875;4;2027.96472167969;4;1991.67749023438;4;2015.32861328125;4;2022.50451660156;4;2418.81396484375;4;2400.73779296875;4;2380.55688476563;4;2410.67797851563;4;2393.525390625;4;2373.58715820313
5;131.645629882813;5;114.517944335938;5;101.302207946777;5;131.608306884766;5;114.568870544434;5;101.380714416504;5;378.803253173828;5;385.594604492188;5;399.851013183594;5;378.102111816406;5;384.961212158203;5;399.205444335938;5;1997.96606445313;5;2020.72436523438;5;2027.5341796875;5;1991.69213867188;5;2015.26379394531;5;2022.46667480469;5;2418.59790039063;5;2400.28295898438;5;2380.54296875;5;2410.78344726563;5;2393.03125;5;2373.1982421875
6;131.484130859375;6;114.378005981445;6;101.171432495117;6;131.641204833984;6;114.595443725586;6;101.409332275391;6;378.384582519531;6;385.239898681641;6;399.470153808594;6;378.11083984375;6;385.044738769531;6;399.264770507813;6;1998.60986328125;6;2020.51647949219;6;2027.48022460938;6;1992.28662109375;6;2015.09545898438;6;2022.36462402344;6;2418.4326171875;6;2398.99682617188;6;2379.33129882813;6;2410.36181640625;6;2392.10888671875;6;2372.63916015625
7;131.706298828125;7;114.569763183594;7;101.334053039551;7;131.615646362305;7;114.54866027832;7;101.39119720459;7;378.659881591797;7;385.536865234375;7;399.731109619141;7;377.831176757813;7;384.7724609375;7;398.932098388672;7;1998.14074707031;7;2020.72961425781;7;2027.32897949219;7;1992.0595703125;7;2015.03491210938;7;2022.20080566406;7;2418.31201171875;7;2398.77001953125;7;2379.32666015625;7;2409.3046875;7;2391.87475585938;7;2372.64086914063
8;131.465881347656;8;114.335021972656;8;101.162231445313;8;131.664016723633;8;114.57829284668;8;101.396415710449;8;378.703948974609;8;385.533843994141;8;399.762512207031;8;378.082122802734;8;385.0498046875;8;399.203338623047;8;1997.98706054688;8;2020.54443359375;8;2026.8046875;8;1991.53405761719;8;2014.91162109375;8;2021.77380371094;8;2418.04443359375;8;2399.65747070313;8;2380.20239257813;8;2409.68872070313;8;2392.00634765625;8;2373.08984375
9;131.616180419922;9;114.48779296875;9;101.273887634277;9;131.608016967773;9;114.553596496582;9;101.356918334961;9;378.898345947266;9;385.64599609375;9;399.934539794922;9;378.281127929688;9;385.110748291016;9;399.366302490234;9;1997.57604980469;9;2019.61901855469;9;2024.66394042969;9;1991.80236816406;9;2014.64965820313;9;2021.78955078125;9;2418.12475585938;9;2399.10229492188;9;2379.744140625;9;2411.63012695313;9;2393.12524414063;9;2373.70361328125
10;131.62663269043;10;114.492645263672;10;101.292655944824;10;131.613693237305;10;114.551078796387;10;101.375442504883;10;378.823181152344;10;385.627258300781;10;399.856231689453;10;378.198181152344;10;385.115783691406;10;399.269561767578;10;1992.99645996094;10;2007.62927246094;10;1994.91979980469;10;1985.19287109375;10;1998.1181640625;10;1984.673828125;10;2419.48217773438;10;2399.3037109375;10;2379.810546875;10;2410.19873046875;10;2390.8818359375;10;2372.32055664063
11;131.437606811523;11;114.338638305664;11;101.176864624023;11;131.558898925781;11;114.510726928711;11;101.35034942627;11;378.859405517578;11;385.675628662109;11;399.844543457031;11;378.198181152344;11;385.115783691406;11;399.269561767578;11;1991.50402832031;11;2003.58837890625;11;1989.6142578125;11;1986.88439941406;11;1999.6669921875;11;1986.72680664063;11;2419.23413085938;11;2398.56884765625;11;2379.6357421875;11;2411.27270507813;11;2391.88159179688;11;2373.951171875
12;131.667831420898;12;114.50715637207;12;101.314552307129;12;131.67951965332;12;114.600074768066;12;101.448547363281;12;378.935302734375;12;385.802886962891;12;399.944549560547;12;378.487121582031;12;385.428894042969;12;399.580383300781;12;1993.11608886719;12;2005.59716796875;12;1991.64501953125;12;1986.71960449219;12;1999.22509765625;12;1986.4150390625;12;2418.0078125;12;2397.99633789063;12;2379.11889648438;12;2408.10717773438;12;2389.693359375;12;2371.19775390625
13;131.458740234375;13;114.333229064941;13;101.157348632813;13;131.587692260742;13;114.525810241699;13;101.358764648438;13;378.316619873047;13;385.221588134766;13;399.307800292969;13;377.850402832031;13;384.821411132813;13;398.873779296875;13;1993.06213378906;13;2004.72021484375;13;1991.04309082031;13;1985.50061035156;13;1997.43835449219;13;1985.15063476563;13;2415.28588867188;13;2396.63232421875;13;2377.50366210938;13;2406.41162109375;13;2393.5595703125;13;2382.43090820313
14;131.652191162109;14;114.498176574707;14;101.313751220703;14;131.630447387695;14;114.548240661621;14;101.387634277344;14;378.121185302734;14;385.127838134766;14;399.230316162109;14;377.702239990234;14;384.785614013672;14;398.878601074219;14;1991.19982910156;14;2002.248046875;14;1988.78271484375;14;1985.71691894531;14;1997.39685058594;14;1984.81213378906;14;2424.42456054688;14;2410.97802734375;14;2409.08569335938;14;2415.50219726563;14;2403.5166015625;14;2401.56665039063
15;131.751388549805;15;114.589553833008;15;101.388900756836;15;131.781143188477;15;114.70484161377;15;101.516967773438;15;378.51953125;15;385.518829345703;15;399.641265869141;15;378.136962890625;15;385.204956054688;15;399.360565185547;15;1992.44165039063;15;2004.01977539063;15;1990.66552734375;15;1986.43225097656;15;1998.50500488281;15;1985.75427246094;15;2416.9658203125;15;2405.20190429688;15;2404.71484375;15;2412.48559570313;15;2400.07592773438;15;2398.140625
16;131.751388549805;16;114.589553833008;16;101.388900756836;16;131.722869873047;16;114.617034912109;16;101.433853149414;16;378.629272460938;16;385.650299072266;16;399.830322265625;16;377.957916259766;16;385.040832519531;16;399.166961669922;16;1992.537109375;16;2004.21923828125;16;1991.08129882813;16;1986.0732421875;16;1998.31262207031;16;1985.77978515625;16;2388.27294921875;16;2396.30737304688;16;2404.81079101563;16;2392.71435546875;16;2393.7216796875;16;2398.98510742188
17;93.7942657470703;17;100.641235351563;17;95.5898284912109;17;110.91544342041;17;106.524055480957;17;98.0241241455078;17;378.598083496094;17;385.661468505859;17;399.767364501953;17;377.855316162109;17;385.023986816406;17;399.036987304688;17;1992.3125;17;2003.88269042969;17;1990.78186035156;17;1985.93920898438;17;1998.04040527344;17;1985.99682617188;17;2373.36987304688;17;2391.16577148438;17;2402.27783203125;17;2366.92358398438;17;2384.38647460938;17;2395.1572265625
18;82.6670761108398;18;97.4394149780273;18;94.1660003662109;18;84.6793365478516;18;98.1926727294922;18;94.5700073242188;18;378.399505615234;18;385.416076660156;18;399.532867431641;18;378.075378417969;18;385.070281982422;18;399.284759521484;18;1991.95971679688;18;2003.55163574219;18;1990.6826171875;18;1985.91943359375;18;1997.80297851563;18;1985.88208007813;18;2372.74267578125;18;2392.03735351563;18;2402.27758789063;18;2365.44653320313;18;2385.60595703125;18;2395.78540039063
19;82.6611633300781;19;97.4438934326172;19;94.1480026245117;19;82.7934722900391;19;97.5433502197266;19;94.2520370483398;19;378.526306152344;19;385.430847167969;19;399.696899414063;19;377.669036865234;19;384.583251953125;19;398.820648193359;19;1992.25402832031;19;2003.45166015625;19;1990.40539550781;19;1985.54089355469;19;1997.53930664063;19;1985.298828125;19;2371.9794921875;19;2391.52758789063;19;2401.77905273438;19;2363.31860351563;19;2383.916015625;19;2393.61157226563
20;82.7229461669922;20;97.5084686279297;20;94.1921081542969;20;82.8734741210938;20;97.6699371337891;20;94.3541488647461;20;378.239318847656;20;385.144836425781;20;399.355102539063;20;377.682769775391;20;384.631195068359;20;398.889038085938;20;1991.98913574219;20;2003.06066894531;20;1989.91674804688;20;1985.41259765625;20;1997.42102050781;20;1985.1455078125;20;2371.23754882813;20;2391.3505859375;20;2401.59521484375;20;2363.7158203125;20;2385.10131835938;20;2394.8818359375
21;82.7373580932617;21;97.528434753418;21;94.2159957885742;21;82.8734741210938;21;97.6699371337891;21;94.3541488647461;21;378.477478027344;21;385.352172851563;21;399.580200195313;21;378.087127685547;21;385.084747314453;21;399.262023925781;21;1991.72644042969;21;2003.11657714844;21;1989.880859375;21;1985.64184570313;21;1997.30053710938;21;1985.16357421875;21;2372.44067382813;21;2392.17431640625;21;2402.3115234375;21;2363.8466796875;21;2385.19311523438;21;2395.35205078125
22;82.7357788085938;22;97.5412368774414;22;94.2113723754883;22;82.8825607299805;22;97.702995300293;22;94.3725738525391;22;380.602661132813;22;385.881591796875;22;400.049682617188;22;396.084228515625;22;390.100280761719;22;401.759887695313;22;1992.43322753906;22;2003.11499023438;22;1990.50939941406;22;1986.37231445313;22;1997.18896484375;22;1985.46264648438;22;2373.74487304688;22;2392.02880859375;22;2402.72314453125;22;2364.69555664063;22;2384.568359375;22;2395.12426757813
23;82.7879257202148;23;97.5858001708984;23;94.2619857788086;23;83.0159759521484;23;97.8340835571289;23;94.5023727416992;23;413.035858154297;23;395.826599121094;23;404.593444824219;23;423.662322998047;23;399.499450683594;23;405.621856689453;23;1992.59753417969;23;2003.7275390625;23;1990.85754394531;23;1986.26013183594;23;1997.75805664063;23;1985.80810546875;23;2373.591796875;23;2392.03344726563;23;2402.88354492188;23;2366.0791015625;23;2385.2177734375;23;2396.19458007813
24;82.8835601806641;24;97.6865081787109;24;94.3759307861328;24;82.9940414428711;24;97.8075637817383;24;94.4868011474609;24;428.929412841797;24;402.092193603516;24;406.912200927734;24;428.008636474609;24;401.341949462891;24;406.193969726563;24;1992.98840332031;24;2003.787109375;24;1991.17114257813;24;1986.7587890625;24;1998.28967285156;24;1986.18383789063;24;2369.11157226563;24;2388.4287109375;24;2399.08520507813;24;2363.08056640625;24;2383.19848632813;24;2394.04370117188
25;82.8354644775391;25;97.6304626464844;25;94.3220367431641;25;83.037353515625;25;97.8557968139648;25;94.5287017822266;25;428.77978515625;25;402.004669189453;25;406.864929199219;25;428.070678710938;25;401.449859619141;25;406.283538818359;25;1991.59497070313;25;2002.11926269531;25;1989.48803710938;25;1985.40087890625;25;1996.69897460938;25;1984.80627441406;25;2359.72973632813;25;2379.40576171875;25;2389.57250976563;25;2352.06005859375;25;2372.7890625;25;2383.26513671875
26;82.9049682617188;26;97.6991271972656;26;94.3910751342773;26;82.9958877563477;26;97.8045806884766;26;94.506591796875;26;428.98876953125;26;402.154266357422;26;407.038238525391;26;428.311187744141;26;401.704833984375;26;406.528625488281;26;1992.65173339844;26;2002.79187011719;26;1990.53198242188;26;1986.38842773438;26;1996.99255371094;26;1985.74072265625;26;2370.32470703125;26;2388.72192382813;26;2399.31860351563;26;2360.46948242188;26;2379.98095703125;26;2390.93090820313
27;82.8414001464844;27;97.6345825195313;27;94.3276977539063;27;83.0599365234375;27;97.8582229614258;27;94.5459671020508;27;429.022399902344;27;402.182281494141;27;407.125061035156;27;428.151672363281;27;401.436584472656;27;406.353179931641;27;1990.10754394531;27;2000.767578125;27;1988.67041015625;27;1985.17504882813;27;1996.31518554688;27;1984.36926269531;27;2369.41015625;27;2388.52709960938;27;2398.85913085938;27;2362.0986328125;27;2382.515625;27;2392.982421875
28;82.9089584350586;28;97.7262115478516;28;94.4042816162109;28;83.0334930419922;28;97.8556900024414;28;94.5175399780273;28;428.593322753906;28;401.936126708984;28;406.814910888672;28;428.121917724609;28;401.622039794922;28;406.538146972656;28;1990.66259765625;28;2001.45373535156;28;1989.89721679688;28;1983.57336425781;28;1995.08923339844;28;1984.07470703125;28;2370.16235351563;28;2390.11694335938;28;2400.22192382813;28;2362.27124023438;28;2382.78125;28;2392.48461914063
29;82.8518753051758;29;97.6677932739258;29;94.3419494628906;29;83.0613555908203;29;97.8511352539063;29;94.5405502319336;29;428.735626220703;29;401.931854248047;29;406.868499755859;29;427.862548828125;29;401.299407958984;29;406.247222900391;29;1991.95629882813;29;2002.37341308594;29;1990.71032714844;29;1985.50671386719;29;1996.71875;29;1985.72790527344;29;2369.37866210938;29;2389.07055664063;29;2399.13354492188;29;2361.76782226563;29;2381.9638671875;29;2391.52465820313
30;82.9144592285156;30;97.7149658203125;30;94.3999786376953;30;83.0542907714844;30;97.8312301635742;30;94.5186767578125;30;428.919281005859;30;402.138336181641;30;407.024536132813;30;428.316925048828;30;401.666290283203;30;406.616882324219;30;1992.79272460938;30;2002.9892578125;30;1991.05859375;30;1985.93041992188;30;1996.68237304688;30;1985.96765136719;30;2369.25561523438;30;2388.23608398438;30;2398.38671875;30;2361.8525390625;30;2381.62084960938;30;2391.12158203125
31;82.8858337402344;31;97.673210144043;31;94.3529510498047;31;83.0342712402344;31;97.8170928955078;31;94.4991149902344;31;428.096343994141;31;401.286834716797;31;406.156433105469;31;427.437438964844;31;400.832885742188;31;405.706176757813;31;1993.64208984375;31;2004.52197265625;31;1992.63305664063;31;1987.0634765625;31;1998.56225585938;31;1987.16259765625;31;2370.75463867188;31;2389.54370117188;31;2399.2939453125;31;2365.07299804688;31;2380.23486328125;31;2389.49951171875
32;82.8800201416016;32;97.6650238037109;32;94.3426666259766;32;83.034294128418;32;97.8169860839844;32;94.47900390625;32;428.391479492188;32;401.587982177734;32;406.493743896484;32;427.818878173828;32;401.162994384766;32;406.088806152344;32;1993.45935058594;32;2004.60095214844;32;1992.57116699219;32;1987.19519042969;32;1998.86853027344;32;1988.0009765625;32;2378.50317382813;32;2385.52709960938;32;2394.12133789063;32;2387.0107421875;32;2381.52856445313;32;2385.77294921875
33;82.8797988891602;33;97.6427383422852;33;94.3044586181641;33;83.0270385742188;33;97.7855224609375;33;94.4651794433594;33;429.068054199219;33;402.1611328125;33;407.068878173828;33;427.915740966797;33;401.225769042969;33;406.143432617188;33;1992.78955078125;33;2004.294921875;33;1992.0595703125;33;1987.01159667969;33;1998.59790039063;33;1987.50512695313;33;2399.89282226563;33;2390.36596679688;33;2393.78833007813;33;2396.82934570313;33;2387.685546875;33;2388.80249023438
34;82.8575668334961;34;97.6376647949219;34;94.3119659423828;34;82.9803466796875;34;97.7345581054688;34;94.4350738525391;34;428.525848388672;34;401.608093261719;34;406.546630859375;34;428.034027099609;34;401.290283203125;34;406.2470703125;34;1993.83532714844;34;2004.76525878906;34;1992.60131835938;34;1987.45007324219;34;1999.43054199219;34;1987.62109375;34;2409.06567382813;34;2398.54418945313;34;2399.671875;34;2406.80883789063;34;2396.98461914063;34;2397.7978515625
35;82.9319305419922;35;97.6819915771484;35;94.3642807006836;35;83.0533676147461;35;97.8548583984375;35;94.5008316040039;35;428.412292480469;35;401.587097167969;35;406.499359130859;35;427.307312011719;35;400.662536621094;35;405.555572509766;35;1993.38415527344;35;2005.30969238281;35;1992.22192382813;35;1988.94299316406;35;1999.58081054688;35;1987.61181640625;35;2414.36376953125;35;2402.83349609375;35;2403.80419921875;35;2405.41162109375;35;2396.01196289063;35;2396.65087890625
