05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
0;86.0262451171875;0;83.8483963012695;0;97.6594467163086;0;86.0286407470703;0;83.6804656982422;0;97.8366165161133;0;403.109008789063;0;381.006408691406;0;411.244232177734;0;400.614044189453;0;380.688110351563;0;409.003204345703;0;2000.09350585938;0;1984.93139648438;0;1998.62915039063;0;1994.97216796875;0;1979.00317382813;0;1995.20861816406;0;2405.19799804688;0;2427.087890625;0;2409.9521484375;0;2398.77026367188;0;2419.08081054688;0;2405.81469726563
1;85.9366836547852;1;83.8806686401367;1;97.6594467163086;1;86.1191635131836;1;83.6804656982422;1;97.9411468505859;1;401.44873046875;1;381.239685058594;1;411.238403320313;1;401.804260253906;1;379.232208251953;1;410.164825439453;1;1999.49072265625;1;1985.33178710938;1;1998.62915039063;1;1994.63293457031;1;1979.36499023438;1;1994.70751953125;1;2405.97265625;1;2426.29028320313;1;2408.75854492188;1;2398.3779296875;1;2420.45874023438;1;2405.46166992188
2;86.0324325561523;2;83.9023208618164;2;97.5661773681641;2;86.1117858886719;2;83.7803115844727;2;97.918701171875;2;402.387298583984;2;381.438018798828;2;409.368225097656;2;401.670288085938;2;380.300506591797;2;410.191497802734;2;1999.71179199219;2;1984.73168945313;2;1997.94360351563;2;1996.02722167969;2;1979.6455078125;2;1996.63891601563;2;2403.91162109375;2;2426.939453125;2;2409.80151367188;2;2398.3779296875;2;2419.82177734375;2;2405.46166992188
3;86.0179901123047;3;83.8933639526367;3;97.6970520019531;3;86.14892578125;3;83.7649688720703;3;98.0030899047852;3;402.263610839844;3;381.351318359375;3;410.346282958984;3;401.785522460938;3;380.400817871094;3;410.154357910156;3;2001.51745605469;3;1985.47827148438;3;1997.45947265625;3;1994.34692382813;3;1981.13073730469;3;1995.39978027344;3;2406.91674804688;3;2425.88623046875;3;2407.513671875;3;2400.97143554688;3;2419.82177734375;3;2407.71264648438
4;85.978889465332;4;83.9499053955078;4;97.6639404296875;4;86.1099166870117;4;83.8330001831055;4;97.9651565551758;4;402.287567138672;4;381.191864013672;4;410.316223144531;4;401.785522460938;4;380.552886962891;4;410.154357910156;4;2001.72473144531;4;1985.26843261719;4;1999.35192871094;4;1996.38342285156;4;1980.09094238281;4;1997.02673339844;4;2406.76635742188;4;2425.58984375;4;2410.82177734375;4;2399.5654296875;4;2422.28051757813;4;2405.78125
5;86.0183715820313;5;83.923957824707;5;97.6648864746094;5;86.1099166870117;5;83.7915878295898;5;97.9651565551758;5;402.471435546875;5;381.561645507813;5;410.439147949219;5;401.639831542969;5;380.552886962891;5;410.039978027344;5;2000.86682128906;5;1985.83227539063;5;1999.84057617188;5;1996.38342285156;5;1981.87426757813;5;1997.02673339844;5;2407.39282226563;5;2426.96118164063;5;2410.28515625;5;2398.806640625;5;2420.3984375;5;2405.4814453125
6;86.02685546875;6;83.9433288574219;6;97.7122573852539;6;86.1810073852539;6;83.7915878295898;6;98.0472183227539;6;402.37548828125;6;381.319854736328;6;410.438446044922;6;401.871520996094;6;380.393859863281;6;410.340270996094;6;2001.4736328125;6;1984.62121582031;6;1999.28881835938;6;1997.20617675781;6;1981.87426757813;6;1997.80090332031;6;2406.7138671875;6;2426.49975585938;6;2410.884765625;6;2398.8251953125;6;2421.00732421875;6;2405.13818359375
7;86.1121292114258;7;83.9695129394531;7;97.7106857299805;7;86.1004180908203;7;83.8499755859375;7;98.002571105957;7;402.233367919922;7;381.299255371094;7;410.341064453125;7;401.830230712891;7;380.656097412109;7;410.201354980469;7;2001.44079589844;7;1984.42700195313;7;1999.67846679688;7;1993.80847167969;7;1982.41931152344;7;1994.66284179688;7;2405.47802734375;7;2425.5126953125;7;2410.24829101563;7;2400.15600585938;7;2420.73803710938;7;2406.36694335938
8;86.0359649658203;8;83.8991394042969;8;97.7890167236328;8;86.1429138183594;8;83.8424682617188;8;98.0755920410156;8;402.537750244141;8;381.390625;8;410.250244140625;8;401.830230712891;8;380.342651367188;8;410.201354980469;8;2001.74450683594;8;1984.18640136719;8;1999.60595703125;8;1995.10705566406;8;1979.41650390625;8;1995.64416503906;8;2406.79956054688;8;2427.6103515625;8;2408.80541992188;8;2398.42065429688;8;2421.517578125;8;2404.56713867188
9;86.029296875;9;83.9236831665039;9;97.7474822998047;9;86.0698776245117;9;83.9002914428711;9;97.9300689697266;9;402.477600097656;9;381.475830078125;9;410.601989746094;9;401.949188232422;9;380.342651367188;9;410.238586425781;9;2000.61437988281;9;1983.69421386719;9;1999.91357421875;9;1994.79150390625;9;1980.13452148438;9;1995.36450195313;9;2406.60131835938;9;2425.81884765625;9;2410.26123046875;9;2399.05810546875;9;2420.37377929688;9;2405.56274414063
