05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
0;67.3621215820313;0;118.407089233398;0;96.3597183227539;0;67.5630187988281;0;117.805992126465;0;94.5617294311523;0;381.264739990234;0;405.735717773438;0;377.557495117188;0;381.746917724609;0;406.464691162109;0;378.488220214844;0;1981.6953125;0;1974.74169921875;0;1975.82800292969;0;1980.27233886719;0;1975.49133300781;0;1977.77331542969;0;2403.6005859375;0;2395.80541992188;0;2404.73120117188;0;2402.88330078125;0;2389.63159179688;0;2406.50366210938
1;69.1371612548828;1;127.256637573242;1;113.898529052734;1;69.5882263183594;1;127.837928771973;1;114.446769714355;1;381.286315917969;1;405.663360595703;1;377.480804443359;1;381.730865478516;1;406.470520019531;1;378.469482421875;1;1986.53039550781;1;1979.42724609375;1;1980.63610839844;1;1986.10192871094;1;1979.56103515625;1;1982.58264160156;1;2403.6005859375;1;2395.80541992188;1;2404.73120117188;1;2402.29028320313;1;2389.36962890625;1;2405.92944335938
2;69.1560745239258;2;127.238273620605;2;113.930290222168;2;69.5809555053711;2;127.801193237305;2;114.541816711426;2;381.364837646484;2;405.750823974609;2;377.580505371094;2;381.931945800781;2;406.542358398438;2;378.609924316406;2;1991.98083496094;2;1985.27795410156;2;1986.65185546875;2;1991.51794433594;2;1985.51550292969;2;1988.58874511719;2;2403.41381835938;2;2396.82250976563;2;2405.22045898438;2;2402.48681640625;2;2390.4912109375;2;2406.76928710938
3;69.2002105712891;3;127.270347595215;3;113.932601928711;3;69.6109237670898;3;127.844856262207;3;114.536003112793;3;381.233642578125;3;405.362457275391;3;377.309356689453;3;381.689514160156;3;406.105438232422;3;378.2294921875;3;1992.8583984375;3;1986.83801269531;3;1989.13195800781;3;1992.55432128906;3;1987.02722167969;3;1990.52270507813;3;2402.2333984375;3;2395.80053710938;3;2403.59838867188;3;2401.80297851563;3;2389.97265625;3;2405.39111328125
4;69.1826553344727;4;127.287902832031;4;113.933723449707;4;69.5900650024414;4;127.857612609863;4;114.542869567871;4;381.431030273438;4;405.764709472656;4;377.714141845703;4;381.95068359375;4;406.51318359375;4;378.686218261719;4;1995.95629882813;4;2000.70593261719;4;2022.12939453125;4;1995.33935546875;4;2000.91479492188;4;2023.1708984375;4;2404.34155273438;4;2397.1162109375;4;2405.74609375;4;2403.7197265625;4;2391.00708007813;4;2407.50415039063
5;69.1556396484375;5;127.22688293457;5;113.879493713379;5;69.5665130615234;5;127.79972076416;5;114.494674682617;5;381.161468505859;5;405.526245117188;5;377.437347412109;5;381.691101074219;5;406.260772705078;5;378.417327880859;5;1995.95629882813;5;2000.70593261719;5;2022.12939453125;5;1995.49047851563;5;2000.76745605469;5;2028.71826171875;5;2403.89379882813;5;2396.73657226563;5;2405.41064453125;5;2403.22583007813;5;2390.55297851563;5;2406.9248046875
6;69.1719055175781;6;127.282501220703;6;113.921035766602;6;69.5863494873047;6;127.834823608398;6;114.522552490234;6;383.243560791016;6;411.761810302734;6;393.166778564453;6;383.509216308594;6;411.838500976563;6;392.297760009766;6;1995.81848144531;6;2000.294921875;6;2026.89318847656;6;1997.77978515625;6;2003.19213867188;6;2030.96533203125;6;2401.7607421875;6;2394.92504882813;6;2403.52734375;6;2400.80615234375;6;2389.21606445313;6;2405.13671875
7;69.1613922119141;7;127.228096008301;7;113.874404907227;7;69.5815505981445;7;127.809150695801;7;114.509811401367;7;386.124450683594;7;418.092041015625;7;410.599884033203;7;386.548370361328;7;418.884399414063;7;411.268096923828;7;1998.96520996094;7;2002.33874511719;7;2029.20153808594;7;1998.17163085938;7;2003.185546875;7;2031.20422363281;7;2401.64916992188;7;2394.88403320313;7;2403.74194335938;7;2400.87158203125;7;2389.22827148438;7;2405.365234375
8;69.1642761230469;8;127.28491973877;8;113.922203063965;8;69.5879516601563;8;127.867668151855;8;114.586730957031;8;386.355865478516;8;418.466674804688;8;411.284301757813;8;386.864135742188;8;419.220611572266;8;412.257141113281;8;1999.08947753906;8;2001.74401855469;8;2029.0400390625;8;1998.36840820313;8;2002.3291015625;8;2031.04833984375;8;2402.18188476563;8;2395.13818359375;8;2403.91796875;8;2401.392578125;8;2389.4521484375;8;2405.80883789063
9;69.1634902954102;9;127.29704284668;9;113.977798461914;9;69.5879516601563;9;127.867668151855;9;114.586730957031;9;386.260864257813;9;418.360748291016;9;411.182739257813;9;386.822082519531;9;419.219177246094;9;412.176483154297;9;1998.25317382813;9;2001.37377929688;9;2028.66552734375;9;1997.65515136719;9;2002.12353515625;9;2030.7099609375;9;2403.18090820313;9;2395.7587890625;9;2404.98608398438;9;2402.21069335938;9;2389.95361328125;9;2406.41357421875
10;69.0835876464844;10;127.100227355957;10;113.83088684082;10;69.5087890625;10;127.684104919434;10;114.46110534668;10;386.486541748047;10;418.469390869141;10;411.355529785156;10;386.748107910156;10;418.991729736328;10;412.056976318359;10;1998.03076171875;10;2001.72998046875;10;2028.75537109375;10;1997.07397460938;10;2002.44445800781;10;2030.79321289063;10;2402.04418945313;10;2395.2529296875;10;2404.54760742188;10;2401.50463867188;10;2389.81640625;10;2406.16845703125
11;69.1026916503906;11;127.11572265625;11;113.84398651123;11;69.5087890625;11;127.684104919434;11;114.46110534668;11;386.414459228516;11;418.078247070313;11;411.127410888672;11;386.982513427734;11;419.021514892578;11;412.291687011719;11;1997.30090332031;11;2000.38537597656;11;2027.9228515625;11;1996.53259277344;11;2001.02014160156;11;2030.22265625;11;2404.85571289063;11;2398.08544921875;11;2406.88037109375;11;2403.84985351563;11;2392.25024414063;11;2408.60424804688
