05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;50_L1_t_Einspeisung;50_L1_I_Einspeisung;50_L2_t_Einspeisung;50_L2_I_Einspeisung;50_L3_t_Einspeisung;50_L3_I_Einspeisung;50_L1_t_Pruefling;50_L1_I_Pruefling;50_L2_t_Pruefling;50_L2_I_Pruefling;50_L3_t_Pruefling;50_L3_I_Pruefling;80_L1_t_Einspeisung;80_L1_I_Einspeisung;80_L2_t_Einspeisung;80_L2_I_Einspeisung;80_L3_t_Einspeisung;80_L3_I_Einspeisung;80_L1_t_Pruefling;80_L1_I_Pruefling;80_L2_t_Pruefling;80_L2_I_Pruefling;80_L3_t_Pruefling;80_L3_I_Pruefling;90_L1_t_Einspeisung;90_L1_I_Einspeisung;90_L2_t_Einspeisung;90_L2_I_Einspeisung;90_L3_t_Einspeisung;90_L3_I_Einspeisung;90_L1_t_Pruefling;90_L1_I_Pruefling;90_L2_t_Pruefling;90_L2_I_Pruefling;90_L3_t_Pruefling;90_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
0;87.4789123535156;0;113.618049621582;0;114.690353393555;0;87.463996887207;0;113.69832611084;0;114.878684997559;0;530.430541992188;0;468.735290527344;0;480.346130371094;0;530.231018066406;0;468.200225830078;0;480.128479003906;0;1265.61096191406;0;1295.51940917969;0;1252.41076660156;0;1264.69311523438;0;1292.47436523438;0;1250.05419921875;0;2000.56091308594;0;1978.94409179688;0;1998.11999511719;0;1993.99719238281;0;1974.93823242188;0;1995.23461914063;0;2236.37280273438;0;2276.90795898438;0;2257.85302734375;0;2229.9951171875;0;2270.68310546875;0;2253.25390625;0;2488.6484375;0;2473.86791992188;0;2495.80786132813;0;2481.78662109375;0;2466.8642578125;0;2489.34228515625;0;2994.13696289063;0;2977.759765625;0;3001.33276367188;0;2984.431640625;0;2962.31323242188;0;2991.45043945313
1;87.453987121582;1;113.548835754395;1;114.655410766602;1;87.4637756347656;1;113.55428314209;1;114.772651672363;1;531.084411621094;1;469.460113525391;1;480.986785888672;1;530.231018066406;1;468.941467285156;1;480.914123535156;1;1266.84619140625;1;1297.22888183594;1;1253.63623046875;1;1264.72204589844;1;1295.49230957031;1;1252.7060546875;1;1999.35803222656;1;1976.7197265625;1;1996.19055175781;1;1996.75024414063;1;1971.51330566406;1;1992.06530761719;1;2234.03930664063;1;2274.63256835938;1;2255.59936523438;1;2232.25244140625;1;2270.68310546875;1;2253.25390625;1;2488.6845703125;1;2473.455078125;1;2495.59130859375;1;2481.27294921875;1;2466.87744140625;1;2490.03540039063;1;2993.75805664063;1;2976.89575195313;1;3000.87939453125;1;2988.31494140625;1;2961.90869140625;1;2991.72290039063
2;87.3456726074219;2;113.408042907715;2;114.46501159668;2;87.5214920043945;2;113.55143737793;2;114.6796875;2;531.122863769531;2;469.508483886719;2;481.098724365234;2;530.686401367188;2;468.941467285156;2;480.914123535156;2;1267.73828125;2;1297.96618652344;2;1254.53454589844;2;1264.197265625;2;1295.45300292969;2;1252.59716796875;2;2001.61987304688;2;1977.88806152344;2;1998.04016113281;2;1994.6181640625;2;1973.86926269531;2;1995.12707519531;2;2237.32202148438;2;2278.00366210938;2;2259.0458984375;2;2232.18627929688;2;2272.84106445313;2;2255.19653320313;2;2487.916015625;2;2472.38842773438;2;2494.73706054688;2;2480.98803710938;2;2465.8828125;2;2489.40551757813;2;2993.75805664063;2;2976.89575195313;2;3000.87939453125;2;3019.63916015625;2;2961.85620117188;2;2993.01831054688
3;87.4962158203125;3;113.617454528809;3;114.683128356934;3;87.6435928344727;3;113.646087646484;3;114.840690612793;3;531.36181640625;3;469.942535400391;3;481.837585449219;3;530.686401367188;3;470.092376708984;3;483.835632324219;3;1267.11840820313;3;1297.638671875;3;1254.00927734375;3;1264.97387695313;3;1295.02160644531;3;1252.24890136719;3;1999.59106445313;3;1975.92663574219;3;1996.14892578125;3;1996.20727539063;3;1971.27697753906;3;1992.76928710938;3;2238.4638671875;3;2278.98999023438;3;2260.11791992188;3;2229.80493164063;3;2273.04711914063;3;2254.94409179688;3;2487.89379882813;3;2472.76000976563;3;2494.5791015625;3;2481.603515625;3;2465.72119140625;3;2488.84594726563;3;3037.87768554688;3;2989.99438476563;3;3008.7646484375;3;3031.9697265625;3;2971.13696289063;3;2998.37622070313
4;87.4685592651367;4;113.583236694336;4;114.683364868164;4;91.8621368408203;4;114.196281433105;4;115.864303588867;4;534.614562988281;4;478.189056396484;4;506.736724853516;4;535.147521972656;4;470.092376708984;4;483.835632324219;4;1267.572265625;4;1298.24194335938;4;1254.83032226563;4;1266.19067382813;4;1296.03991699219;4;1253.23474121094;4;2000.64184570313;4;1977.89294433594;4;1997.78308105469;4;1996.94689941406;4;1973.44372558594;4;1994.35229492188;4;2236.27172851563;4;2276.455078125;4;2257.24365234375;4;2230.70703125;4;2270.76123046875;4;2252.056640625;4;2488.33984375;4;2473.18115234375;4;2494.98681640625;4;2481.603515625;4;2465.83032226563;4;2489.05126953125;4;3041.35229492188;4;2992.88500976563;4;3008.5732421875;4;3032.39892578125;4;2976.74951171875;4;2998.74145507813
5;91.0558395385742;5;126.903472900391;5;139.976654052734;5;117.034225463867;5;129.223098754883;5;144.456954956055;5;536.2431640625;5;479.911956787109;5;512.3798828125;5;535.325988769531;5;479.196807861328;5;512.025756835938;5;1268.80236816406;5;1299.12329101563;5;1255.72290039063;5;1251.09155273438;5;1296.71704101563;5;1254.09155273438;5;2002.13818359375;5;1979.25024414063;5;1998.9599609375;5;1997.78015136719;5;1974.59033203125;5;1995.13049316406;5;2236.841796875;5;2277.34155273438;5;2258.21240234375;5;2230.72729492188;5;2271.40869140625;5;2253.63989257813;5;2488.30688476563;5;2473.15869140625;5;2495.12890625;5;2482.02270507813;5;2465.83032226563;5;2489.05126953125;5;3041.287109375;5;2992.34399414063;5;3008.4248046875;5;3031.92700195313;5;2977.49780273438;5;2998.6357421875
6;110.893814086914;6;135.362197875977;6;153.637176513672;6;141.571151733398;6;136.366928100586;6;154.594604492188;6;536.21630859375;6;479.84814453125;6;512.304504394531;6;527.865173339844;6;479.245971679688;6;512.192321777344;6;1259.59448242188;6;1295.17626953125;6;1255.00024414063;6;1217.81396484375;6;1290.38256835938;6;1252.50610351563;6;2002.22094726563;6;1978.93627929688;6;1998.83947753906;6;1996.69006347656;6;1975.13159179688;6;1996.16174316406;6;2236.39233398438;6;2276.42456054688;6;2257.47045898438;6;2221.23291015625;6;2265.7001953125;6;2251.67065429688;6;2488.80908203125;6;2473.416015625;6;2495.09228515625;6;2482.02270507813;6;2466.58642578125;6;2489.64916992188;6;3039.92919921875;6;2991.4462890625;6;3006.83666992188;6;3029.5439453125;6;2977.12182617188;6;2998.63159179688
7;140.243927001953;7;141.355575561523;7;157.546646118164;7;141.818115234375;7;141.713958740234;7;157.739898681641;7;532.703186035156;7;478.309020996094;7;512.162536621094;7;497.55908203125;7;476.243194580078;7;511.3115234375;7;1223.48669433594;7;1281.02172851563;7;1249.87634277344;7;1213.09375;7;1277.63928222656;7;1247.71691894531;7;2002.07531738281;7;1978.68176269531;7;1998.63830566406;7;1996.18566894531;7;1973.76733398438;7;1994.6513671875;7;2230.84716796875;7;2238.7509765625;7;2246.85986328125;7;2235.68237304688;7;2223.55224609375;7;2239.8046875;7;2488.87475585938;7;2473.1025390625;7;2494.75146484375;7;2482.14990234375;7;2466.58642578125;7;2489.64916992188;7;3039.75;7;2991.32568359375;7;3006.3642578125;7;3031.10717773438;7;2975.22705078125;7;2996.01953125
8;141.844879150391;8;141.720336914063;8;157.430587768555;8;141.878540039063;8;141.78076171875;8;157.61686706543;8;501.690673828125;8;467.295379638672;8;507.776275634766;8;489.737976074219;8;465.708099365234;8;507.107238769531;8;1215.86547851563;8;1279.67687988281;8;1248.85668945313;8;1213.13500976563;8;1276.90686035156;8;1246.94201660156;8;2001.32531738281;8;1978.34204101563;8;1998.29650878906;8;1997.96411132813;8;1974.36962890625;8;1995.30419921875;8;2232.87329101563;8;2221.86743164063;8;2245.49536132813;8;2257.28295898438;8;2219.38232421875;8;2243.02758789063;8;2487.03466796875;8;2471.0888671875;8;2492.71997070313;8;2492.1455078125;8;2466.3017578125;8;2489.28515625;8;3040.30419921875;8;2991.19970703125;8;3007.1630859375;8;3029.57006835938;8;2976.41455078125;8;2997.17553710938
9;142.029800415039;9;141.887252807617;9;157.589935302734;9;141.982391357422;9;141.84245300293;9;157.674362182617;9;490.792327880859;9;464.285827636719;9;506.421997070313;9;489.4990234375;9;463.709838867188;9;506.093231201172;9;1215.73559570313;9;1279.76843261719;9;1248.43579101563;9;1213.87609863281;9;1277.64208984375;9;1246.7373046875;9;2002.74206542969;9;1980.23669433594;9;1999.70959472656;9;1996.74829101563;9;1976.04614257813;9;1996.72924804688;9;2261.11376953125;9;2229.14208984375;9;2248.93701171875;9;2264.66967773438;9;2223.75756835938;9;2242.86279296875;9;2490.8798828125;9;2473.63696289063;9;2496.11840820313;9;2523.32690429688;9;2467.98071289063;9;2491.58251953125;9;3038.88940429688;9;2990.04052734375;9;3006.32983398438;9;3029.57006835938;9;2975.05859375;9;2996.55029296875
