05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;50_L1_t_Einspeisung;50_L1_I_Einspeisung;50_L2_t_Einspeisung;50_L2_I_Einspeisung;50_L3_t_Einspeisung;50_L3_I_Einspeisung;50_L1_t_Pruefling;50_L1_I_Pruefling;50_L2_t_Pruefling;50_L2_I_Pruefling;50_L3_t_Pruefling;50_L3_I_Pruefling;80_L1_t_Einspeisung;80_L1_I_Einspeisung;80_L2_t_Einspeisung;80_L2_I_Einspeisung;80_L3_t_Einspeisung;80_L3_I_Einspeisung;80_L1_t_Pruefling;80_L1_I_Pruefling;80_L2_t_Pruefling;80_L2_I_Pruefling;80_L3_t_Pruefling;80_L3_I_Pruefling;90_L1_t_Einspeisung;90_L1_I_Einspeisung;90_L2_t_Einspeisung;90_L2_I_Einspeisung;90_L3_t_Einspeisung;90_L3_I_Einspeisung;90_L1_t_Pruefling;90_L1_I_Pruefling;90_L2_t_Pruefling;90_L2_I_Pruefling;90_L3_t_Pruefling;90_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
0;226.736083984375;0;236.514907836914;0;214.823394775391;0;226.551528930664;0;236.4345703125;0;214.876190185547;0;1004.28100585938;0;994.480773925781;0;997.280883789063;0;1002.21252441406;0;992.778991699219;0;995.870239257813;0;2494.16723632813;0;2531.99291992188;0;2477.05615234375;0;2488.17529296875;0;2526.72705078125;0;2473.30981445313;0;4017.55029296875;0;4022.65893554688;0;3996.8193359375;0;3997.05908203125;0;4008.267578125;0;3991.98413085938;0;4496.94677734375;0;4499.25634765625;0;4510.82861328125;0;4446.55224609375;0;4468.8369140625;0;4504.74951171875;0;4987.6904296875;0;4980.56884765625;0;4998.1279296875;0;4890.18310546875;0;4926.40478515625;0;4986.09033203125;0;5997.36865234375;0;6008.21240234375;0;6014.60205078125;0;5770.02001953125;0;5891.5947265625;0;5985.443359375
1;226.736083984375;1;236.514907836914;1;214.823394775391;1;226.548904418945;1;236.479553222656;1;214.983001708984;1;1004.19250488281;1;994.545532226563;1;997.402526855469;1;1002.197265625;1;992.994323730469;1;996.280334472656;1;2487.25;1;2496.3466796875;1;2465.26831054688;1;2483.39453125;1;2500.99340820313;1;2464.39794921875;1;4015.99829101563;1;4021.35693359375;1;3996.12255859375;1;3996.30786132813;1;4007.53295898438;1;3991.87377929688;1;4496.84619140625;1;4499.74267578125;1;4510.8583984375;1;4446.33642578125;1;4469.3427734375;1;4504.86474609375;1;4988.009765625;1;4981.71630859375;1;4998.45263671875;1;4890.53564453125;1;4927.994140625;1;4986.54248046875;1;5997.931640625;1;6007.9873046875;1;6015.36376953125;1;5770.9609375;1;5891.95263671875;1;5986.7197265625
2;226.86540222168;2;236.571960449219;2;214.942092895508;2;226.6611328125;2;236.500579833984;2;215.034790039063;2;1004.5693359375;2;994.573669433594;2;997.543212890625;2;1002.49438476563;2;992.660888671875;2;996.234313964844;2;2481.37329101563;2;2477.58349609375;2;2462.64404296875;2;2475.85717773438;2;2472.13940429688;2;2458.5302734375;2;4015.99829101563;2;4021.35693359375;2;3996.12255859375;2;3994.8349609375;2;4006.390625;2;3990.4462890625;2;4497.060546875;2;4499.41650390625;2;4511.05078125;2;4445.947265625;2;4467.4599609375;2;4504.0283203125;2;4987.4072265625;2;4980.521484375;2;4998.48828125;2;4889.0791015625;2;4927.01611328125;2;4986.63916015625;2;5998.3173828125;2;6008.58203125;2;6016.291015625;2;5771.06787109375;2;5892.03125;2;5987.24169921875
3;226.86540222168;3;236.571960449219;3;214.942092895508;3;226.790557861328;3;236.592620849609;3;215.09423828125;3;1004.56365966797;3;994.369750976563;3;997.447998046875;3;1002.29412841797;3;992.620239257813;3;995.895568847656;3;2480.7216796875;3;2477.66455078125;3;2462.99487304688;3;2474.90673828125;3;2472.337890625;3;2459.1513671875;3;4014.2158203125;3;4020.32641601563;3;3995.21166992188;3;3994.2822265625;3;4006.29345703125;3;3990.27099609375;3;4496.45068359375;3;4497.54736328125;3;4510.54638671875;3;4446.6171875;3;4469.41455078125;3;4504.67236328125;3;4987.81298828125;3;4979.92919921875;3;4997.6943359375;3;4889.46923828125;3;4926.82080078125;3;4986.341796875;3;5999.265625;3;6009.830078125;3;6017.82080078125;3;5772.0537109375;3;5893.40087890625;3;5988.990234375
4;226.902450561523;4;236.656494140625;4;215.054946899414;4;226.75244140625;4;236.573593139648;4;215.128860473633;4;1004.38525390625;4;994.301147460938;4;997.116394042969;4;1001.68286132813;4;992.432006835938;4;995.77685546875;4;2480.72094726563;4;2477.64135742188;4;2462.89013671875;4;2474.97973632813;4;2472.89892578125;4;2459.84838867188;4;4016.13159179688;4;4022.42724609375;4;3997.29711914063;4;3996.27807617188;4;4008.21264648438;4;3993.04858398438;4;4497.30419921875;4;4500.0009765625;4;4510.91162109375;4;4447.142578125;4;4469.8798828125;4;4505.1201171875;4;4987.7275390625;4;4980.97705078125;4;4997.939453125;4;4890.1357421875;4;4927.091796875;4;4986.04833984375;4;5998.8779296875;4;6009.26318359375;4;6016.91845703125;4;5772.5;4;5892.10791015625;4;5988.33447265625
5;226.843719482422;5;236.645889282227;5;215.059432983398;5;226.648376464844;5;236.604919433594;5;215.147399902344;5;1003.86572265625;5;993.938842773438;5;996.804443359375;5;1001.82019042969;5;992.261840820313;5;995.603942871094;5;2480.93432617188;5;2478.24194335938;5;2463.68725585938;5;2474.97973632813;5;2472.89892578125;5;2459.84838867188;5;4018.04638671875;5;4033.94555664063;5;4018.82666015625;5;3997.185546875;5;4016.56518554688;5;4007.09887695313;5;4498.0439453125;5;4500.00927734375;5;4511.92041015625;5;4447.0927734375;5;4470.05810546875;5;4505.7958984375;5;4986.98681640625;5;4979.9716796875;5;4997.1572265625;5;4889.91259765625;5;4926.53173828125;5;4985.55908203125;5;5998.857421875;5;6009.11572265625;5;6016.59521484375;5;5771.70947265625;5;5892.8828125;5;5987.9521484375
6;226.846282958984;6;236.569137573242;6;215.024612426758;6;226.649322509766;6;236.505630493164;6;215.131454467773;6;1003.60314941406;6;993.638854980469;6;996.577331542969;6;1001.46246337891;6;991.865051269531;6;995.311584472656;6;2481.44018554688;6;2483.06127929688;6;2473.05615234375;6;2478.57592773438;6;2486.63720703125;6;2491.21313476563;6;4023.0654296875;6;4038.78564453125;6;4040.7578125;6;4002.85083007813;6;4024.16284179688;6;4035.79956054688;6;4497.52734375;6;4500.33203125;6;4512.11669921875;6;4447.05029296875;6;4470.16357421875;6;4505.92626953125;6;4986.314453125;6;4979.84521484375;6;4996.83203125;6;4888.93994140625;6;4926.06298828125;6;4984.82080078125;6;5999.3798828125;6;6008.72900390625;6;6017.37255859375;6;5771.8466796875;6;5892.80322265625;6;5988.18603515625
7;229.82958984375;7;246.183364868164;7;238.63557434082;7;228.640686035156;7;243.076232910156;7;231.20964050293;7;1003.74493408203;7;993.644592285156;7;996.472045898438;7;1001.66174316406;7;991.911560058594;7;995.236572265625;7;2485.16552734375;7;2492.43383789063;7;2496.4560546875;7;2479.62158203125;7;2487.07470703125;7;2493.99609375;7;4022.19848632813;7;4036.7734375;7;4042.02392578125;7;4002.67724609375;7;4022.36108398438;7;4037.37963867188;7;4497.0703125;7;4500.310546875;7;4511.8955078125;7;4447.57666015625;7;4469.9345703125;7;4505.2646484375;7;4987.83837890625;7;4981.24658203125;7;4998.04248046875;7;4890.0107421875;7;4926.35498046875;7;4986.74951171875;7;5998.5908203125;7;6008.97509765625;7;6015.91455078125;7;5771.3974609375;7;5892.6123046875;7;5987.423828125
8;232.219024658203;8;252.718841552734;8;254.878402709961;8;231.888107299805;8;252.485290527344;8;254.583709716797;8;1003.41119384766;8;993.711547851563;8;996.538940429688;8;1001.40051269531;8;991.930969238281;8;995.230285644531;8;2485.69848632813;8;2492.01171875;8;2497.650390625;8;2479.67504882813;8;2486.81811523438;8;2493.83642578125;8;4021.17309570313;8;4035.42163085938;8;4039.95190429688;8;4001.32397460938;8;4021.57421875;8;4035.27368164063;8;4495.427734375;8;4499.29541015625;8;4511.24462890625;8;4444.5576171875;8;4469.09326171875;8;4505.1328125;8;4988.18505859375;8;4981.216796875;8;4998.48095703125;8;4890.77490234375;8;4927.65283203125;8;4986.6875;8;6000.22607421875;8;6009.6103515625;8;6016.19921875;8;5772.6728515625;8;5893.3759765625;8;5987.529296875
9;232.225479125977;9;252.693695068359;9;254.931594848633;9;232.035034179688;9;252.64616394043;9;254.964736938477;9;1003.38922119141;9;993.374328613281;9;996.443725585938;9;1001.314453125;9;991.814147949219;9;995.159301757813;9;2485.69848632813;9;2492.01171875;9;2497.650390625;9;2479.65771484375;9;2486.19311523438;9;2494.19775390625;9;4022.123046875;9;4034.35571289063;9;4040.5166015625;9;4002.0302734375;9;4021.04345703125;9;4035.38037109375;9;4497.1552734375;9;4500.3798828125;9;4511.38232421875;9;4446.49365234375;9;4469.77197265625;9;4505.21630859375;9;4986.884765625;9;4978.90283203125;9;4997.6767578125;9;4889.4365234375;9;4925.46240234375;9;4985.89599609375;9;6001.55224609375;9;6010.31396484375;9;6018.75390625;9;5773.71044921875;9;5893.93994140625;9;5989.6884765625
10;233.443374633789;10;252.788360595703;10;255.028137207031;10;232.013778686523;10;252.439376831055;10;254.834533691406;10;1003.65838623047;10;993.357666015625;10;996.552612304688;10;1001.44854736328;10;991.549560546875;10;995.225280761719;10;2486.08129882813;10;2491.30908203125;10;2498.89697265625;10;2480.07836914063;10;2486.123046875;10;2495.03833007813;10;4021.92529296875;10;4033.41796875;10;4039.81274414063;10;4002.142578125;10;4018.79321289063;10;4035.3720703125;10;4494.37646484375;10;4498.4658203125;10;4509.65576171875;10;4445.28173828125;10;4468.28515625;10;4503.24365234375;10;4988.37255859375;10;4980.201171875;10;4998.49267578125;10;4890.52783203125;10;4926.6640625;10;4987.21044921875;10;6001.1943359375;10;6009.70166015625;10;6018.46728515625;10;5773.71044921875;10;5893.93994140625;10;5989.6884765625
11;265.840637207031;11;262.696472167969;11;259.701232910156;11;258.157806396484;11;260.204925537109;11;258.624725341797;11;1003.86297607422;11;993.394287109375;11;996.908508300781;11;1001.75231933594;11;991.681396484375;11;995.516845703125;11;2486.08129882813;11;2491.30908203125;11;2498.89697265625;11;2479.845703125;11;2485.74951171875;11;2495.00415039063;11;4022.08129882813;11;4034.73095703125;11;4039.724609375;11;4002.408203125;11;4019.62670898438;11;4035.49072265625;11;4493.9794921875;11;4497.45556640625;11;4507.28173828125;11;4442.86572265625;11;4467.14990234375;11;4501.20849609375;11;4988.46484375;11;4980.056640625;11;4998.67236328125;11;4890.52783203125;11;4926.6640625;11;4987.21044921875;11;6000.34375;11;6008.90576171875;11;6017.4736328125;11;5772.72412109375;11;5892.96630859375;11;5988.580078125
