05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;50_L1_t_Einspeisung;50_L1_I_Einspeisung;50_L2_t_Einspeisung;50_L2_I_Einspeisung;50_L3_t_Einspeisung;50_L3_I_Einspeisung;50_L1_t_Pruefling;50_L1_I_Pruefling;50_L2_t_Pruefling;50_L2_I_Pruefling;50_L3_t_Pruefling;50_L3_I_Pruefling;80_L1_t_Einspeisung;80_L1_I_Einspeisung;80_L2_t_Einspeisung;80_L2_I_Einspeisung;80_L3_t_Einspeisung;80_L3_I_Einspeisung;80_L1_t_Pruefling;80_L1_I_Pruefling;80_L2_t_Pruefling;80_L2_I_Pruefling;80_L3_t_Pruefling;80_L3_I_Pruefling;90_L1_t_Einspeisung;90_L1_I_Einspeisung;90_L2_t_Einspeisung;90_L2_I_Einspeisung;90_L3_t_Einspeisung;90_L3_I_Einspeisung;90_L1_t_Pruefling;90_L1_I_Pruefling;90_L2_t_Pruefling;90_L2_I_Pruefling;90_L3_t_Pruefling;90_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
0;243.767715454102;0;272.751251220703;0;257.130859375;0;244.59455871582;0;273.504028320313;0;258.02490234375;0;993.718505859375;0;988.330871582031;0;999.502746582031;0;994.93896484375;0;989.518737792969;0;1001.53216552734;0;2487.84423828125;0;2486.123046875;0;2503.79223632813;0;2486.18408203125;0;2486.58764648438;0;2507.11669921875;0;4000.705078125;0;3963.5263671875;0;3980.970703125;0;3984.55908203125;0;3952.521484375;0;3984.35986328125;0;4524.986328125;0;4488.15966796875;0;4501.92236328125;0;4495.705078125;0;4462.779296875;0;4504.69775390625;0;4987.1103515625;0;4996.11181640625;0;4993.77001953125;0;4920.91015625;0;4954.21240234375;0;4995.07373046875;0;5991.74267578125;0;6024.67724609375;0;6021.2802734375;0;5792.6357421875;0;5942.39892578125;0;5982.28564453125
1;243.667678833008;1;272.644104003906;1;256.991729736328;1;244.539993286133;1;273.50634765625;1;257.992248535156;1;994.353942871094;1;988.950927734375;1;1000.02191162109;1;995.435852050781;1;989.960327148438;1;1001.87286376953;1;2487.27783203125;1;2485.45092773438;1;2503.54272460938;1;2485.71435546875;1;2485.51416015625;1;2506.77490234375;1;4004.30151367188;1;3966.25854492188;1;3985.05102539063;1;3987.7939453125;1;3955.5146484375;1;3988.94506835938;1;4526.517578125;1;4489.33642578125;1;4502.4814453125;1;4498.29638671875;1;4467.0458984375;1;4507.4755859375;1;4983.1240234375;1;4991.3896484375;1;4991.01806640625;1;4918.91162109375;1;4951.21044921875;1;4994.1513671875;1;5992.00537109375;1;6021.77001953125;1;6012.29931640625;1;5789.5751953125;1;5935.169921875;1;5964.1708984375
2;243.867813110352;2;272.878112792969;2;257.236480712891;2;244.715179443359;2;273.686340332031;2;258.181823730469;2;994.014526367188;2;988.593139648438;2;999.7099609375;2;995.300659179688;2;989.824035644531;2;1001.79699707031;2;2488.72998046875;2;2486.4970703125;2;2504.8837890625;2;2486.98461914063;2;2486.91577148438;2;2508.06274414063;2;4007.11279296875;2;3969.23388671875;2;3987.6005859375;2;3987.7939453125;2;3955.5146484375;2;3988.94506835938;2;4517.1982421875;2;4480.42822265625;2;4494.0;2;4485.125;2;4451.94970703125;2;4493.4521484375;2;4984.37109375;2;4994.9736328125;2;4993.1826171875;2;4917.326171875;2;4952.458984375;2;4993.15283203125;2;5986.12646484375;2;6007.287109375;2;5983.95751953125;2;5789.5751953125;2;5935.169921875;2;5964.1708984375
3;243.810333251953;3;272.795715332031;3;257.126831054688;3;244.653991699219;3;273.583435058594;3;258.052917480469;3;994.2060546875;3;988.874389648438;3;1000.13256835938;3;995.203308105469;3;989.979675292969;3;1002.02886962891;3;2485.94360351563;3;2484.48583984375;3;2501.94677734375;3;2484.4482421875;3;2484.81127929688;3;2505.27978515625;3;4006.73217773438;3;3968.70263671875;3;3986.98950195313;3;3991.89208984375;3;3958.1416015625;3;3990.44311523438;3;4517.08251953125;3;4480.3505859375;3;4494.00537109375;3;4493.5693359375;3;4461.3154296875;3;4502.5068359375;3;4972.81298828125;3;4984.7294921875;3;4982.15625;3;4907.9658203125;3;4943.3212890625;3;4983.28662109375;3;5990.9931640625;3;6013.06103515625;3;5987.82275390625;3;5789.658203125;3;5932.0634765625;3;5949.7578125
4;243.85498046875;4;272.883026123047;4;257.222076416016;4;244.682205200195;4;273.698974609375;4;258.175201416016;4;994.271606445313;4;989.010803222656;4;1000.24389648438;4;995.460388183594;4;990.195251464844;4;1002.26031494141;4;2488.4619140625;4;2486.70751953125;4;2503.64624023438;4;2486.93505859375;4;2487.32836914063;4;2507.03173828125;4;4005.01123046875;4;3966.26220703125;4;3985.57836914063;4;3988.95166015625;4;3955.62622070313;4;3989.72534179688;4;4524.11962890625;4;4487.55810546875;4;4500.6376953125;4;4494.17138671875;4;4463.33154296875;4;4503.56591796875;4;4980.20166015625;4;4991.57568359375;4;4988.7041015625;4;4912.794921875;4;4947.32421875;4;4987.6044921875;4;5989.37255859375;4;6011.6416015625;4;5986.447265625;4;5789.658203125;4;5932.0634765625;4;5949.7578125
5;243.719635009766;5;272.729400634766;5;257.093505859375;5;244.682205200195;5;273.698974609375;5;258.175201416016;5;993.726623535156;5;988.40234375;5;999.621337890625;5;994.783569335938;5;989.459655761719;5;1001.49200439453;5;2487.45654296875;5;2485.52490234375;5;2502.40795898438;5;2485.67651367188;5;2485.77319335938;5;2505.57446289063;5;4004.28466796875;5;3965.31323242188;5;3985.03979492188;5;3986.65258789063;5;3953.57788085938;5;3987.6552734375;5;4527.1806640625;5;4490.30419921875;5;4503.51220703125;5;4497.89892578125;5;4466.865234375;5;4507.33740234375;5;4980.20166015625;5;4991.57568359375;5;4988.7041015625;5;4918.63720703125;5;4955.8134765625;5;4994.9482421875;5;5995.84423828125;5;6016.466796875;5;5992.896484375;5;5792.31201171875;5;5932.76953125;5;5952.60302734375
6;243.835922241211;6;272.836486816406;6;257.203216552734;6;244.681015014648;6;273.620391845703;6;258.115142822266;6;993.465270996094;6;988.115356445313;6;999.400329589844;6;995.328674316406;6;989.94580078125;6;1002.00445556641;6;2488.63793945313;6;2486.71264648438;6;2503.52319335938;6;2486.67993164063;6;2486.81762695313;6;2506.47583007813;6;4003.14819335938;6;3965.158203125;6;3984.19750976563;6;3989.73583984375;6;3957.03198242188;6;3990.79907226563;6;4525.876953125;6;4488.8896484375;6;4502.033203125;6;4497.7021484375;6;4465.97607421875;6;4506.658203125;6;4983.52490234375;6;4997.07177734375;6;4992.84326171875;6;4916.22119140625;6;4952.5185546875;6;4992.1279296875;6;5985.984375;6;6005.7236328125;6;5982.7646484375;6;5784.0185546875;6;5923.52978515625;6;5943.0634765625
7;243.71955871582;7;272.716461181641;7;257.100555419922;7;244.681015014648;7;273.620391845703;7;258.115142822266;7;993.465270996094;7;988.115356445313;7;999.400329589844;7;994.682312011719;7;989.293212890625;7;1001.45520019531;7;2488.0869140625;7;2486.63916015625;7;2503.35302734375;7;2486.9541015625;7;2487.34497070313;7;2507.037109375;7;4006.07568359375;7;3967.5625;7;3986.73876953125;7;3988.59448242188;7;3954.4423828125;7;3988.55810546875;7;4526.09423828125;7;4489.60400390625;7;4501.802734375;7;4496.162109375;7;4465.0048828125;7;4504.62841796875;7;4983.52490234375;7;4997.07177734375;7;4992.84326171875;7;4919.1142578125;7;4956.16064453125;7;4995.619140625;7;5991.12060546875;7;6012.1748046875;7;5988.31005859375;7;5790.07275390625;7;5931.87109375;7;5949.90625
8;243.777069091797;8;272.729949951172;8;257.169036865234;8;244.154937744141;8;271.680419921875;8;257.556488037109;8;993.749145507813;8;988.190002441406;8;999.680908203125;8;995.196533203125;8;989.509521484375;8;1001.84240722656;8;2488.7900390625;8;2487.4560546875;8;2504.05712890625;8;2486.94140625;8;2487.3779296875;8;2507.0341796875;8;4004.650390625;8;3966.5615234375;8;3986.05786132813;8;3990.08471679688;8;3957.75854492188;8;3993.625;8;4526.28271484375;8;4488.98193359375;8;4501.04736328125;8;4499.90673828125;8;4470.271484375;8;4506.08740234375;8;4985.4716796875;8;4998.193359375;8;4993.42626953125;8;4920.7744140625;8;4957.505859375;8;4995.98193359375;8;5990.453125;8;6011.498046875;8;5987.1640625;8;5784.21875;8;5924.95849609375;8;5942.6142578125
9;234.0498046875;9;233.924591064453;9;246.89143371582;9;233.967864990234;9;230.96794128418;9;246.882888793945;9;993.041137695313;9;987.372436523438;9;998.800964355469;9;994.053527832031;9;988.364013671875;9;1000.55987548828;9;2488.8193359375;9;2487.67236328125;9;2504.40307617188;9;2486.96899414063;9;2487.65307617188;9;2507.51171875;9;4005.54077148438;9;3973.34716796875;9;4010.63598632813;9;3989.38916015625;9;3962.32495117188;9;4016.66552734375;9;4538.90380859375;9;4527.95068359375;9;4509.8037109375;9;4509.48193359375;9;4508.0927734375;9;4513.7392578125;9;4979.34619140625;9;4994.6923828125;9;4987.54052734375;9;4920.7744140625;9;4957.505859375;9;4995.98193359375;9;5985.43701171875;9;6005.3505859375;9;5981.95263671875;9;5789.10888671875;9;5929.0244140625;9;5948.39892578125
10;230.995727539063;10;220.532257080078;10;243.676422119141;10;231.900085449219;10;221.261199951172;10;244.57405090332;10;993.2265625;10;987.640930175781;10;999.008483886719;10;994.483703613281;10;988.921752929688;10;1001.03088378906;10;2487.6005859375;10;2486.06640625;10;2503.10107421875;10;2486.216796875;10;2486.7138671875;10;2506.6669921875;10;4006.44311523438;10;3975.47412109375;10;4015.60180664063;10;3991.7744140625;10;3963.88818359375;10;4019.91552734375;10;4538.23046875;10;4536.74755859375;10;4513.65966796875;10;4508.80322265625;10;4513.9150390625;10;4518.86767578125;10;4979.01806640625;10;4996.96875;10;4990.71240234375;10;4915.93701171875;10;4957.4892578125;10;4994.58837890625;10;5996.3642578125;10;6016.275390625;10;5992.9375;10;5792.99853515625;10;5930.32666015625;10;5952.3662109375
11;230.92253112793;11;220.480895996094;11;243.646987915039;11;231.78352355957;11;221.221878051758;11;244.569046020508;11;993.2265625;11;987.640930175781;11;999.008483886719;11;994.483703613281;11;988.921752929688;11;1001.03088378906;11;2488.681640625;11;2487.42919921875;11;2504.25317382813;11;2487.09399414063;11;2487.6025390625;11;2507.4169921875;11;4007.41162109375;11;3975.33276367188;11;4015.82202148438;11;3992.36450195313;11;3964.45654296875;11;4020.23461914063;11;4535.72412109375;11;4534.9345703125;11;4511.78125;11;4505.37353515625;11;4510.83056640625;11;4515.357421875;11;4972.87939453125;11;4991.18798828125;11;4983.75;11;4915.93701171875;11;4957.4892578125;11;4994.58837890625;11;5993.8046875;11;6014.21826171875;11;5990.59765625;11;5792.97900390625;11;5935.12841796875;11;5952.46337890625
