05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;50_L1_t_Einspeisung;50_L1_I_Einspeisung;50_L2_t_Einspeisung;50_L2_I_Einspeisung;50_L3_t_Einspeisung;50_L3_I_Einspeisung;50_L1_t_Pruefling;50_L1_I_Pruefling;50_L2_t_Pruefling;50_L2_I_Pruefling;50_L3_t_Pruefling;50_L3_I_Pruefling;80_L1_t_Einspeisung;80_L1_I_Einspeisung;80_L2_t_Einspeisung;80_L2_I_Einspeisung;80_L3_t_Einspeisung;80_L3_I_Einspeisung;80_L1_t_Pruefling;80_L1_I_Pruefling;80_L2_t_Pruefling;80_L2_I_Pruefling;80_L3_t_Pruefling;80_L3_I_Pruefling;90_L1_t_Einspeisung;90_L1_I_Einspeisung;90_L2_t_Einspeisung;90_L2_I_Einspeisung;90_L3_t_Einspeisung;90_L3_I_Einspeisung;90_L1_t_Pruefling;90_L1_I_Pruefling;90_L2_t_Pruefling;90_L2_I_Pruefling;90_L3_t_Pruefling;90_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
0;259.227996826172;0;290.197448730469;0;259.733123779297;0;259.397705078125;0;290.254150390625;0;251.945251464844;0;980.672058105469;0;1005.84423828125;0;999.2763671875;0;980.581359863281;0;1003.63464355469;0;1002.68798828125;0;2522.10815429688;0;2509.95190429688;0;2526.11645507813;0;2520.86694335938;0;2501.2890625;0;2549.02514648438;0;4008.77294921875;0;3981.57885742188;0;3977.38745117188;0;3999.48120117188;0;3924.52221679688;0;3985.54541015625;0;4546.802734375;0;4514.71435546875;0;4487.115234375;0;4545.32470703125;0;4403.54638671875;0;4456.48828125;0;5039.359375;0;5046.83544921875;0;4995.080078125;0;5026.41162109375;0;4866.59765625;0;4919.662109375;0;6015.51171875;0;5999.84130859375;0;6004.5263671875;0;5980.6318359375;0;5567.01416015625;0;5827.3740234375
1;259.045379638672;1;290.023498535156;1;259.639373779297;1;259.499847412109;1;290.254150390625;1;251.945251464844;1;979.440551757813;1;1004.39733886719;1;997.685852050781;1;981.715454101563;1;1005.18804931641;1;1004.27319335938;1;2524.86743164063;1;2512.91772460938;1;2528.51953125;1;2517.78515625;1;2507.349609375;1;2554.5341796875;1;4005.76318359375;1;3978.47192382813;1;3974.30712890625;1;3999.48120117188;1;3923.37084960938;1;3984.95556640625;1;4554.31494140625;1;4546.3076171875;1;4495.15380859375;1;4541.93359375;1;4440.27099609375;1;4465.8701171875;1;5038.947265625;1;5046.05712890625;1;4993.96240234375;1;5024.56201171875;1;4864.6083984375;1;4917.47802734375;1;6017.08251953125;1;6001.7548828125;1;6005.73388671875;1;5980.18505859375;1;5568.599609375;1;5828.72998046875
2;259.091278076172;2;290.112152099609;2;259.738098144531;2;259.499847412109;2;290.506439208984;2;252.143524169922;2;982.285949707031;2;1007.13171386719;2;1000.54040527344;2;981.040954589844;2;1006.50445556641;2;1005.64532470703;2;2520.17944335938;2;2506.98217773438;2;2511.3466796875;2;2511.11450195313;2;2504.296875;2;2545.4970703125;2;4007.82739257813;2;3980.17724609375;2;3976.74951171875;2;3998.01123046875;2;3923.37084960938;2;3984.95556640625;2;4551.0888671875;2;4543.8583984375;2;4493.02978515625;2;4542.2880859375;2;4439.396484375;2;4464.51416015625;2;5035.00048828125;2;5041.267578125;2;4989.87939453125;2;5031.53857421875;2;4861.81982421875;2;4914.298828125;2;6016.28369140625;2;6003.3525390625;2;6006.59765625;2;5948.91259765625;2;5569.15380859375;2;5829.9853515625
3;259.142425537109;3;290.302947998047;3;259.900085449219;3;259.346710205078;3;290.506439208984;3;252.143524169922;3;981.728271484375;3;1007.04357910156;3;1000.19573974609;3;980.669860839844;3;1006.2978515625;3;1005.33374023438;3;2514.61083984375;3;2495.78540039063;3;2485.88623046875;3;2514.49096679688;3;2490.82568359375;3;2510.68139648438;3;4005.76025390625;3;3978.4541015625;3;3974.71435546875;3;3995.11254882813;3;3922.21508789063;3;3983.90356445313;3;4552.42724609375;3;4546.0341796875;3;4494.2666015625;3;4544.4365234375;3;4440.22705078125;3;4464.93310546875;3;5042.9033203125;3;5049.5703125;3;4998.52001953125;3;5021.8916015625;3;4868.607421875;3;4922.923828125;3;5978.96826171875;3;5983.533203125;3;5997.43603515625;3;5913.13671875;3;5556.662109375;3;5825.04052734375
4;258.938537597656;4;290.218017578125;4;259.834228515625;4;259.478759765625;4;290.441162109375;4;252.101669311523;4;981.315185546875;4;1006.34063720703;4;999.610961914063;4;980.421752929688;4;1005.77465820313;4;1004.80072021484;4;2520.19018554688;4;2500.53271484375;4;2490.85009765625;4;2518.87524414063;4;2492.93603515625;4;2512.19848632813;4;4004.13061523438;4;3977.14599609375;4;3974.001953125;4;3999.19482421875;4;3919.95141601563;4;3981.46411132813;4;4554.04150390625;4;4548.0732421875;4;4496.14892578125;4;4544.69921875;4;4442.36962890625;4;4467.37158203125;4;5030.50341796875;4;5036.7587890625;4;4984.8701171875;4;5022.734375;4;4859.83203125;4;4911.47314453125;4;5946.8720703125;4;5969.07421875;4;5986.7705078125;4;5911.40380859375;4;5544.4697265625;4;5815.83447265625
5;259.079772949219;5;290.308380126953;5;259.867370605469;5;258.995788574219;5;290.494934082031;5;252.172515869141;5;981.682250976563;5;1006.51379394531;5;999.813720703125;5;981.220764160156;5;1005.15814208984;5;1004.33013916016;5;2522.14575195313;5;2502.36694335938;5;2493.18676757813;5;2517.07446289063;5;2496.9794921875;5;2516.54541015625;5;4005.43676757813;5;3978.236328125;5;3975.13793945313;5;3998.33422851563;5;3923.28540039063;5;3985.05834960938;5;4554.27978515625;5;4548.27197265625;5;4496.3291015625;5;4544.2451171875;5;4442.97802734375;5;4467.87060546875;5;5035.87890625;5;5041.55615234375;5;4990.98291015625;5;5030.93408203125;5;4859.93603515625;5;4912.6298828125;5;5947.1015625;5;5973.2236328125;5;5989.68896484375;5;5916.2275390625;5;5547.8095703125;5;5818.087890625
6;259.004333496094;6;290.115264892578;6;259.729949951172;6;259.264923095703;6;289.906829833984;6;251.605514526367;6;981.715087890625;6;1006.39636230469;6;999.893676757813;6;981.332763671875;6;1006.01208496094;6;1005.16455078125;6;2521.15087890625;6;2500.6796875;6;2491.58544921875;6;2518.97998046875;6;2494.80004882813;6;2514.61840820313;6;4005.43676757813;6;3978.236328125;6;3975.13793945313;6;4001.66625976563;6;3923.0478515625;6;3984.18432617188;6;4553.25732421875;6;4547.04296875;6;4495.47021484375;6;4542.35107421875;6;4441.62060546875;6;4467.25;6;5041.595703125;6;5047.8994140625;6;4996.875;6;5021.22216796875;6;4867.07275390625;6;4920.27587890625;6;5950.5546875;6;5979.18212890625;6;5994.564453125;6;5916.8369140625;6;5551.765625;6;5823.11083984375
7;258.797454833984;7;289.915618896484;7;259.519439697266;7;258.735290527344;7;290.427032470703;7;252.050186157227;7;982.654052734375;7;1007.69927978516;7;1001.37811279297;7;981.192565917969;7;1006.17767333984;7;1005.74487304688;7;2522.81420898438;7;2502.65576171875;7;2493.68603515625;7;2518.94091796875;7;2496.53125;7;2516.27172851563;7;4007.81103515625;7;3981.27880859375;7;3976.45043945313;7;3992.36352539063;7;3926.21826171875;7;3986.3017578125;7;4551.47021484375;7;4545.56787109375;7;4494.08642578125;7;4528.44482421875;7;4440.16650390625;7;4465.85498046875;7;5027.64306640625;7;5043.21435546875;7;4995.61572265625;7;4993.7861328125;7;4864.23291015625;7;4919.9951171875;7;5951.50390625;7;5979.07861328125;7;5995.14404296875;7;5917.39794921875;7;5551.89306640625;7;5823.662109375
8;258.607849121094;8;289.814086914063;8;259.391021728516;8;259.452362060547;8;289.785369873047;8;251.484664916992;8;982.078125;8;1007.03112792969;8;1000.57391357422;8;982.448059082031;8;1006.2119140625;8;1005.70263671875;8;2522.095703125;8;2501.72509765625;8;2492.76318359375;8;2517.36303710938;8;2496.73950195313;8;2516.5185546875;8;4007.81103515625;8;3981.27880859375;8;3976.45043945313;8;3998.86328125;8;3918.29760742188;8;3978.12158203125;8;4532.1630859375;8;4536.8193359375;8;4491.72314453125;8;4498.83642578125;8;4434.34375;8;4465.22802734375;8;5002.08935546875;8;5037.548828125;8;4992.4677734375;8;4982.9462890625;8;4858.37060546875;8;4918.72314453125;8;5951.5341796875;8;5977.6171875;8;5994.326171875;8;5922.927734375;8;5550.892578125;8;5822.3828125
9;258.607849121094;9;289.814086914063;9;259.391021728516;9;259.184265136719;9;290.467987060547;9;252.120819091797;9;982.896667480469;9;1007.42395019531;9;1001.12554931641;9;981.5556640625;9;1007.03717041016;9;1006.61712646484;9;2522.73608398438;9;2502.35693359375;9;2493.49145507813;9;2517.36303710938;9;2495.50732421875;9;2516.13354492188;9;4007.57275390625;9;3981.34106445313;9;3976.12963867188;9;4002.87231445313;9;3923.744140625;9;3984.634765625;9;4503.63330078125;9;4524.14990234375;9;4483.95556640625;9;4486.7060546875;9;4422.36474609375;9;4460.7822265625;9;4994.12158203125;9;5035.69873046875;9;4989.58642578125;9;4980.64208984375;9;4857.173828125;9;4916.90234375;9;5958.27197265625;9;5984.7568359375;9;6001.56689453125;9;5924.1318359375;9;5555.2265625;9;5827.94189453125
