05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;50_L1_t_Einspeisung;50_L1_I_Einspeisung;50_L2_t_Einspeisung;50_L2_I_Einspeisung;50_L3_t_Einspeisung;50_L3_I_Einspeisung;50_L1_t_Pruefling;50_L1_I_Pruefling;50_L2_t_Pruefling;50_L2_I_Pruefling;50_L3_t_Pruefling;50_L3_I_Pruefling;80_L1_t_Einspeisung;80_L1_I_Einspeisung;80_L2_t_Einspeisung;80_L2_I_Einspeisung;80_L3_t_Einspeisung;80_L3_I_Einspeisung;80_L1_t_Pruefling;80_L1_I_Pruefling;80_L2_t_Pruefling;80_L2_I_Pruefling;80_L3_t_Pruefling;80_L3_I_Pruefling;90_L1_t_Einspeisung;90_L1_I_Einspeisung;90_L2_t_Einspeisung;90_L2_I_Einspeisung;90_L3_t_Einspeisung;90_L3_I_Einspeisung;90_L1_t_Pruefling;90_L1_I_Pruefling;90_L2_t_Pruefling;90_L2_I_Pruefling;90_L3_t_Pruefling;90_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
0;204.572998046875;0;186.598815917969;0;200.828369140625;0;204.311706542969;0;186.056823730469;0;213.983200073242;0;776.938110351563;0;762.068725585938;0;818.751525878906;0;807.158813476563;0;776.92626953125;0;818.266540527344;0;2034.2021484375;0;1978.95385742188;0;2002.30383300781;0;2030.9453125;0;1977.06140136719;0;1993.59423828125;0;3177.236328125;0;3205.740234375;0;3214.10327148438;0;3174.8759765625;0;3202.47607421875;0;3208.76953125;0;3598.9873046875;0;3570.06372070313;0;3600.14990234375;0;3591.9931640625;0;3563.28442382813;0;3591.98754882813;0;3955.60791015625;0;3992.02416992188;0;3983.7958984375;0;3947.86865234375;0;3989.79077148438;0;3975.04931640625;0;4775.228515625;0;4814.388671875;0;4801.51904296875;0;4708.6630859375;0;4826.89306640625;0;4717.6494140625
1;203.856597900391;1;186.64274597168;1;204.305404663086;1;203.387649536133;1;185.338317871094;1;214.751480102539;1;807.159423828125;1;768.81201171875;1;819.298217773438;1;818.8447265625;1;781.425476074219;1;817.926513671875;1;2032.98474121094;1;1980.53393554688;1;2001.66577148438;1;2030.9453125;1;1977.06140136719;1;1990.8232421875;1;3179.78735351563;1;3206.1318359375;1;3216.7353515625;1;3173.34619140625;1;3201.05444335938;1;3209.3203125;1;3598.12109375;1;3569.8408203125;1;3598.49169921875;1;3592.5712890625;1;3564.35888671875;1;3588.64428710938;1;3955.54296875;1;3995.3857421875;1;3983.7958984375;1;3949.49829101563;1;3992.26147460938;1;3978.93237304688;1;4776.47216796875;1;4813.4892578125;1;4804.21875;1;4702.900390625;1;4820.1943359375;1;4719.09228515625
2;202.96061706543;2;186.496734619141;2;213.691436767578;2;203.70573425293;2;185.683181762695;2;214.593032836914;2;819.096008300781;2;768.947570800781;2;819.164916992188;2;818.46044921875;2;781.197448730469;2;818.503234863281;2;2032.98474121094;2;1980.78479003906;2;1996.91967773438;2;2030.7490234375;2;1977.00219726563;2;1988.91833496094;2;3177.1162109375;2;3204.92822265625;2;3215.20922851563;2;3174.19189453125;2;3202.85815429688;2;3210.85595703125;2;3598.681640625;2;3569.12841796875;2;3600.43603515625;2;3589.98657226563;2;3563.42236328125;2;3590.73168945313;2;3957.77978515625;2;3995.3857421875;2;3985.57641601563;2;3949.49829101563;2;3992.26147460938;2;3979.916015625;2;4776.271484375;2;4811.21875;2;4802.2412109375;2;4703.2109375;2;4820.7275390625;2;4711.6513671875
3;203.240493774414;3;185.838302612305;3;214.585052490234;3;204.314559936523;3;186.252044677734;3;215.024230957031;3;818.78466796875;3;777.354370117188;3;818.884643554688;3;817.930541992188;3;780.998718261719;3;819.576782226563;3;2032.97436523438;3;1979.56494140625;3;1996.91967773438;3;2029.07775878906;3;1976.21374511719;3;1992.57824707031;3;3178.85229492188;3;3207.67846679688;3;3215.7021484375;3;3174.78076171875;3;3203.12817382813;3;3210.05224609375;3;3596.638671875;3;3568.78247070313;3;3596.67114257813;3;3590.560546875;3;3562.99975585938;3;3590.87670898438;3;3953.06372070313;3;3995.96044921875;3;3988.90576171875;3;3944.88647460938;3;3987.0791015625;3;3986.06909179688;3;4766.73486328125;3;4812.6181640625;3;4802.2412109375;3;4703.65478515625;3;4820.9931640625;3;4717.8095703125
4;203.871673583984;4;185.113403320313;4;214.439529418945;4;208.712966918945;4;203.26708984375;4;214.951843261719;4;818.199951171875;4;781.89013671875;4;819.353149414063;4;818.506774902344;4;781.791442871094;4;819.166931152344;4;2031.52221679688;4;1979.56494140625;4;1992.04614257813;4;2015.34155273438;4;1970.57238769531;4;1993.97509765625;4;3178.54907226563;4;3205.39599609375;4;3216.837890625;4;3176.474609375;4;3204.90356445313;4;3210.66625976563;4;3596.43041992188;4;3570.0419921875;4;3599.23095703125;4;3589.38159179688;4;3561.06420898438;4;3592.1416015625;4;3956.18334960938;4;3999.02392578125;4;3993.86279296875;4;3948.505859375;4;3990.41918945313;4;3983.87573242188;4;4771.2158203125;4;4812.01416015625;4;4799.47802734375;4;4706.79345703125;4;4825.3515625;4;4718.51904296875
5;208.101715087891;5;185.401809692383;5;214.860549926758;5;218.006576538086;5;238.009567260742;5;214.839797973633;5;818.733642578125;5;781.7861328125;5;820.433166503906;5;818.3203125;5;781.625061035156;5;817.490173339844;5;2018.25244140625;5;1979.64038085938;5;1995.87341308594;5;1982.76391601563;5;1960.02612304688;5;1992.27001953125;5;3181.03002929688;5;3208.17919921875;5;3216.3857421875;5;3173.82788085938;5;3202.85400390625;5;3208.39331054688;5;3595.1357421875;5;3569.55590820313;5;3598.90747070313;5;3591.54345703125;5;3562.08666992188;5;3591.97973632813;5;3956.18334960938;5;3994.31982421875;5;3995.94067382813;5;3948.70727539063;5;3991.14331054688;5;3986.15087890625;5;4774.708984375;5;4803.0849609375;5;4799.47802734375;5;4703.29150390625;5;4819.84765625;5;4716.89501953125
6;217.515228271484;6;185.997589111328;6;214.784881591797;6;218.465515136719;6;241.020080566406;6;215.161346435547;6;818.621398925781;6;781.515502929688;6;820.152160644531;6;818.15625;6;781.735168457031;6;817.083435058594;6;1985.5908203125;6;1978.47802734375;6;1996.99755859375;6;1975.42590332031;6;1957.16418457031;6;1992.85815429688;6;3178.12866210938;6;3207.33154296875;6;3217.53979492188;6;3174.65185546875;6;3204.07397460938;6;3211.86474609375;6;3597.60791015625;6;3568.212890625;6;3599.73754882813;6;3585.66723632813;6;3558.498046875;6;3592.08569335938;6;3955.8359375;6;3995.8076171875;6;3997.45751953125;6;3982.3173828125;6;4000.37963867188;6;3982.94189453125;6;4773.291015625;6;4808.126953125;6;4802.79443359375;6;4705.0068359375;6;4821.86669921875;6;4721.82958984375
7;218.059051513672;7;202.09001159668;7;214.657028198242;7;218.281829833984;7;240.820999145508;7;214.821655273438;7;818.463256835938;7;782.35302734375;7;818.467041015625;7;818.550109863281;7;782.318603515625;7;818.379272460938;7;1985.5908203125;7;1973.64636230469;7;1995.49975585938;7;1973.71264648438;7;1956.28088378906;7;1991.95788574219;7;3178.84375;7;3209.95703125;7;3214.97680664063;7;3176.3603515625;7;3204.16796875;7;3208.11938476563;7;3591.25219726563;7;3566.74145507813;7;3600.2802734375;7;3587.74609375;7;3561.76806640625;7;3590.65258789063;7;3981.35717773438;7;3995.8076171875;7;3996.3251953125;7;4004.03979492188;7;4008.10717773438;7;3983.58056640625;7;4773.291015625;7;4811.79150390625;7;4800.7626953125;7;4697.11767578125;7;4813.08837890625;7;4720.32958984375
8;217.84504699707;8;237.709609985352;8;214.976303100586;8;218.678558349609;8;241.269866943359;8;214.990219116211;8;818.841430664063;8;782.171508789063;8;817.929138183594;8;819.672180175781;8;783.19580078125;8;818.559753417969;8;1975.72790527344;8;1962.57080078125;8;1996.19348144531;8;1976.90295410156;8;1959.92529296875;8;1992.22863769531;8;3180.81030273438;8;3207.68310546875;8;3217.587890625;8;3176.66967773438;8;3204.64575195313;8;3210.59350585938;8;3593.51831054688;8;3567.78051757813;8;3600.02490234375;8;3587.62353515625;8;3561.52099609375;8;3591.38818359375;8;4012.9677734375;8;3997.41772460938;8;3995.16723632813;8;4014.63696289063;8;4015.52685546875;8;3983.81518554688;8;4769.48046875;8;4809.46240234375;8;4800.7626953125;8;4701.56103515625;8;4819.65771484375;8;4718.88330078125
9;218.258010864258;9;240.790832519531;9;214.666778564453;9;218.513153076172;9;241.218002319336;9;214.990219116211;9;819.970581054688;9;782.193786621094;9;819.316162109375;9;819.467224121094;9;783.044677734375;9;818.042602539063;9;1979.30688476563;9;1962.57080078125;9;1995.22705078125;9;1978.36694335938;9;1961.11706542969;9;1992.43432617188;9;3180.64404296875;9;3208.86987304688;9;3214.337890625;9;3177.01245117188;9;3204.8837890625;9;3208.51611328125;9;3593.2080078125;9;3563.86694335938;9;3598.65209960938;9;3586.35766601563;9;3562.00024414063;9;3592.1708984375;9;4021.57421875;9;4003.02734375;9;3996.478515625;9;4009.14428710938;9;4012.07836914063;9;3979.20825195313;9;4769.48046875;9;4809.46240234375;9;4802.59912109375;9;4702.73046875;9;4820.953125;9;4726.58056640625
