05_L1_PAC1_t;05_L1_PAC1_I;05_L2_PAC1_t;05_L2_PAC1_I;05_L3_PAC1_t;05_L3_PAC1_I;05_L1_PAC2_t;05_L1_PAC2_I;05_L2_PAC2_t;05_L2_PAC2_I;05_L3_PAC2_t;05_L3_PAC2_I;20_L1_PAC1_t;20_L1_PAC1_I;20_L2_PAC1_t;20_L2_PAC1_I;20_L3_PAC1_t;20_L3_PAC1_I;20_L1_PAC2_t;20_L1_PAC2_I;20_L2_PAC2_t;20_L2_PAC2_I;20_L3_PAC2_t;20_L3_PAC2_I;50_L1_PAC1_t;50_L1_PAC1_I;50_L2_PAC1_t;50_L2_PAC1_I;50_L3_PAC1_t;50_L3_PAC1_I;50_L1_PAC2_t;50_L1_PAC2_I;50_L2_PAC2_t;50_L2_PAC2_I;50_L3_PAC2_t;50_L3_PAC2_I;80_L1_PAC1_t;80_L1_PAC1_I;80_L2_PAC1_t;80_L2_PAC1_I;80_L3_PAC1_t;80_L3_PAC1_I;80_L1_PAC2_t;80_L1_PAC2_I;80_L2_PAC2_t;80_L2_PAC2_I;80_L3_PAC2_t;80_L3_PAC2_I;90_L1_PAC1_t;90_L1_PAC1_I;90_L2_PAC1_t;90_L2_PAC1_I;90_L3_PAC1_t;90_L3_PAC1_I;90_L1_PAC2_t;90_L1_PAC2_I;90_L2_PAC2_t;90_L2_PAC2_I;90_L3_PAC2_t;90_L3_PAC2_I;100_L1_PAC1_t;100_L1_PAC1_I;100_L2_PAC1_t;100_L2_PAC1_I;100_L3_PAC1_t;100_L3_PAC1_I;100_L1_PAC2_t;100_L1_PAC2_I;100_L2_PAC2_t;100_L2_PAC2_I;100_L3_PAC2_t;100_L3_PAC2_I;120_L1_PAC1_t;120_L1_PAC1_I;120_L2_PAC1_t;120_L2_PAC1_I;120_L3_PAC1_t;120_L3_PAC1_I;120_L1_PAC2_t;120_L1_PAC2_I;120_L2_PAC2_t;120_L2_PAC2_I;120_L3_PAC2_t;120_L3_PAC2_I
0;190.710556030273;0;209.774887084961;0;178.772521972656;0;191.39030456543;0;209.888565063477;0;179.231521606445;0;794.880432128906;0;828.234008789063;0;807.085754394531;0;794.871154785156;0;826.622985839844;0;806.558349609375;0;2003.4482421875;0;2022.47497558594;0;1983.39111328125;0;2004.12036132813;0;2019.13427734375;0;1982.12780761719;0;3173.693359375;0;3189.55908203125;0;3195.09692382813;0;3190.60180664063;0;3188.90649414063;0;3194.75122070313;0;3622.06958007813;0;3623.56225585938;0;3610.17041015625;0;3621.7763671875;0;3615.02734375;0;3606.78344726563;0;4002.54956054688;0;3988.07739257813;0;4000.87084960938;0;4006.92602539063;0;3982.20556640625;0;3999.10815429688;0;4780.63037109375;0;4754.75244140625;0;4804.20849609375;0;4784.509765625;0;4724.30419921875;0;4801.9169921875
1;190.727020263672;1;209.712173461914;1;178.762741088867;1;191.451736450195;1;209.97981262207;1;179.301422119141;1;794.311279296875;1;827.692565917969;1;806.369323730469;1;795.744262695313;1;827.380981445313;1;807.182250976563;1;2002.86328125;1;2021.44506835938;1;1982.06030273438;1;2004.12036132813;1;2019.13427734375;1;1982.12780761719;1;3173.693359375;1;3189.55908203125;1;3195.09692382813;1;3164.67016601563;1;3178.65258789063;1;3190.19750976563;1;3622.17236328125;1;3623.568359375;1;3610.99951171875;1;3625.06787109375;1;3619.04345703125;1;3611.63012695313;1;4003.34008789063;1;3988.60522460938;1;4002.45654296875;1;4004.9482421875;1;3980.1640625;1;3999.38500976563;1;4774.302734375;1;4749.78125;1;4798.3994140625;1;4780.4619140625;1;4721.53125;1;4797.927734375
2;191.093109130859;2;210.188674926758;2;179.200546264648;2;191.757537841797;2;210.378860473633;2;179.659423828125;2;794.181823730469;2;828.134094238281;2;806.567199707031;2;795.039001464844;2;826.971008300781;2;806.545288085938;2;2001.81872558594;2;2019.97790527344;2;1980.8251953125;2;2003.0439453125;2;2017.02160644531;2;1980.91516113281;2;3162.36474609375;2;3186.56518554688;2;3193.76513671875;2;3163.052734375;2;3180.05346679688;2;3190.99194335938;2;3626.17602539063;2;3627.71850585938;2;3615.49365234375;2;3625.06787109375;2;3619.04345703125;2;3611.63012695313;2;4003.61596679688;2;3990.09301757813;2;4003.41748046875;2;4004.8388671875;2;3980.30151367188;2;3999.64770507813;2;4774.302734375;2;4749.78125;2;4798.3994140625;2;4781.0205078125;2;4721.8310546875;2;4798.82373046875
3;191.013870239258;3;210.100021362305;3;179.170288085938;3;191.572143554688;3;210.13835144043;3;179.573211669922;3;790.736083984375;3;810.307006835938;3;801.409423828125;3;795.195434570313;3;827.140869140625;3;806.751586914063;3;2002.11401367188;3;2020.4443359375;3;1981.74328613281;3;2001.98559570313;3;2016.17236328125;3;1980.2783203125;3;3160.54125976563;3;3184.79125976563;3;3192.09252929688;3;3161.78076171875;3;3179.21459960938;3;3190.27783203125;3;3622.79174804688;3;3624.68286132813;3;3612.49633789063;3;3623.13842773438;3;3617.02905273438;3;3609.87719726563;3;4001.97973632813;3;3988.17041015625;3;4001.08618164063;3;4005.59716796875;3;3982.53662109375;3;4000.48779296875;3;4779.65234375;3;4754.32568359375;3;4804.953125;3;4783.16748046875;3;4723.85400390625;3;4801.63232421875
4;191.002212524414;4;210.027313232422;4;179.149185180664;4;191.789306640625;4;210.300476074219;4;179.645721435547;4;782.562316894531;4;775.766174316406;4;793.227416992188;4;786.99609375;4;789.32763671875;4;796.723449707031;4;1998.74169921875;4;2017.11755371094;4;1978.64404296875;4;1999.62255859375;4;2013.48547363281;4;1977.88525390625;4;3161.2587890625;4;3185.29956054688;4;3192.82006835938;4;3163.57104492188;4;3180.29223632813;4;3191.9599609375;4;3621.3232421875;4;3622.71142578125;4;3610.51342773438;4;3625.39965820313;4;3618.94067382813;4;3612.28662109375;4;4004.51831054688;4;3990.51782226563;4;4004.06665039063;4;4004.1953125;4;3981.95288085938;4;3999.26342773438;4;4780.08642578125;4;4754.3623046875;4;4804.9794921875;4;4784.5693359375;4;4724.90625;4;4802.76171875
5;191.18913269043;5;210.198822021484;5;179.208099365234;5;191.86474609375;5;210.36311340332;5;179.635299682617;5;781.697326660156;5;774.575927734375;5;793.089660644531;5;782.176635742188;5;773.571044921875;5;793.110534667969;5;2000.56457519531;5;2019.27734375;5;1980.36206054688;5;1999.62255859375;5;2013.48547363281;5;1977.88525390625;5;3160.17846679688;5;3184.41284179688;5;3192.34033203125;5;3160.9208984375;5;3178.7138671875;5;3189.53247070313;5;3622.40234375;5;3624.29345703125;5;3612.779296875;5;3623.66381835938;5;3617.498046875;5;3610.98876953125;5;4000.96411132813;5;3986.61547851563;5;4001.26123046875;5;4004.80688476563;5;3981.00366210938;5;4000.30078125;5;4778.15625;5;4753.69482421875;5;4803.6298828125;5;4782.796875;5;4724.5087890625;5;4801.25537109375
6;191.216232299805;6;210.243774414063;6;179.247436523438;6;191.858123779297;6;210.425704956055;6;179.729583740234;6;780.120849609375;6;773.335815429688;6;791.66552734375;6;781.257446289063;6;772.898681640625;6;792.339233398438;6;2000.40539550781;6;2018.84838867188;6;1979.97277832031;6;2001.43188476563;6;2015.3515625;6;1979.31872558594;6;3160.73608398438;6;3185.07958984375;6;3193.00952148438;6;3162.1728515625;6;3180.2041015625;6;3191.8349609375;6;3626.2158203125;6;3628.14526367188;6;3616.96508789063;6;3624.43603515625;6;3618.4013671875;6;3612.52807617188;6;4003.12475585938;6;3989.18701171875;6;4003.74267578125;6;4003.443359375;6;3978.87670898438;6;4000.28466796875;6;4775.0634765625;6;4750.140625;6;4799.931640625;6;4779.37890625;6;4722.28857421875;6;4798.556640625
7;191.066253662109;7;210.113311767578;7;179.122406005859;7;191.50634765625;7;210.035385131836;7;179.369857788086;7;781.599365234375;7;774.896118164063;7;793.393615722656;7;781.257446289063;7;772.898681640625;7;792.339233398438;7;2001.92224121094;7;2020.40344238281;7;1981.43762207031;7;2003.7939453125;7;2017.81396484375;7;1981.52917480469;7;3161.3720703125;7;3186.82446289063;7;3193.60375976563;7;3161.0185546875;7;3178.8203125;7;3190.09838867188;7;3623.26806640625;7;3625.89453125;7;3614.494140625;7;3627.49438476563;7;3622.25390625;7;3614.99145507813;7;4003.32006835938;7;3989.66577148438;7;4002.51977539063;7;4004.88842773438;7;3983.1962890625;7;4000.5869140625;7;4776.73779296875;7;4752.06494140625;7;4802.767578125;7;4778.68505859375;7;4720.77490234375;7;4797.345703125
8;190.977355957031;8;209.981460571289;8;179.000061035156;8;191.863067626953;8;210.320617675781;8;179.602645874023;8;780.873229980469;8;773.84814453125;8;792.462707519531;8;781.795715332031;8;773.178466796875;8;792.774108886719;8;2001.90979003906;8;2020.58898925781;8;1981.82397460938;8;2000.34838867188;8;2015.25573730469;8;1978.86218261719;8;3163.56372070313;8;3188.728515625;8;3195.865234375;8;3164.81201171875;8;3183.12353515625;8;3194.0205078125;8;3624.58935546875;8;3626.98974609375;8;3615.75048828125;8;3624.21044921875;8;3617.78466796875;8;3610.80249023438;8;4000.16479492188;8;3986.95629882813;8;3999.77978515625;8;4004.88842773438;8;3983.1962890625;8;4000.5869140625;8;4781.52099609375;8;4755.1572265625;8;4806.419921875;8;4786.14599609375;8;4725.96484375;8;4804.228515625
9;191.253768920898;9;210.157745361328;9;179.19921875;9;191.843719482422;9;210.192031860352;9;179.535720825195;9;781.336791992188;9;774.271545410156;9;792.908386230469;9;781.705505371094;9;773.095336914063;9;792.667358398438;9;1998.67053222656;9;2017.53784179688;9;1978.91430664063;9;2001.22424316406;9;2015.70629882813;9;1979.849609375;9;3162.46655273438;9;3186.85595703125;9;3193.7744140625;9;3161.90698242188;9;3179.72314453125;9;3190.68505859375;9;3622.2158203125;9;3623.8388671875;9;3613.068359375;9;3624.48901367188;9;3617.5283203125;9;3611.67236328125;9;4003.16723632813;9;3989.9658203125;9;4002.4296875;9;4002.12426757813;9;3979.07836914063;9;3996.2646484375;9;4780.43017578125;9;4755.2275390625;9;4806.20703125;9;4783.91162109375;9;4722.96435546875;9;4801.751953125
