05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;50_L1_t_Einspeisung;50_L1_I_Einspeisung;50_L2_t_Einspeisung;50_L2_I_Einspeisung;50_L3_t_Einspeisung;50_L3_I_Einspeisung;50_L1_t_Pruefling;50_L1_I_Pruefling;50_L2_t_Pruefling;50_L2_I_Pruefling;50_L3_t_Pruefling;50_L3_I_Pruefling;80_L1_t_Einspeisung;80_L1_I_Einspeisung;80_L2_t_Einspeisung;80_L2_I_Einspeisung;80_L3_t_Einspeisung;80_L3_I_Einspeisung;80_L1_t_Pruefling;80_L1_I_Pruefling;80_L2_t_Pruefling;80_L2_I_Pruefling;80_L3_t_Pruefling;80_L3_I_Pruefling;90_L1_t_Einspeisung;90_L1_I_Einspeisung;90_L2_t_Einspeisung;90_L2_I_Einspeisung;90_L3_t_Einspeisung;90_L3_I_Einspeisung;90_L1_t_Pruefling;90_L1_I_Pruefling;90_L2_t_Pruefling;90_L2_I_Pruefling;90_L3_t_Pruefling;90_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
0;119.951370239258;0;160.294677734375;0;143.564376831055;0;120.072486877441;0;160.282196044922;0;143.908508300781;0;523.83203125;0;513.895202636719;0;511.756439208984;0;522.174926757813;0;512.87158203125;0;511.628601074219;0;1243.39086914063;0;1257.27014160156;0;1242.34448242188;0;1237.00671386719;0;1228.76049804688;0;1241.60192871094;0;2012.19567871094;0;2028.46728515625;0;2014.12243652344;0;1875.71887207031;0;1797.05187988281;0;1891.32202148438;0;2276.7763671875;0;2299.91967773438;0;2251.97875976563;0;2059.00122070313;0;1976.33703613281;0;2050.63500976563;0;2460.42456054688;0;2495.6806640625;0;2502.74389648438;0;2188.82690429688;0;2089.37084960938;0;2223.93994140625;0;3008.36352539063;0;3010.16137695313;0;2985.9638671875;0;2543.06860351563;0;2397.1376953125;0;2545.30834960938
1;120.075736999512;1;160.264556884766;1;143.655502319336;1;120.09114074707;1;160.282196044922;1;143.908508300781;1;523.589721679688;1;513.841918945313;1;511.813659667969;1;522.438415527344;1;513.046508789063;1;511.658660888672;1;1243.20227050781;1;1257.03894042969;1;1242.78393554688;1;1234.80065917969;1;1228.46423339844;1;1241.78271484375;1;2010.96484375;1;2031.39392089844;1;2020.5361328125;1;1876.0244140625;1;1795.35375976563;1;1890.673828125;1;2276.19360351563;1;2299.91967773438;1;2251.94067382813;1;2059.53784179688;1;1977.02124023438;1;2051.921875;1;2463.69384765625;1;2495.6806640625;1;2502.70361328125;1;2190.56030273438;1;2088.68896484375;1;2222.25561523438;1;3011.62841796875;1;3008.62158203125;1;2988.41674804688;1;2544.61108398438;1;2397.1376953125;1;2545.30834960938
2;120.017799377441;2;153.313858032227;2;143.60107421875;2;120.09114074707;2;146.491668701172;2;111.12971496582;2;523.576416015625;2;511.523376464844;2;511.756774902344;2;522.247192382813;2;511.855895996094;2;510.487548828125;2;1240.8251953125;2;1257.53527832031;2;1243.42492675781;2;1234.2978515625;2;1228.55236816406;2;1241.83532714844;2;2013.82580566406;2;2027.34692382813;2;2023.90942382813;2;1879.99060058594;2;1795.35375976563;2;1890.673828125;2;2276.93920898438;2;2300.07299804688;2;2251.94067382813;2;2060.82543945313;2;1974.8701171875;2;2049.9462890625;2;2463.69384765625;2;2495.14672851563;2;2502.70361328125;2;2189.86572265625;2;2089.86083984375;2;2222.22119140625;2;3007.8291015625;2;3003.98046875;2;2987.34716796875;2;2543.41479492188;2;2394.94360351563;2;2543.78149414063
3;120.095458984375;3;145.595718383789;3;127.663116455078;3;120.162246704102;3;145.655532836914;3;109.280288696289;3;523.777709960938;3;512.203186035156;3;509.445007324219;3;522.391906738281;3;510.559417724609;3;509.201538085938;3;1241.17321777344;3;1256.15515136719;3;1243.83898925781;3;1235.21508789063;3;1228.23840332031;3;1240.96508789063;3;2012.95935058594;3;2030.12475585938;3;2020.03088378906;3;1879.99060058594;3;1796.17492675781;3;1892.12451171875;3;2276.78100585938;3;2300.07299804688;3;2252.2646484375;3;2059.18286132813;3;1977.919921875;3;2053.04760742188;3;2464.23193359375;3;2505.99096679688;3;2500.24487304688;3;2191.37329101563;3;2092.01806640625;3;2224.11059570313;3;3010.52807617188;3;3005.65600585938;3;2982.48852539063;3;2543.17993164063;3;2394.94360351563;3;2543.78149414063
4;120.08325958252;4;145.617141723633;4;108.90013885498;4;120.162246704102;4;145.605422973633;4;109.264297485352;4;523.720886230469;4;513.61767578125;4;510.220458984375;4;522.495483398438;4;512.357666015625;4;510.964172363281;4;1241.64587402344;4;1256.15515136719;4;1242.08703613281;4;1235.14624023438;4;1226.44677734375;4;1239.09326171875;4;2015.93762207031;4;2029.96618652344;4;2023.3818359375;4;1878.57275390625;4;1795.3525390625;4;1891.08190917969;4;2276.78100585938;4;2302.10620117188;4;2252.2646484375;4;2060.92919921875;4;1976.96118164063;4;2051.79125976563;4;2464.23193359375;4;2510.99755859375;4;2504.89233398438;4;2189.79858398438;4;2097.31689453125;4;2226.54614257813;4;3009.634765625;4;3004.4638671875;4;2985.04760742188;4;2543.17993164063;4;2395.89672851563;4;2545.47387695313
5;118.271415710449;5;145.626098632813;5;108.947113037109;5;116.489433288574;5;145.658309936523;5;109.320350646973;5;521.411987304688;5;513.577087402344;5;511.484039306641;5;521.392517089844;5;512.426147460938;5;510.989044189453;5;1242.35668945313;5;1259.56201171875;5;1242.08703613281;5;1235.31884765625;5;1229.06799316406;5;1241.86218261719;5;2012.1982421875;5;2030.62329101563;5;2022.82202148438;5;1878.57275390625;5;1796.59143066406;5;1892.81701660156;5;2277.91821289063;5;2300.46606445313;5;2254.41625976563;5;2058.95581054688;5;1976.66015625;5;2051.88208007813;5;2464.11401367188;5;2513.3076171875;5;2505.26123046875;5;2190.392578125;5;2099.85180664063;5;2227.80053710938;5;3005.19287109375;5;3009.59155273438;5;2983.74633789063;5;2541.88500976563;5;2398.2890625;5;2560.27490234375
6;116.194000244141;6;145.569427490234;6;108.972999572754;6;116.344940185547;6;145.545837402344;6;109.261596679688;6;521.979675292969;6;513.364685058594;6;511.4052734375;6;519.968383789063;6;512.426147460938;6;510.989044189453;6;1240.77392578125;6;1259.56201171875;6;1245.16638183594;6;1234.95288085938;6;1230.52197265625;6;1243.00207519531;6;2015.39172363281;6;2030.61267089844;6;2023.32861328125;6;1880.01770019531;6;1795.32971191406;6;1891.564453125;6;2277.91821289063;6;2289.15356445313;6;2252.96508789063;6;2061.9482421875;6;1976.64099121094;6;2052.453125;6;2496.1357421875;6;2512.185546875;6;2506.17114257813;6;2202.63842773438;6;2099.59033203125;6;2226.93041992188;6;3006.73217773438;6;3014.68041992188;6;2994.65625;6;2541.88500976563;6;2399.34033203125;6;2564.31665039063
7;116.25749206543;7;145.550842285156;7;108.95011138916;7;116.301116943359;7;145.618988037109;7;109.302124023438;7;523.2060546875;7;513.651123046875;7;511.292541503906;7;521.559387207031;7;512.439086914063;7;511.084869384766;7;1240.77392578125;7;1259.85534667969;7;1245.16638183594;7;1233.07263183594;7;1230.85961914063;7;1243.50549316406;7;2015.27661132813;7;2030.25793457031;7;2023.89074707031;7;1879.42443847656;7;1796.26000976563;7;1892.65856933594;7;2279.6259765625;7;2245.24536132813;7;2249.01928710938;7;2060.2646484375;7;1938.60974121094;7;2043.916015625;7;2510.7880859375;7;2510.73217773438;7;2504.96948242188;7;2219.10229492188;7;2097.35791015625;7;2224.65551757813;7;3006.05932617188;7;3014.53344726563;7;3012.10620117188;7;2542.24389648438;7;2394.55102539063;7;2558.912109375
8;116.275802612305;8;145.383209228516;8;108.93318939209;8;116.354179382324;8;145.553115844727;8;109.246459960938;8;523.237487792969;8;513.239868164063;8;511.664123535156;8;521.690307617188;8;512.439086914063;8;511.084869384766;8;1243.98510742188;8;1259.85534667969;8;1245.57971191406;8;1235.79382324219;8;1230.18005371094;8;1243.16845703125;8;2015.23962402344;8;2030.76318359375;8;2023.74670410156;8;1880.83520507813;8;1794.98474121094;8;1891.37390136719;8;2278.46923828125;8;2243.84790039063;8;2235.86743164063;8;2060.78735351563;8;1930.54650878906;8;2045.32531738281;8;2511.67260742188;8;2512.61645507813;8;2503.64477539063;8;2221.80712890625;8;2099.96411132813;8;2227.81372070313;8;3007.6669921875;8;3007.99365234375;8;3013.65283203125;8;2544.56689453125;8;2393.55810546875;8;2558.41162109375
9;116.248359680176;9;145.383209228516;9;108.826934814453;9;116.295066833496;9;145.446670532227;9;109.189010620117;9;522.953735351563;9;513.913940429688;9;511.099243164063;9;521.690307617188;9;512.9775390625;9;511.551605224609;9;1243.98510742188;9;1259.68127441406;9;1245.57971191406;9;1237.11096191406;9;1230.68823242188;9;1243.64990234375;9;2016.18078613281;9;2030.78796386719;9;2024.39477539063;9;1879.4755859375;9;1795.48327636719;9;1891.92358398438;9;2278.607421875;9;2244.07446289063;9;2237.708984375;9;2062.01416015625;9;1929.68774414063;9;2045.00451660156;9;2510.77221679688;9;2510.677734375;9;2505.896484375;9;2221.15258789063;9;2099.5517578125;9;2224.69287109375;9;3008.67700195313;9;3010.68237304688;9;3007.587890625;9;2546.83764648438;9;2398.90356445313;9;2565.35498046875
