05_L1_K3_t;05_L1_K3_I;05_L2_K3_t;05_L2_K3_I;05_L3_K3_t;05_L3_K3_I;05_L1_PAC1_t;05_L1_PAC1_I;05_L2_PAC1_t;05_L2_PAC1_I;05_L3_PAC1_t;05_L3_PAC1_I;05_L1_PAC2_t;05_L1_PAC2_I;05_L2_PAC2_t;05_L2_PAC2_I;05_L3_PAC2_t;05_L3_PAC2_I;05_L1_Rogowsikeinspeisung_t;05_L1_Rogowsikeinspeisung_I;05_L2_Rogowsikeinspeisung_t;05_L2_Rogowsikeinspeisung_I;05_L3_Rogowsikeinspeisung_t;05_L3_Rogowsikeinspeisung_I;20_L1_K3_t;20_L1_K3_I;20_L2_K3_t;20_L2_K3_I;20_L3_K3_t;20_L3_K3_I;20_L1_PAC1_t;20_L1_PAC1_I;20_L2_PAC1_t;20_L2_PAC1_I;20_L3_PAC1_t;20_L3_PAC1_I;20_L1_PAC2_t;20_L1_PAC2_I;20_L2_PAC2_t;20_L2_PAC2_I;20_L3_PAC2_t;20_L3_PAC2_I;20_L1_Rogowsikeinspeisung_t;20_L1_Rogowsikeinspeisung_I;20_L2_Rogowsikeinspeisung_t;20_L2_Rogowsikeinspeisung_I;20_L3_Rogowsikeinspeisung_t;20_L3_Rogowsikeinspeisung_I;50_L1_K3_t;50_L1_K3_I;50_L2_K3_t;50_L2_K3_I;50_L3_K3_t;50_L3_K3_I;50_L1_PAC1_t;50_L1_PAC1_I;50_L2_PAC1_t;50_L2_PAC1_I;50_L3_PAC1_t;50_L3_PAC1_I;50_L1_PAC2_t;50_L1_PAC2_I;50_L2_PAC2_t;50_L2_PAC2_I;50_L3_PAC2_t;50_L3_PAC2_I;50_L1_Rogowsikeinspeisung_t;50_L1_Rogowsikeinspeisung_I;50_L2_Rogowsikeinspeisung_t;50_L2_Rogowsikeinspeisung_I;50_L3_Rogowsikeinspeisung_t;50_L3_Rogowsikeinspeisung_I;80_L1_K3_t;80_L1_K3_I;80_L2_K3_t;80_L2_K3_I;80_L3_K3_t;80_L3_K3_I;80_L1_PAC1_t;80_L1_PAC1_I;80_L2_PAC1_t;80_L2_PAC1_I;80_L3_PAC1_t;80_L3_PAC1_I;80_L1_PAC2_t;80_L1_PAC2_I;80_L2_PAC2_t;80_L2_PAC2_I;80_L3_PAC2_t;80_L3_PAC2_I;80_L1_Rogowsikeinspeisung_t;80_L1_Rogowsikeinspeisung_I;80_L2_Rogowsikeinspeisung_t;80_L2_Rogowsikeinspeisung_I;80_L3_Rogowsikeinspeisung_t;80_L3_Rogowsikeinspeisung_I;90_L1_K3_t;90_L1_K3_I;90_L2_K3_t;90_L2_K3_I;90_L3_K3_t;90_L3_K3_I;90_L1_PAC1_t;90_L1_PAC1_I;90_L2_PAC1_t;90_L2_PAC1_I;90_L3_PAC1_t;90_L3_PAC1_I;90_L1_PAC2_t;90_L1_PAC2_I;90_L2_PAC2_t;90_L2_PAC2_I;90_L3_PAC2_t;90_L3_PAC2_I;90_L1_Rogowsikeinspeisung_t;90_L1_Rogowsikeinspeisung_I;90_L2_Rogowsikeinspeisung_t;90_L2_Rogowsikeinspeisung_I;90_L3_Rogowsikeinspeisung_t;90_L3_Rogowsikeinspeisung_I;100_L1_K3_t;100_L1_K3_I;100_L2_K3_t;100_L2_K3_I;100_L3_K3_t;100_L3_K3_I;100_L1_PAC1_t;100_L1_PAC1_I;100_L2_PAC1_t;100_L2_PAC1_I;100_L3_PAC1_t;100_L3_PAC1_I;100_L1_PAC2_t;100_L1_PAC2_I;100_L2_PAC2_t;100_L2_PAC2_I;100_L3_PAC2_t;100_L3_PAC2_I;100_L1_Rogowsikeinspeisung_t;100_L1_Rogowsikeinspeisung_I;100_L2_Rogowsikeinspeisung_t;100_L2_Rogowsikeinspeisung_I;100_L3_Rogowsikeinspeisung_t;100_L3_Rogowsikeinspeisung_I;120_L1_K3_t;120_L1_K3_I;120_L2_K3_t;120_L2_K3_I;120_L3_K3_t;120_L3_K3_I;120_L1_PAC1_t;120_L1_PAC1_I;120_L2_PAC1_t;120_L2_PAC1_I;120_L3_PAC1_t;120_L3_PAC1_I;120_L1_PAC2_t;120_L1_PAC2_I;120_L2_PAC2_t;120_L2_PAC2_I;120_L3_PAC2_t;120_L3_PAC2_I;120_L1_Rogowsikeinspeisung_t;120_L1_Rogowsikeinspeisung_I;120_L2_Rogowsikeinspeisung_t;120_L2_Rogowsikeinspeisung_I;120_L3_Rogowsikeinspeisung_t;120_L3_Rogowsikeinspeisung_I
0;203.993057250977;0;214.409729003906;0;193.576385498047;0;204.921890258789;0;220.506195068359;0;207.974716186523;0;204.888229370117;0;221.16194152832;0;208.391189575195;0;198.206024169922;0;230.034713745117;0;198.206024169922;0;798.611083984375;0;764.756958007813;0;756.076354980469;0;802.751892089844;0;778.180603027344;0;778.325561523438;0;801.533508300781;0;779.466979980469;0;778.346069335938;0;792.824096679688;0;792.824096679688;0;792.824096679688;0;2013.88891601563;0;1986.11108398438;0;1967.8818359375;0;2002.90344238281;0;1993.55261230469;0;1982.14440917969;0;1998.57800292969;0;1994.79809570313;0;1981.05249023438;0;1980.61352539063;0;2010.99523925781;0;1980.61352539063;0;3217.01391601563;0;3205.72900390625;0;3185.763671875;0;3196.0693359375;0;3213.59106445313;0;3199.88818359375;0;3188.552734375;0;3213.1328125;0;3197.88623046875;0;3164.0625;0;3239.2939453125;0;3164.0625;0;3627.60400390625;0;3594.6181640625;0;3578.9931640625;0;3604.86401367188;0;3602.60473632813;0;3590.83862304688;0;3597.21484375;0;3604.42407226563;0;3587.95947265625;0;3572.04858398438;0;3631.36547851563;0;3572.04858398438;0;4027.77783203125;0;3970.48608398438;0;3995.65966796875;0;4001.36596679688;0;3977.67797851563;0;4005.646484375;0;3993.84887695313;0;3981.0517578125;0;4002.67895507813;0;4165.2197265625;0;4006.07641601563;0;4165.2197265625;0;4831.59716796875;0;4764.7568359375;0;4786.45849609375;0;4797.47412109375;0;4760.34375;0;4797.5908203125;0;4784.240234375;0;4758.1123046875;0;5154.75244140625;0;4752.60400390625;0;4978.29833984375;0;4752.60400390625
1;203.993057250977;1;214.409729003906;1;193.576385498047;1;204.890228271484;1;220.541519165039;1;207.983444213867;1;204.875015258789;1;221.155014038086;1;208.410766601563;1;198.206024169922;1;230.034713745117;1;198.206024169922;1;798.611083984375;1;764.756958007813;1;756.076354980469;1;802.854370117188;1;778.403564453125;1;778.325561523438;1;801.574890136719;1;779.466979980469;1;778.346069335938;1;791.377380371094;1;789.930541992188;1;791.377380371094;1;2014.7568359375;1;1986.11108398438;1;1967.8818359375;1;2002.89721679688;1;1994.20251464844;1;1983.23913574219;1;1997.96496582031;1;1995.31970214844;1;1981.75866699219;1;1980.61352539063;1;2010.99523925781;1;1980.61352539063;1;3217.8818359375;1;3204.86108398438;1;3186.63208007813;1;3195.87744140625;1;3212.96948242188;1;3199.88818359375;1;3188.66918945313;1;3213.994140625;1;3198.90747070313;1;3164.0625;1;3239.2939453125;1;3164.0625;1;3626.73608398438;1;3594.6181640625;1;3578.125;1;3606.35815429688;1;3602.8076171875;1;3590.59399414063;1;3598.8203125;1;3604.42407226563;1;3587.95947265625;1;3567.70849609375;1;3629.9189453125;1;3567.70849609375;1;4027.77783203125;1;3971.35424804688;1;3994.79174804688;1;4002.21264648438;1;3978.23095703125;1;4007.42993164063;1;3993.83544921875;1;3982.59912109375;1;4005.11352539063;1;3961.22705078125;1;4006.07641601563;1;3961.22705078125;1;4833.33349609375;1;4763.02099609375;1;4789.0625;1;4797.78662109375;1;4771.97900390625;1;4797.810546875;1;4784.6572265625;1;4758.43505859375;1;5153.6884765625;1;4751.1572265625;1;5675.63671875;1;4751.1572265625
2;203.993057250977;2;214.409729003906;2;193.576385498047;2;204.98356628418;2;220.536193847656;2;207.99089050293;2;204.964569091797;2;221.183303833008;2;208.439895629883;2;198.206024169922;2;230.034713745117;2;198.206024169922;2;798.611083984375;2;764.756958007813;2;755.208312988281;2;802.749877929688;2;778.403564453125;2;778.488586425781;2;801.423767089844;2;779.393493652344;2;778.6318359375;2;791.377380371094;2;788.483764648438;2;791.377380371094;2;2014.7568359375;2;1985.24304199219;2;1966.14575195313;2;2002.22924804688;2;1994.25573730469;2;1983.18981933594;2;1997.30200195313;2;1994.88598632813;2;1982.09619140625;2;1979.16674804688;2;2010.99523925781;2;1979.16674804688;2;3217.8818359375;2;3203.9931640625;2;3186.63208007813;2;3195.103515625;2;3212.48754882813;2;3199.42236328125;2;3187.78149414063;2;3214.90844726563;2;3197.12646484375;2;3165.50952148438;2;3237.84716796875;2;3165.50952148438;2;3629.34033203125;2;3594.6181640625;2;3578.125;2;3605.69897460938;2;3602.72924804688;2;3591.25244140625;2;3596.9912109375;2;3605.2412109375;2;3588.64404296875;2;3567.70849609375;2;3629.9189453125;2;3567.70849609375;2;4030.38208007813;2;3972.22216796875;2;3994.79174804688;2;4001.89721679688;2;3979.22143554688;2;4008.00830078125;2;3993.13110351563;2;3983.16455078125;2;4004.46362304688;2;3961.22705078125;2;4006.07641601563;2;3961.22705078125;2;4830.72900390625;2;4763.02099609375;2;4786.45849609375;2;4798.09228515625;2;4771.50927734375;2;4799.9248046875;2;4784.3896484375;2;4760.38623046875;2;5154.05615234375;2;4751.1572265625;2;5675.63671875;2;4751.1572265625
3;203.993057250977;3;214.409729003906;3;193.576385498047;3;205.006256103516;3;220.517028808594;3;207.99089050293;3;205.010940551758;3;221.094619750977;3;208.383941650391;3;198.206024169922;3;230.034713745117;3;198.206024169922;3;798.611083984375;3;764.756958007813;3;755.208312988281;3;802.301025390625;3;778.385131835938;3;778.488586425781;3;801.314880371094;3;779.393493652344;3;778.6318359375;3;792.824096679688;3;789.930541992188;3;792.824096679688;3;2014.7568359375;3;1986.97912597656;3;1967.01391601563;3;2001.91064453125;3;1993.44946289063;3;1982.55395507813;3;1997.42138671875;3;1994.88598632813;3;1982.09619140625;3;1979.16674804688;3;2010.99523925781;3;1979.16674804688;3;3217.8818359375;3;3205.72900390625;3;3186.63208007813;3;3195.14526367188;3;3212.96728515625;3;3198.5830078125;3;3187.76879882813;3;3214.91528320313;3;3196.42993164063;3;3165.50952148438;3;3237.84716796875;3;3165.50952148438;3;3629.34033203125;3;3594.6181640625;3;3578.9931640625;3;3603.66333007813;3;3602.27490234375;3;3590.9814453125;3;3595.70947265625;3;3605.2412109375;3;3588.64404296875;3;3585.06958007813;3;3628.47216796875;3;3585.06958007813;3;4031.25;3;3973.09033203125;3;3994.79174804688;3;4000.07397460938;3;3979.2216796875;3;4007.97021484375;3;3991.68676757813;3;3983.21020507813;3;4004.11840820313;3;3961.22705078125;3;4006.07641601563;3;3961.22705078125;3;4828.125;3;4762.15283203125;3;4787.32666015625;3;4799.576171875;3;4770.09423828125;3;4800.31298828125;3;4786.18310546875;3;4759.99658203125;3;5156.57177734375;3;4751.1572265625;3;4995.65966796875;3;4751.1572265625
4;203.993057250977;4;214.409729003906;4;193.576385498047;4;205.005477905273;4;220.526489257813;4;207.947677612305;4;205.008102416992;4;221.080337524414;4;208.34391784668;4;198.206024169922;4;231.481475830078;4;198.206024169922;4;798.611083984375;4;764.756958007813;4;755.208312988281;4;802.301025390625;4;778.385131835938;4;799.796936035156;4;801.011352539063;4;789.478271484375;4;803.8544921875;4;792.824096679688;4;789.930541992188;4;792.824096679688;4;2013.88891601563;4;1986.11108398438;4;1967.8818359375;4;2002.29467773438;4;1994.36413574219;4;1982.55395507813;4;1997.54333496094;4;1995.02575683594;4;1981.56408691406;4;1980.61352539063;4;2010.99523925781;4;1980.61352539063;4;3217.8818359375;4;3205.72900390625;4;3186.63208007813;4;3195.47021484375;4;3212.96728515625;4;3199.05737304688;4;3188.57373046875;4;3214.53662109375;4;3196.91430664063;4;3162.61547851563;4;3237.84716796875;4;3162.61547851563;4;3627.60400390625;4;3594.6181640625;4;3578.9931640625;4;3603.0302734375;4;3602.6494140625;4;3589.79760742188;4;3595.02661132813;4;3603.72387695313;4;3586.22192382813;4;3585.06958007813;4;3628.47216796875;4;3585.06958007813;4;4030.38208007813;4;3974.82641601563;4;3997.39575195313;4;4000.32153320313;4;3980.7041015625;4;4006.76416015625;4;3992.88598632813;4;3981.95458984375;4;4003.5419921875;4;3959.78002929688;4;4010.41650390625;4;3959.78002929688;4;4829.861328125;4;4763.88916015625;4;4788.1943359375;4;4799.5791015625;4;4769.94189453125;4;4800.31298828125;4;4785.0087890625;4;4758.47509765625;4;5158.12109375;4;4751.1572265625;4;4995.65966796875;4;4751.1572265625
5;203.993057250977;5;214.409729003906;5;193.576385498047;5;205.000335693359;5;220.466751098633;5;207.947677612305;5;204.978851318359;5;221.125442504883;5;208.361434936523;5;198.206024169922;5;231.481475830078;5;198.206024169922;5;799.479187011719;5;764.756958007813;5;755.208312988281;5;802.392395019531;5;778.416564941406;5;808.808654785156;5;801.010803222656;5;789.478271484375;5;803.8544921875;5;791.377380371094;5;788.483764648438;5;791.377380371094;5;2014.7568359375;5;1985.24304199219;5;1967.01391601563;5;2002.27380371094;5;1993.59790039063;5;1983.30053710938;5;1997.51208496094;5;1995.07873535156;5;1982.74792480469;5;1980.61352539063;5;2010.99523925781;5;1980.61352539063;5;3217.8818359375;5;3205.72900390625;5;3185.763671875;5;3195.73486328125;5;3213.48413085938;5;3198.81958007813;5;3188.4228515625;5;3214.53662109375;5;3196.91430664063;5;3162.61547851563;5;3237.84716796875;5;3162.61547851563;5;3628.47241210938;5;3595.48608398438;5;3579.86108398438;5;3604.67578125;5;3603.39379882813;5;3590.50024414063;5;3596.51782226563;5;3605.41064453125;5;3587.56494140625;5;3569.15502929688;5;3629.9189453125;5;3569.15502929688;5;4030.38208007813;5;3974.82641601563;5;3997.39575195313;5;4001.80615234375;5;3981.89086914063;5;4007.0546875;5;3992.92846679688;5;3981.55712890625;5;4004.89892578125;5;3961.22705078125;5;4010.41650390625;5;3961.22705078125;5;4829.861328125;5;4764.7568359375;5;4789.0625;5;4798.45458984375;5;4771.8291015625;5;4796.5947265625;5;4784.64697265625;5;4757.44873046875;5;5152.72900390625;5;4751.1572265625;5;4995.65966796875;5;4751.1572265625
6;203.993057250977;6;214.409729003906;6;193.576385498047;6;204.984725952148;6;220.466751098633;6;207.889556884766;6;204.991989135742;6;221.086090087891;6;208.261993408203;6;198.206024169922;6;230.034713745117;6;198.206024169922;6;799.479187011719;6;764.756958007813;6;755.208312988281;6;802.392395019531;6;778.416564941406;6;808.782531738281;6;801.010803222656;6;790.51904296875;6;808.901000976563;6;791.377380371094;6;788.483764648438;6;791.377380371094;6;2014.7568359375;6;1986.11108398438;6;1967.01391601563;6;2001.74951171875;6;1994.06018066406;6;1983.30053710938;6;1997.67333984375;6;1995.07873535156;6;1982.74792480469;6;1980.61352539063;6;2010.99523925781;6;1980.61352539063;6;3219.6181640625;6;3204.86108398438;6;3185.763671875;6;3195.73486328125;6;3213.45751953125;6;3198.3193359375;6;3187.94799804688;6;3213.7705078125;6;3195.93310546875;6;3165.50952148438;6;3223.37963867188;6;3165.50952148438;6;3630.20825195313;6;3593.75;6;3579.86108398438;6;3603.83374023438;6;3602.4765625;6;3591.54736328125;6;3596.51782226563;6;3606.26391601563;6;3588.64794921875;6;3569.15502929688;6;3629.9189453125;6;3569.15502929688;6;4032.11791992188;6;3973.09033203125;6;3995.65966796875;6;4002.84814453125;6;3981.7646484375;6;4007.02319335938;6;3994.0126953125;6;3981.95654296875;6;4004.15234375;6;3964.12036132813;6;4011.86352539063;6;3964.12036132813;6;4829.861328125;6;4763.88916015625;6;4789.9306640625;6;4796.53125;6;4771.41162109375;6;4796.5947265625;6;4783.4033203125;6;4755.4150390625;6;5156.5517578125;6;4751.1572265625;6;4995.65966796875;6;4751.1572265625
7;203.993057250977;7;214.409729003906;7;193.576385498047;7;204.942474365234;7;220.46516418457;7;207.889556884766;7;204.976547241211;7;221.086090087891;7;208.261993408203;7;198.206024169922;7;230.034713745117;7;198.206024169922;7;802.951354980469;7;776.909729003906;7;786.458374023438;7;802.483703613281;7;787.283142089844;7;808.895812988281;7;801.256469726563;7;790.653015136719;7;808.967651367188;7;792.824096679688;7;792.824096679688;7;792.824096679688;7;2014.7568359375;7;1986.11108398438;7;1967.8818359375;7;2001.51867675781;7;1994.06018066406;7;1983.80541992188;7;1996.93041992188;7;1995.099609375;7;1982.97912597656;7;1980.61352539063;7;2010.99523925781;7;1980.61352539063;7;3217.8818359375;7;3205.72900390625;7;3185.763671875;7;3196.47119140625;7;3212.97290039063;7;3198.36376953125;7;3189.10400390625;7;3213.99462890625;7;3196.20068359375;7;3165.50952148438;7;3223.37963867188;7;3165.50952148438;7;3627.60400390625;7;3594.6181640625;7;3578.125;7;3604.86962890625;7;3601.7861328125;7;3590.09594726563;7;3596.92065429688;7;3604.68530273438;7;3587.447265625;7;3569.15502929688;7;3628.47216796875;7;3569.15502929688;7;4031.25;7;3973.09033203125;7;3995.65966796875;7;4002.43359375;7;3980.94995117188;7;3993.81005859375;7;3994.35302734375;7;3976.03637695313;7;3981.52661132813;7;3964.12036132813;7;4010.41650390625;7;3964.12036132813;7;4829.861328125;7;4762.15283203125;7;4787.32666015625;7;4797.79541015625;7;4771.41162109375;7;4797.552734375;7;4784.39501953125;7;4755.50634765625;7;5156.9306640625;7;4751.1572265625;7;4994.212890625;7;4751.1572265625
8;203.993057250977;8;214.409729003906;8;193.576385498047;8;204.942474365234;8;220.46516418457;8;207.976425170898;8;204.936904907227;8;221.163604736328;8;208.379974365234;8;198.206024169922;8;231.481475830078;8;198.206024169922;8;802.951354980469;8;776.909729003906;8;787.326416015625;8;802.483703613281;8;789.850524902344;8;808.938659667969;8;801.256469726563;8;790.733520507813;8;809.094543457031;8;792.824096679688;8;795.717590332031;8;792.824096679688;8;2014.7568359375;8;1986.11108398438;8;1968.75;8;2002.42797851563;8;1994.13598632813;8;1983.91857910156;8;1996.93041992188;8;1995.099609375;8;1982.97912597656;8;1982.06018066406;8;2015.33569335938;8;1982.06018066406;8;3217.01391601563;8;3203.9931640625;8;3184.89575195313;8;3196.58740234375;8;3212.65234375;8;3198.35815429688;8;3189.14184570313;8;3214.04248046875;8;3196.2197265625;8;3206.0185546875;8;3237.84716796875;8;3206.0185546875;8;3628.47241210938;8;3596.35424804688;8;3578.9931640625;8;3605.21704101563;8;3602.89453125;8;3590.0908203125;8;3596.92065429688;8;3604.615234375;8;3587.0810546875;8;3569.15502929688;8;3628.47216796875;8;3569.15502929688;8;4030.38208007813;8;3973.09033203125;8;3996.52783203125;8;4002.66674804688;8;3980.50659179688;8;3969.07885742188;8;3994.46118164063;8;3966.7587890625;8;3964.9208984375;8;3964.12036132813;8;4010.41650390625;8;3964.12036132813;8;4828.9931640625;8;4760.41650390625;8;4785.59033203125;8;4798.20068359375;8;4768.11181640625;8;4799.01025390625;8;4784.54052734375;8;4754.57275390625;8;5157.6572265625;8;4749.71044921875;8;4994.212890625;8;4749.71044921875
9;203.993057250977;9;214.409729003906;9;193.576385498047;9;204.977111816406;9;220.440856933594;9;207.972106933594;9;204.917999267578;9;221.280349731445;9;208.391204833984;9;198.206024169922;9;231.481475830078;9;198.206024169922;9;803.819396972656;9;776.909729003906;9;787.326416015625;9;805.346252441406;9;789.520446777344;9;809.073974609375;9;804.558776855469;9;790.860717773438;9;809.243225097656;9;795.717590332031;9;802.951354980469;9;795.717590332031;9;2013.88891601563;9;1986.11108398438;9;1967.8818359375;9;2002.42797851563;9;1994.13598632813;9;1983.49243164063;9;1997.76794433594;9;1994.68762207031;9;1982.48583984375;9;1980.61352539063;9;2013.88891601563;9;1980.61352539063;9;3216.14599609375;9;3204.86108398438;9;3185.763671875;9;3196.6318359375;9;3212.25634765625;9;3199.25830078125;9;3189.22827148438;9;3214.3466796875;9;3197.091796875;9;3206.0185546875;9;3237.84716796875;9;3206.0185546875;9;3630.20825195313;9;3596.35424804688;9;3578.125;9;3604.92504882813;9;3604.41137695313;9;3589.07836914063;9;3596.90625;9;3604.01977539063;9;3585.42651367188;9;3569.15502929688;9;3631.36547851563;9;3569.15502929688;9;4027.77783203125;9;3974.82641601563;9;3995.65966796875;9;4003.83642578125;9;3980.8115234375;9;3967.28833007813;9;3995.7490234375;9;3965.220703125;9;3964.92456054688;9;3964.12036132813;9;4011.86352539063;9;3964.12036132813;9;4828.9931640625;9;4761.28466796875;9;4784.72216796875;9;4798.20068359375;9;4768.11181640625;9;4797.404296875;9;4784.73486328125;9;4754.0322265625;9;5157.80908203125;9;4749.71044921875;9;4988.42578125;9;4749.71044921875
